O*NET-SOC Code,total_technologies,hot_technologies,in_demand_technologies,unique_tech_categories,hot_tech_ratio,in_demand_ratio,avg_tech_sophistication,category_distribution,tech_intensity_score,SOC_Detailed,detailed_title,major_code,major_title,minor_code,minor_title,broad_code,broad_title
11-1011.00,49,17,3,24,0.3469387755102041,0.0612244897959183,1.3061224489795915,"{'Document management software': 1, 'Data base user interface and query software': 4, 'Content workflow software': 1, 'Customer relationship management CRM software': 2, 'Accounting software': 4, 'Data base reporting software': 1, 'Electronic mail software': 3, 'Enterprise resource planning ERP software': 7, 'Time accounting software': 2, 'Enterprise application integration software': 1, 'Graphics or photo imaging software': 2, 'Human resources software': 4, 'Project management software': 3, 'Analytical or scientific software': 3, 'Presentation software': 2, 'Spreadsheet software': 1, 'Financial analysis software': 1, 'Office suite software': 1, 'Desktop publishing software': 1, 'Cloud-based data access and sharing software': 1, 'Word processing software': 1, 'Web platform development software': 1, 'Data base management system software': 1, 'Internet browser software': 1}",12.305882352941175,11-1011,Chief Executives,11-0000,Management Occupations,11-1000,Top Executives,11-1010,Chief Executives
11-1011.03,21,14,1,17,0.6666666666666666,0.0476190476190476,1.1428571428571428,"{'Document management software': 1, 'Graphics or photo imaging software': 1, 'Electronic mail software': 2, 'Web page creation and editing software': 1, 'Enterprise resource planning ERP software': 3, 'Data base user interface and query software': 2, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 1, 'Cloud-based data access and sharing software': 1, 'Word processing software': 1, 'Customer relationship management CRM software': 1, 'Calendar and scheduling software': 1, 'Business intelligence and data analysis software': 1, 'Video conferencing software': 1, 'Internet browser software': 1}",13.369187675070028,11-1011,,,,,,,
11-1021.00,146,49,3,56,0.3356164383561644,0.0205479452054794,0.8767123287671232,"{'Customer relationship management CRM software': 15, 'Document management software': 1, 'Graphics or photo imaging software': 2, 'Human resources software': 5, 'Data base user interface and query software': 11, 'Data base management system software': 2, 'Video creation and editing software': 4, 'Presentation software': 3, 'Operating system software': 5, 'Project management software': 4, 'Content workflow software': 1, 'Computer aided design CAD software': 1, 'Calendar and scheduling software': 1, 'Access software': 1, 'Computer aided manufacturing CAM software': 3, 'Transaction server software': 1, 'Data mining software': 2, 'Enterprise resource planning ERP software': 11, 'Financial analysis software': 3, 'Cloud-based data access and sharing software': 4, 'Medical software': 2, 'Desktop communications software': 1, 'Word processing software': 4, 'Enterprise application integration software': 2, 'Web page creation and editing software': 4, 'Accounting software': 4, 'Geographic information system': 1, 'Sales and marketing software': 3, 'Instant messaging software': 1, 'Business intelligence and data analysis software': 5, 'Communications server software': 1, 'Electronic mail software': 4, 'Enterprise system management software': 1, 'Analytical or scientific software': 5, 'Facilities management software': 1, 'Inventory management software': 1, 'Time accounting software': 3, 'Information retrieval or search software': 1, 'Materials requirements planning logistics and supply chain software': 1, 'Transaction security and virus protection software': 2, 'Spreadsheet software': 1, 'Internet browser software': 3, 'Office suite software': 1, 'Desktop publishing software': 1, 'Process mapping and design software': 1, 'Development environment software': 2, 'Network monitoring software': 1, 'Point of sale POS software': 1, 'Object oriented data base management software': 1, 'Configuration management software': 1, 'Metadata management software': 1, 'Object or component oriented development software': 1, 'Data base reporting software': 1, 'Cloud-based management software': 1, 'Industrial control software': 1, 'Backup or archival software': 1}",14.610314262691375,11-1021,General and Operations Managers,11-0000,Management Occupations,11-1000,Top Executives,11-1020,General and Operations Managers
11-1031.00,32,11,1,17,0.34375,0.03125,1.09375,"{'Document management software': 1, 'Desktop publishing software': 4, 'Presentation software': 1, 'Word processing software': 6, 'Spreadsheet software': 2, 'Access software': 1, 'Video conferencing software': 2, 'Office suite software': 2, 'Communications server software': 1, 'Data base user interface and query software': 4, 'Map creation software': 1, 'Calendar and scheduling software': 1, 'Electronic mail software': 2, 'Cloud-based data access and sharing software': 1, 'Development environment software': 1, 'Internet browser software': 1, 'Music or sound editing software': 1}",10.412132352941176,11-1031,Legislators,11-0000,Management Occupations,11-1000,Top Executives,11-1030,Legislators
11-2011.00,73,29,3,28,0.3972602739726027,0.0410958904109589,1.1369863013698631,"{'Business intelligence and data analysis software': 3, 'Document management software': 3, 'Video creation and editing software': 7, 'Graphics or photo imaging software': 3, 'Web page creation and editing software': 7, 'Desktop publishing software': 4, 'Data base reporting software': 1, 'Enterprise resource planning ERP software': 3, 'Analytical or scientific software': 5, 'Customer relationship management CRM software': 5, 'Data base user interface and query software': 5, 'Web platform development software': 3, 'Electronic mail software': 4, 'Project management software': 2, 'Enterprise application integration software': 2, 'Sales and marketing software': 4, 'Inventory management software': 1, 'Spreadsheet software': 1, 'Office suite software': 1, 'Presentation software': 1, 'Cloud-based data access and sharing software': 1, 'Data base management system software': 1, 'Operating system software': 1, 'Word processing software': 1, 'Information retrieval or search software': 1, 'Calendar and scheduling software': 1, 'Instant messaging software': 1, 'Internet browser software': 1}",13.092828364222402,11-2011,Advertising and Promotions Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2010,Advertising and Promotions Managers
11-2021.00,152,70,4,46,0.4605263157894737,0.0263157894736842,1.368421052631579,"{'Document management software': 2, 'Development environment software': 7, 'Video creation and editing software': 9, 'Graphics or photo imaging software': 6, 'Web page creation and editing software': 6, 'Desktop publishing software': 2, 'Data base user interface and query software': 15, 'Data base management system software': 9, 'Presentation software': 4, 'Operating system software': 1, 'Transaction server software': 1, 'Project management software': 3, 'Content workflow software': 1, 'Customer relationship management CRM software': 9, 'Web platform development software': 10, 'Access software': 1, 'Data base reporting software': 1, 'Financial analysis software': 2, 'Cloud-based data access and sharing software': 5, 'Desktop communications software': 1, 'Word processing software': 3, 'Enterprise application integration software': 2, 'Graphical user interface development software': 1, 'Accounting software': 3, 'Application server software': 1, 'Sales and marketing software': 3, 'Data mining software': 1, 'Video conferencing software': 2, 'Business intelligence and data analysis software': 5, 'Communications server software': 1, 'Electronic mail software': 2, 'Enterprise system management software': 1, 'Analytical or scientific software': 8, 'Object or component oriented development software': 4, 'Information retrieval or search software': 1, 'Network conferencing software': 1, 'Transaction security and virus protection software': 2, 'Enterprise resource planning ERP software': 8, 'Spreadsheet software': 1, 'Office suite software': 1, 'Process mapping and design software': 1, 'Multi-media educational software': 1, 'Expert system software': 1, 'Computer based training software': 1, 'Cloud-based management software': 1, 'Internet browser software': 1}",18.60030959752322,11-2021,Marketing Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers
11-2022.00,103,40,5,40,0.3883495145631068,0.0485436893203883,1.0097087378640777,"{'Customer relationship management CRM software': 12, 'Document management software': 1, 'Development environment software': 5, 'Graphics or photo imaging software': 2, 'Data base user interface and query software': 8, 'Presentation software': 4, 'Computer aided design CAD software': 1, 'Calendar and scheduling software': 2, 'Financial analysis software': 3, 'Cloud-based data access and sharing software': 3, 'Desktop communications software': 1, 'Web page creation and editing software': 4, 'Geographic information system': 1, 'Sales and marketing software': 3, 'Data mining software': 1, 'Word processing software': 2, 'Video conferencing software': 3, 'Human resources software': 3, 'Web platform development software': 1, 'Business intelligence and data analysis software': 5, 'Electronic mail software': 3, 'Enterprise system management software': 1, 'Analytical or scientific software': 3, 'Inventory management software': 1, 'Information retrieval or search software': 1, 'Transaction security and virus protection software': 2, 'Enterprise resource planning ERP software': 10, 'Spreadsheet software': 1, 'Office suite software': 1, 'Project management software': 3, 'Desktop publishing software': 1, 'Process mapping and design software': 1, 'Operating system software': 1, 'Object or component oriented development software': 1, 'Accounting software': 2, 'Data base reporting software': 2, 'Cloud-based management software': 1, 'Data base management system software': 1, 'Internet browser software': 1, 'Video creation and editing software': 1}",13.779097658480868,11-2022,Sales Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers
11-2032.00,66,31,4,24,0.4696969696969697,0.0606060606060606,0.8787878787878788,"{'Document management software': 1, 'Video creation and editing software': 8, 'Graphics or photo imaging software': 5, 'Desktop publishing software': 5, 'Web page creation and editing software': 5, 'Data base user interface and query software': 4, 'Customer relationship management CRM software': 5, 'Office suite software': 3, 'Web platform development software': 2, 'Accounting software': 1, 'Sales and marketing software': 4, 'Data mining software': 1, 'Word processing software': 2, 'Cloud-based data access and sharing software': 3, 'Electronic mail software': 4, 'Human resources software': 1, 'Presentation software': 2, 'Enterprise resource planning ERP software': 2, 'Spreadsheet software': 1, 'Project management software': 3, 'Business intelligence and data analysis software': 1, 'Data base management system software': 1, 'Internet browser software': 1, 'Video conferencing software': 1}",12.19679144385027,11-2032,Public Relations Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2030,Public Relations and Fundraising Managers
11-2033.00,60,26,7,23,0.4333333333333333,0.1166666666666666,0.9166666666666666,"{'Document management software': 1, 'Video creation and editing software': 7, 'Graphics or photo imaging software': 4, 'Desktop publishing software': 5, 'Web page creation and editing software': 4, 'Data base user interface and query software': 4, 'Customer relationship management CRM software': 5, 'Office suite software': 2, 'Web platform development software': 2, 'Accounting software': 1, 'Sales and marketing software': 4, 'Data mining software': 1, 'Word processing software': 2, 'Cloud-based data access and sharing software': 3, 'Electronic mail software': 4, 'Human resources software': 1, 'Presentation software': 2, 'Enterprise resource planning ERP software': 2, 'Spreadsheet software': 1, 'Project management software': 2, 'Business intelligence and data analysis software': 1, 'Data base management system software': 1, 'Internet browser software': 1}",11.740196078431373,11-2033,Fundraising Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2030,Public Relations and Fundraising Managers
11-3012.00,56,23,5,30,0.4107142857142857,0.0892857142857142,1.2678571428571428,"{'Document management software': 1, 'Desktop publishing software': 2, 'Human resources software': 3, 'Content workflow software': 1, 'Computer aided design CAD software': 1, 'Customer relationship management CRM software': 1, 'Data base user interface and query software': 5, 'Financial analysis software': 1, 'Electronic mail software': 4, 'Accounting software': 3, 'Word processing software': 2, 'Cloud-based data access and sharing software': 2, 'Instant messaging software': 1, 'Enterprise system management software': 1, 'Analytical or scientific software': 3, 'Information retrieval or search software': 1, 'Web page creation and editing software': 1, 'Medical software': 2, 'Enterprise resource planning ERP software': 8, 'Spreadsheet software': 1, 'Internet browser software': 2, 'Office suite software': 1, 'Presentation software': 1, 'Project management software': 2, 'Process mapping and design software': 1, 'Operating system software': 1, 'Object or component oriented development software': 1, 'Data base reporting software': 1, 'Industrial control software': 1, 'Data base management system software': 1}",13.081722689075631,11-3012,Administrative Services Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3010,Administrative Services and Facilities Managers
