SOC Group,SOC Code,SOC Title,SOC Definition,Unnamed: 4,soc_code_clean,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,occ_code_clean,major_group_code,major_group_title,employment_weight,economic_value_total,economic_value_percentage
Detailed,11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",,111011,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-1011,Chief Executives,detailed,211230.0,1.4,,,,,124.47,258900.0,0.7,38.46,62.9,99.37,,,80000.0,130840.0,206680.0,,,,,111011,11-0000,Management Occupations,0.001478015748987962,54687447000.0,0.5731942120200032
Detailed,11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",,111021,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-1021,General and Operations Managers,detailed,3507810.0,0.4,,,,,62.18,129330.0,0.9,22.28,31.34,48.69,77.06,111.59,46340.0,65180.0,101280.0,160290.0,232110.0,,,111021,11-0000,Management Occupations,0.024544801517102033,453665067300.0,4.754988668094621
Detailed,11-1031,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,111031,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-1031,Legislators,detailed,32460.0,1.7,,,,,,68140.0,1.3,,,,,,21010.0,28810.0,47290.0,82200.0,129510.0,True,,111031,11-0000,Management Occupations,0.0002271286806426608,2211824400.0,0.02318274144493555
Detailed,11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",,112011,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2011,Advertising and Promotions Managers,detailed,20630.0,2.9,,,,,73.38,152620.0,2.7,30.57,42.7,63.4,90.64,,63580.0,88810.0,131870.0,188530.0,,,,112011,11-0000,Management Occupations,0.0001443519618502185,3148550600.0,0.03300082704852007
Detailed,11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm’s profits or share of the market while ensuring the firm’s customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",,112021,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2021,Marketing Managers,detailed,368940.0,1.8,,,,,80.0,166410.0,0.3,38.27,51.92,75.78,100.0,,79600.0,108000.0,157620.0,208000.0,,,,112021,11-0000,Management Occupations,0.002581542065197267,61395305400.0,0.6435011255961618
Detailed,11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",,112022,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2022,Sales Managers,detailed,575880.0,1.3,,,,,75.77,157610.0,0.3,30.62,44.97,64.98,94.57,,63700.0,93540.0,135160.0,196700.0,,,,112022,11-0000,Management Occupations,0.004029539883194563,90764446800.0,0.9513271951231788
Detailed,11-2032,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",,112032,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2032,Public Relations Managers,detailed,72760.0,3.2,,,,,76.65,159420.0,1.0,36.61,47.69,64.79,92.23,,76160.0,99180.0,134760.0,191840.0,,,,112032,11-0000,Management Occupations,0.0005091153051004313,11599399200.0,0.12157650153881666
Detailed,11-2033,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,112033,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2033,Fundraising Managers,detailed,31810.0,1.9,,,,,64.24,133620.0,0.9,33.08,41.77,57.31,78.2,102.27,68800.0,86880.0,119200.0,162660.0,212730.0,,,112033,11-0000,Management Occupations,0.0002225805092804387,4250452200.0,0.044550161566468606
Detailed,11-3012,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Medical records administrators are included in “Medical and Health Services Managers” (11-9111). Excludes “Facilities Managers” (11-3013) and “Purchasing Managers” (11-3061).",,113012,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3012,Administrative Services Managers,detailed,242520.0,1.3,,,,,58.27,121200.0,0.4,30.04,39.15,51.19,67.73,90.78,62470.0,81420.0,106470.0,140870.0,188820.0,,,113012,11-0000,Management Occupations,0.001696957721178623,29393424000.0,0.3080805821535214
Detailed,11-3013,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization’s campus. Excludes “Administrative Services Managers” (11-3012), “Property, Real Estate, and Community Association Managers” (11-9141), “First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers” (37-1010), “First-Line Supervisors of Mechanics and Repairers” (49-1011), and “Maintenance and Repair Workers, General” (49-9071).",,113013,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3013,Facilities Managers,detailed,131400.0,1.2,,,,,53.42,111110.0,0.4,29.25,37.56,49.2,64.42,81.26,60840.0,78130.0,102340.0,133990.0,169020.0,,,113013,11-0000,Management Occupations,0.0009194303338399763,14599854000.0,0.15302509567025668
