O*NET-SOC Code,Title,basic_skills,cognitive_skills,social_skills,operations_skills,maintenance_skills,technical_skills,management_skills,automation_risk_score,automation_risk
11-1011.00,Chief Executives,4.1225000000000005,3.9285714285714284,3.831666666666667,1.815,1.03,2.0925000000000002,4.1450000000000005,36.5,26.2
11-1011.03,Chief Sustainability Officers,4.03,3.6799999999999997,3.5216666666666665,1.72,1.03,2.19,3.231666666666667,31.2,20.3
11-1021.00,General and Operations Managers,3.875,3.462857142857143,3.5,2.065,1.0,1.78,3.2883333333333336,33.1,22.4
11-2011.00,Advertising and Promotions Managers,3.9050000000000002,3.357142857142857,3.3333333333333335,1.31,1.03,2.0300000000000002,3.0383333333333336,38.2,28.0
11-2021.00,Marketing Managers,3.7225,3.6257142857142854,3.4783333333333335,1.4075,1.0,2.0324999999999998,3.188333333333333,37.6,27.3
11-2022.00,Sales Managers,3.875,3.5357142857142856,3.8766666666666665,1.5625,1.0,1.9975,3.395,37.1,26.8
11-3012.00,Administrative Services Managers,3.9074999999999998,3.2142857142857144,3.311666666666667,2.0,1.03,1.5325,3.168333333333333,43.4,33.3
11-3013.00,Facilities Managers,3.6574999999999998,3.197142857142857,3.268333333333333,2.6574999999999998,2.0,1.8725,3.0216666666666665,54.8,44.8
11-3021.00,Computer and Information Systems Managers,3.9074999999999998,3.6257142857142854,3.248333333333333,2.5324999999999998,1.44,2.5300000000000002,3.331666666666667,47.7,37.7
11-3031.00,Financial Managers,3.9375,3.3200000000000003,3.3733333333333335,1.5325,1.0625,2.0625,3.1233333333333335,39.6,29.4
11-3031.01,Treasurers and Controllers,3.9050000000000002,3.6400000000000006,3.0416666666666665,1.47,1.0,2.06,3.3533333333333335,38.7,28.5
11-3031.03,Investment Fund Managers,3.875,3.394285714285714,3.02,1.345,1.0,2.0025,2.9599999999999995,39.3,29.1
11-3051.00,Industrial Production Managers,3.785,3.6957142857142857,3.331666666666667,2.81,1.81,2.06,3.5866666666666664,51.9,41.9
11-3051.01,Quality Control Systems Managers,3.91,3.552857142857143,3.25,3.2199999999999998,1.6575,2.3425000000000002,3.27,54.4,44.4
11-3051.02,Geothermal Production Managers,3.75,3.4285714285714284,3.23,3.0324999999999998,2.125,2.3775,3.351666666666667,56.5,46.6
11-3051.03,Biofuels Production Managers,3.6875,3.322857142857143,3.27,2.7475,1.2175,2.5,3.23,48.6,38.6
11-3051.04,Biomass Power Plant Managers,3.7199999999999998,3.3742857142857146,3.1466666666666665,3.125,1.9375,2.185,3.3083333333333336,56.6,46.6
11-3051.06,Hydroelectric Production Managers,3.9050000000000002,3.4985714285714287,3.356666666666666,3.1574999999999998,2.125,2.625,3.3766666666666665,56.4,46.5
11-3061.00,Purchasing Managers,3.94,3.392857142857143,3.668333333333333,1.78,1.0,1.97,3.5,39.1,28.9
11-3071.00,"Transportation, Storage, and Distribution Managers",3.75,3.372857142857143,3.4983333333333335,2.2199999999999998,1.09,1.8125,3.3333333333333335,43.9,33.8
11-3071.04,Supply Chain Managers,3.9699999999999998,3.5728571428571425,3.5600000000000005,1.7175,1.0,1.965,3.5849999999999995,38.5,28.3
11-3111.00,Compensation and Benefits Managers,4.0,3.431428571428571,3.143333333333334,1.25,1.0,1.8125,3.145,38.0,27.7
11-3121.00,Human Resources Managers,4.03,3.5,3.6699999999999995,1.405,1.0,1.935,3.395,36.7,26.4
