SOC Code,detailed_title,major_code,major_title,minor_code,minor_title,broad_code,broad_title,normalized_SOC_Code,normalized_major_code,normalized_minor_code,normalized_broad_code
11-1011,Chief Executives,11-0000,Management Occupations,11-1000,Top Executives,11-1010,Chief Executives,111011,11,111,1110
11-1021,General and Operations Managers,11-0000,Management Occupations,11-1000,Top Executives,11-1020,General and Operations Managers,111021,11,111,1110
11-1031,Legislators,11-0000,Management Occupations,11-1000,Top Executives,11-1030,Legislators,111031,11,111,1110
11-2011,Advertising and Promotions Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2010,Advertising and Promotions Managers,112011,11,112,1120
11-2021,Marketing Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers,112021,11,112,1120
11-2022,Sales Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers,112022,11,112,1120
11-2032,Public Relations Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2030,Public Relations and Fundraising Managers,112032,11,112,1120
11-2033,Fundraising Managers,11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2030,Public Relations and Fundraising Managers,112033,11,112,1120
11-3012,Administrative Services Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3010,Administrative Services and Facilities Managers,113012,11,113,1130
11-3013,Facilities Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3010,Administrative Services and Facilities Managers,113013,11,113,1130
11-3021,Computer and Information Systems Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3020,Computer and Information Systems Managers,113021,11,113,1130
11-3031,Financial Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3030,Financial Managers,113031,11,113,1130
11-3051,Industrial Production Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,113051,11,113,1130
11-3061,Purchasing Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3060,Purchasing Managers,113061,11,113,1130
11-3071,"Transportation, Storage, and Distribution Managers",11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3070,"Transportation, Storage, and Distribution Managers",113071,11,113,1130
11-3111,Compensation and Benefits Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3110,Compensation and Benefits Managers,113111,11,113,1131
11-3121,Human Resources Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3120,Human Resources Managers,113121,11,113,1131
11-3131,Training and Development Managers,11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3130,Training and Development Managers,113131,11,113,1131
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",119013,11,119,1190
11-9021,Construction Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9020,Construction Managers,119021,11,119,1190
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education and Childcare Administrators,119031,11,119,1190
11-9032,"Education Administrators, Kindergarten through Secondary",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education and Childcare Administrators,119032,11,119,1190
11-9033,"Education Administrators, Postsecondary",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education and Childcare Administrators,119033,11,119,1190
11-9039,"Education Administrators, All Other",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9030,Education and Childcare Administrators,119039,11,119,1190
11-9041,Architectural and Engineering Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9040,Architectural and Engineering Managers,119041,11,119,1190
11-9051,Food Service Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9050,Food Service Managers,119051,11,119,1190
11-9071,Gambling Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9070,Entertainment and Recreation Managers,119071,11,119,1190
11-9072,"Entertainment and Recreation Managers, Except Gambling",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9070,Entertainment and Recreation Managers,119072,11,119,1190
11-9081,Lodging Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9080,Lodging Managers,119081,11,119,1190
11-9111,Medical and Health Services Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9110,Medical and Health Services Managers,119111,11,119,1191
11-9121,Natural Sciences Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9120,Natural Sciences Managers,119121,11,119,1191
11-9131,Postmasters and Mail Superintendents,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9130,Postmasters and Mail Superintendents,119131,11,119,1191
11-9141,"Property, Real Estate, and Community Association Managers",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9140,"Property, Real Estate, and Community Association Managers",119141,11,119,1191
11-9151,Social and Community Service Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9150,Social and Community Service Managers,119151,11,119,1191
11-9161,Emergency Management Directors,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9160,Emergency Management Directors,119161,11,119,1191
11-9171,Funeral Home Managers,11-0000,Management Occupations,11-9000,Other Management Occupations,11-9170,Personal Service Managers,119171,11,119,1191
11-9179,"Personal Service Managers, All Other",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9170,Personal Service Managers,119179,11,119,1191
11-9199,"Managers, All Other",11-0000,Management Occupations,11-9000,Other Management Occupations,11-9190,Miscellaneous Managers,119199,11,119,1191
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",131011,13,131,1310
13-1021,"Buyers and Purchasing Agents, Farm Products",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1020,Buyers and Purchasing Agents,131021,13,131,1310
13-1022,"Wholesale and Retail Buyers, Except Farm Products",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1020,Buyers and Purchasing Agents,131022,13,131,1310
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1020,Buyers and Purchasing Agents,131023,13,131,1310
13-1031,"Claims Adjusters, Examiners, and Investigators",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",131031,13,131,1310
13-1032,"Insurance Appraisers, Auto Damage",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",131032,13,131,1310
13-1041,Compliance Officers,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1040,Compliance Officers,131041,13,131,1310
13-1051,Cost Estimators,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1050,Cost Estimators,131051,13,131,1310
13-1071,Human Resources Specialists,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1070,Human Resources Workers,131071,13,131,1310
13-1074,Farm Labor Contractors,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1070,Human Resources Workers,131074,13,131,1310
13-1075,Labor Relations Specialists,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1070,Human Resources Workers,131075,13,131,1310
13-1081,Logisticians,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1080,Logisticians and Project Management Specialists,131081,13,131,1310
13-1082,Project Management Specialists,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1080,Logisticians and Project Management Specialists,131082,13,131,1310
13-1111,Management Analysts,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1110,Management Analysts,131111,13,131,1311
13-1121,"Meeting, Convention, and Event Planners",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1120,"Meeting, Convention, and Event Planners",131121,13,131,1311
13-1131,Fundraisers,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1130,Fundraisers,131131,13,131,1311
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1140,"Compensation, Benefits, and Job Analysis Specialists",131141,13,131,1311
13-1151,Training and Development Specialists,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1150,Training and Development Specialists,131151,13,131,1311
13-1161,Market Research Analysts and Marketing Specialists,13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1160,Market Research Analysts and Marketing Specialists,131161,13,131,1311
13-1199,"Business Operations Specialists, All Other",13-0000,Business and Financial Operations Occupations,13-1000,Business Operations Specialists,13-1190,Miscellaneous Business Operations Specialists,131199,13,131,1311
