O*NET-SOC Code,Title,AI_Benefit_Classification,cognitive_skills,operations_skills,social_skills,technical_composition,technical_skills,management_skills
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",High AI Benefit,3.6628571428571424,1.905,3.52,0.1557725122914735,2.38,2.7483333333333335
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Moderate AI Benefit,3.162857142857143,2.9075,2.893333333333333,0.1557657610834329,2.4975,2.605
29-1031.00,Dietitians and Nutritionists,High AI Benefit,3.75,1.815,3.6466666666666665,0.15575909260344,2.4375,3.0
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Moderate AI Benefit,2.5728571428571425,1.215,2.5216666666666665,0.1556313125966078,1.75,2.185
47-4011.00,Construction and Building Inspectors,High AI Benefit,3.108571428571428,2.3775,2.936666666666667,0.1554296490378998,2.2175,2.6266666666666665
29-2011.01,Cytogenetic Technologists,Moderate AI Benefit,3.144285714285714,2.47,2.688333333333333,0.1551916726024736,2.2825,2.625
19-4071.00,Forest and Conservation Technicians,Moderate AI Benefit,3.0,2.5625,2.9150000000000005,0.1548071700162955,2.375,2.6466666666666665
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",High AI Benefit,3.231428571428572,2.3725,3.1033333333333335,0.1547865777440868,2.285,2.77
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Minimal AI Benefit,2.8371428571428576,2.53,2.6666666666666665,0.1547814252451382,2.2475,2.456666666666667
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",High AI Benefit,3.355714285714286,1.47,3.0216666666666665,0.1547720728732818,2.0925,2.58
25-9044.00,"Teaching Assistants, Postsecondary",Moderate AI Benefit,2.962857142857143,1.7175,2.936666666666667,0.1547077026635378,1.97,2.1466666666666665
19-3051.00,Urban and Regional Planners,High AI Benefit,3.462857142857143,1.4375,3.27,0.1545432220039292,2.2475,3.125
25-1011.00,"Business Teachers, Postsecondary",High AI Benefit,3.5014285714285713,1.28,3.125,0.1545012379062703,2.095,2.5583333333333336
13-1041.01,Environmental Compliance Inspectors,Moderate AI Benefit,3.447142857142857,2.8125,2.9599999999999995,0.1543778440294994,2.3425,2.581666666666667
13-2011.00,Accountants and Auditors,High AI Benefit,3.0714285714285716,1.5025,3.02,0.1541987450491745,2.0625,2.6266666666666665
29-1215.00,Family Medicine Physicians,High AI Benefit,3.732857142857142,1.715,3.356666666666666,0.154054444944398,2.2825,2.6666666666666665
29-2012.00,Medical and Clinical Laboratory Technicians,Low AI Benefit,2.9457142857142857,2.9675,2.8733333333333335,0.1540231762269221,2.47,2.5
29-1221.00,"Pediatricians, General",High AI Benefit,3.8042857142857143,1.6275,3.481666666666666,0.15392264573092,2.285,2.6466666666666665
45-2021.00,Animal Breeders,Minimal AI Benefit,2.712857142857143,2.53,2.2516666666666665,0.1538869800832425,1.9675,2.2283333333333335
19-3039.03,Clinical Neuropsychologists,High AI Benefit,3.5342857142857147,1.315,3.5216666666666665,0.1538448642939766,2.185,2.6466666666666665
11-3051.03,Biofuels Production Managers,Moderate AI Benefit,3.322857142857143,2.7475,3.27,0.1534885760645529,2.5,3.23
17-3024.01,Robotics Technicians,Low AI Benefit,3.1771428571428575,3.6875,2.7533333333333325,0.1533446693830408,2.845,2.56
25-1113.00,"Social Work Teachers, Postsecondary",High AI Benefit,3.731428571428572,1.22,3.5016666666666665,0.1532104577782229,2.185,2.623333333333333
17-2072.01,Radio Frequency Identification Device Specialists,Moderate AI Benefit,3.16,2.5325,2.875,0.1531440700451048,2.405,2.606666666666666
29-1218.00,Obstetricians and Gynecologists,High AI Benefit,3.7857142857142856,1.845,3.396666666666667,0.1527644665105975,2.315,2.811666666666667
