O*NET-SOC Code,Title,technical_composition,cognitive_skills,social_skills,operations_skills,maintenance_skills,management_skills,technical_skills
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",0.1557725122914735,3.6628571428571424,3.52,1.905,1.0625,2.7483333333333335,2.38
17-3026.01,Nanotechnology Engineering Technologists and Technicians,0.15576576108343296,3.162857142857143,2.893333333333333,2.9075,1.9675,2.605,2.4975
29-1031.00,Dietitians and Nutritionists,0.15575909260344,3.75,3.6466666666666665,1.815,1.0,3.0,2.4375
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.15563131259660787,2.5728571428571425,2.5216666666666665,1.215,1.0,2.185,1.75
47-4011.00,Construction and Building Inspectors,0.15542964903789988,3.108571428571428,2.936666666666667,2.3775,1.0,2.6266666666666665,2.2175
29-2011.01,Cytogenetic Technologists,0.1551916726024736,3.144285714285714,2.688333333333333,2.47,1.4975,2.625,2.2825
19-4071.00,Forest and Conservation Technicians,0.1548071700162955,3.0,2.9150000000000005,2.5625,1.8425,2.6466666666666665,2.375
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.15478657774408686,3.231428571428572,3.1033333333333335,2.3725,1.0,2.77,2.285
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",0.15478142524513822,2.8371428571428576,2.6666666666666665,2.53,1.7825,2.456666666666667,2.2475
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",0.15477207287328185,3.355714285714286,3.0216666666666665,1.47,1.0,2.58,2.0925
25-9044.00,"Teaching Assistants, Postsecondary",0.15470770266353784,2.962857142857143,2.936666666666667,1.7175,1.0,2.1466666666666665,1.97
19-3051.00,Urban and Regional Planners,0.15454322200392928,3.462857142857143,3.27,1.4375,1.0,3.125,2.2475
25-1011.00,"Business Teachers, Postsecondary",0.15450123790627032,3.5014285714285713,3.125,1.28,1.0,2.5583333333333336,2.095
13-1041.01,Environmental Compliance Inspectors,0.15437784402949944,3.447142857142857,2.9599999999999995,2.8125,1.03,2.581666666666667,2.3425
13-2011.00,Accountants and Auditors,0.1541987450491745,3.0714285714285716,3.02,1.5025,1.0925,2.6266666666666665,2.0625
29-1215.00,Family Medicine Physicians,0.15405444494439804,3.732857142857142,3.356666666666666,1.715,1.0625,2.6666666666666665,2.2825
29-2012.00,Medical and Clinical Laboratory Technicians,0.15402317622692216,2.9457142857142857,2.8733333333333335,2.9675,2.28,2.5,2.47
29-1221.00,"Pediatricians, General",0.15392264573092007,3.8042857142857143,3.481666666666666,1.6275,1.0,2.6466666666666665,2.285
45-2021.00,Animal Breeders,0.15388698008324256,2.712857142857143,2.2516666666666665,2.53,1.095,2.2283333333333335,1.9675
19-3039.03,Clinical Neuropsychologists,0.15384486429397662,3.5342857142857147,3.5216666666666665,1.315,1.0,2.6466666666666665,2.185
11-3051.03,Biofuels Production Managers,0.1534885760645529,3.322857142857143,3.27,2.7475,1.2175,3.23,2.5
17-3024.01,Robotics Technicians,0.15334466938304087,3.1771428571428575,2.7533333333333325,3.6875,3.53,2.56,2.845
25-1113.00,"Social Work Teachers, Postsecondary",0.15321045777822298,3.731428571428572,3.5016666666666665,1.22,1.0,2.623333333333333,2.185
17-2072.01,Radio Frequency Identification Device Specialists,0.1531440700451048,3.16,2.875,2.5325,2.125,2.606666666666666,2.405
29-1218.00,Obstetricians and Gynecologists,0.1527644665105975,3.7857142857142856,3.396666666666667,1.845,1.0,2.811666666666667,2.315
13-2082.00,Tax Preparers,0.15219219219219218,2.872857142857143,2.77,1.315,1.0,2.125,1.81
29-2011.00,Medical and Clinical Laboratory Technologists,0.15170450851351255,3.0885714285714285,2.9166666666666665,3.065,2.2825,2.6266666666666665,2.5
25-1031.00,"Architecture Teachers, Postsecondary",0.15162885894593212,3.75,3.351666666666667,1.595,1.03,2.7083333333333335,2.2225
41-3021.00,Insurance Sales Agents,0.15142511071577275,2.877142857142857,3.1649999999999996,1.405,1.0,2.2283333333333335,1.905
11-3021.00,Computer and Information Systems Managers,0.15142252527627556,3.6257142857142854,3.248333333333333,2.5325,1.44,3.331666666666667,2.53
19-4092.00,Forensic Science Technicians,0.1513378401408851,3.16,2.875,2.4675,1.53,2.4166666666666665,2.22
15-1299.09,Information Technology Project Managers,0.15133592776607036,3.357142857142857,3.375,1.8425,1.0,3.561666666666667,2.3425
15-1299.03,Document Management Specialists,0.15120104276581217,3.2300000000000004,2.938333333333333,1.4375,1.0,2.7900000000000005,2.03
13-2072.00,Loan Officers,0.15117877645048025,3.0542857142857143,2.9616666666666664,1.4075,1.0,2.455,1.9375
13-1081.02,Logistics Analysts,0.1510854341736695,3.3200000000000003,2.9399999999999995,1.7175,1.0,3.145,2.1575
29-2056.00,Veterinary Technologists and Technicians,0.15059359245405757,3.0700000000000003,2.956666666666667,2.595,1.8725,2.563333333333333,2.315
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,0.15048244855611276,3.197142857142857,2.7083333333333335,3.4375,2.655,2.6233333333333335,2.59
23-2011.00,Paralegals and Legal Assistants,0.15047770700636945,2.7142857142857144,2.7716666666666665,1.1875,1.0,1.8533333333333335,1.6875
29-1211.00,Anesthesiologists,0.15041254246760696,3.7471428571428578,3.186666666666667,2.8100000000000005,1.095,2.9150000000000005,2.435
19-5011.00,Occupational Health and Safety Specialists,0.15036252343414722,3.4642857142857144,3.1666666666666665,2.53,1.44,2.8333333333333335,2.3775
17-3027.01,Automotive Engineering Technicians,0.15034416659405767,2.9457142857142857,2.606666666666666,3.095,2.845,2.438333333333333,2.465
43-4131.00,Loan Interviewers and Clerks,0.15033991583036585,3.09,3.043333333333333,1.5325,1.0,2.27,1.935
13-2041.00,Credit Analysts,0.1502472127968977,3.0714285714285716,2.5833333333333335,1.405,1.0,2.375,1.845
19-4051.02,Nuclear Monitoring Technicians,0.15015239826747234,3.09,2.9599999999999995,3.0925,1.56,2.5416666666666665,2.34
29-1229.03,Urologists,0.15014192406299598,3.518571428571428,3.2733333333333334,2.4075,1.125,2.9350000000000005,2.3425
15-1241.01,Telecommunications Engineering Specialists,0.149946881165579,3.0700000000000003,2.936666666666667,2.78,2.4675,2.7483333333333335,2.47
29-1141.02,Advanced Practice Psychiatric Nurses,0.14960844945986104,3.5728571428571425,3.790000000000001,1.345,1.0,2.8966666666666665,2.2175
