O*NET-SOC Code,Title,technical_composition,Tech_Stratum,cognitive_skills,social_skills,operations_skills,maintenance_skills,management_skills,technical_skills,AI_Transformation_Classification,AI_Enhancement_Classification
11-1011.00,Chief Executives,0.12423751934916136,Medium-Tech,3.928571428571429,3.831666666666667,1.815,1.03,4.1450000000000005,2.0925,High Transformation Potential,Not Applicable
11-1011.03,Chief Sustainability Officers,0.14245446660884648,Medium-Tech,3.68,3.5216666666666665,1.72,1.03,3.231666666666667,2.19,High Transformation Potential,Not Applicable
11-1021.00,General and Operations Managers,0.11791054192164532,Medium-Tech,3.462857142857143,3.5,2.065,1.0,3.2883333333333336,1.78,High Transformation Potential,Not Applicable
11-2011.00,Advertising and Promotions Managers,0.14398378789158153,Medium-Tech,3.357142857142857,3.3333333333333335,1.31,1.03,3.0383333333333336,2.03,High Transformation Potential,Not Applicable
11-2021.00,Marketing Managers,0.13796140668433643,Medium-Tech,3.6257142857142854,3.4783333333333335,1.4075,1.0,3.188333333333333,2.0325,High Transformation Potential,Not Applicable
11-2022.00,Sales Managers,0.12998311203383792,Medium-Tech,3.5357142857142856,3.8766666666666665,1.5625,1.0,3.395,1.9975,High Transformation Potential,Not Applicable
11-3012.00,Administrative Services Managers,0.10749267266214084,Low-Tech,3.2142857142857144,3.311666666666667,2.0,1.03,3.168333333333333,1.5325,High Transformation Potential,Not Applicable
11-3013.00,Facilities Managers,0.11690599357830896,Medium-Tech,3.197142857142857,3.268333333333333,2.6575,2.0,3.0216666666666665,1.8725,Moderate Transformation Potential,Not Applicable
11-3021.00,Computer and Information Systems Managers,0.15142252527627556,Medium-Tech,3.6257142857142854,3.248333333333333,2.5325,1.44,3.331666666666667,2.53,Moderate Transformation Potential,Not Applicable
11-3031.00,Financial Managers,0.14249525015832806,Medium-Tech,3.3200000000000003,3.3733333333333335,1.5325,1.0625,3.1233333333333335,2.0625,High Transformation Potential,Not Applicable
11-3031.01,Treasurers and Controllers,0.1414349467902506,Medium-Tech,3.640000000000001,3.0416666666666665,1.47,1.0,3.3533333333333335,2.06,High Transformation Potential,Not Applicable
11-3031.03,Investment Fund Managers,0.14593581635043337,Medium-Tech,3.394285714285714,3.02,1.345,1.0,2.9599999999999995,2.0025,High Transformation Potential,Not Applicable
11-3051.00,Industrial Production Managers,0.1191161285881462,Medium-Tech,3.6957142857142857,3.331666666666667,2.81,1.81,3.5866666666666664,2.06,Moderate Transformation Potential,Not Applicable
11-3051.01,Quality Control Systems Managers,0.13546055349029323,Medium-Tech,3.552857142857143,3.25,3.22,1.6575,3.27,2.3425,Low Transformation Potential,Not Applicable
11-3051.02,Geothermal Production Managers,0.135506853032976,Medium-Tech,3.4285714285714284,3.23,3.0325,2.125,3.351666666666667,2.3775,Low Transformation Potential,Not Applicable
11-3051.03,Biofuels Production Managers,0.1534885760645529,Medium-Tech,3.322857142857143,3.27,2.7475,1.2175,3.23,2.5,Moderate Transformation Potential,Not Applicable
11-3051.04,Biomass Power Plant Managers,0.1279514796611942,Medium-Tech,3.3742857142857146,3.1466666666666665,3.125,1.9375,3.3083333333333336,2.185,Low Transformation Potential,Not Applicable
11-3051.06,Hydroelectric Production Managers,0.1447125765401553,Medium-Tech,3.4985714285714287,3.356666666666666,3.1575,2.125,3.3766666666666665,2.625,Low Transformation Potential,Not Applicable
11-3061.00,Purchasing Managers,0.1286640645652884,Medium-Tech,3.392857142857143,3.668333333333333,1.78,1.0,3.5,1.97,High Transformation Potential,Not Applicable
11-3071.00,"Transportation, Storage, and Distribution Managers",0.1182551826450325,Medium-Tech,3.372857142857143,3.4983333333333335,2.22,1.09,3.3333333333333335,1.8125,High Transformation Potential,Not Applicable
11-3071.04,Supply Chain Managers,0.12759444354258948,Medium-Tech,3.5728571428571425,3.5600000000000005,1.7175,1.0,3.5849999999999995,1.965,High Transformation Potential,Not Applicable
11-3111.00,Compensation and Benefits Managers,0.1315096181254373,Medium-Tech,3.431428571428571,3.143333333333334,1.25,1.0,3.145,1.8125,High Transformation Potential,Not Applicable
11-3121.00,Human Resources Managers,0.12982220731298222,Medium-Tech,3.5,3.669999999999999,1.405,1.0,3.395,1.935,High Transformation Potential,Not Applicable
11-3131.00,Training and Development Managers,0.12700538998097652,Medium-Tech,3.6957142857142857,3.6666666666666665,1.4375,1.0,3.311666666666667,1.9075,High Transformation Potential,Not Applicable
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.13858323831242875,Medium-Tech,3.251428571428572,3.1466666666666665,2.78,2.065,3.1466666666666665,2.315,Moderate Transformation Potential,Not Applicable
11-9021.00,Construction Managers,0.13040140299114097,Medium-Tech,3.5357142857142856,3.3333333333333335,2.47,1.0,3.4150000000000005,2.0625,High Transformation Potential,Not Applicable
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.12256523194011035,Medium-Tech,3.537142857142857,3.773333333333333,1.7825,1.0,3.33,1.875,High Transformation Potential,Not Applicable
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.1289430441034068,Medium-Tech,3.821428571428571,3.834999999999999,1.8425,1.03,3.606666666666667,2.0925,High Transformation Potential,Not Applicable
