O*NET-SOC Code,Title,technical_composition,cognitive_skills,social_skills,operations_skills,maintenance_skills,management_skills,technical_skills,AI_Benefit_Classification,AI_Benefit_Score
15-2031.00,Operations Research Analysts,0.20369584877271887,3.644285714285714,2.7916666666666665,1.5325,1.0,2.8766666666666665,3.03,High AI Benefit,2.683673565942611
15-2041.01,Biostatisticians,0.22914046289545997,3.6257142857142854,2.75,1.3725,1.125,2.5816666666666666,3.405,High AI Benefit,2.661253524896015
15-2021.00,Mathematicians,0.22854946181445415,3.5357142857142856,2.5,1.28,1.0,2.4350000000000005,3.1850000000000005,High AI Benefit,2.5896016877791617
17-2051.00,Civil Engineers,0.18615168920446837,3.448571428571429,3.02,1.8125,1.3425,3.23,2.94,High AI Benefit,2.557923769358497
19-2012.00,Physicists,0.22231946248094406,3.7142857142857144,3.1233333333333335,2.155,1.25,2.875,3.75,High AI Benefit,2.5538562139214
15-2041.00,Statisticians,0.22930385700846662,3.4299999999999997,2.543333333333333,1.47,1.0,2.48,3.25,High AI Benefit,2.5297301661963
13-2099.01,Financial Quantitative Analysts,0.187352309567438,3.357142857142857,2.98,1.4975,1.0,2.8333333333333335,2.6899999999999995,High AI Benefit,2.5149354644384143
17-2011.00,Aerospace Engineers,0.20344671268132897,3.768571428571428,3.0416666666666665,2.345,1.0625,2.7516666666666665,3.3125,High AI Benefit,2.499998018194175
17-2051.01,Transportation Engineers,0.17906434048227582,3.537142857142857,3.1233333333333335,2.155,1.0,3.3766666666666665,2.8775,High AI Benefit,2.47763590597368
19-2011.00,Astronomers,0.20471504271655672,3.5700000000000003,2.9566666666666666,1.72,1.28,2.73,3.155,High AI Benefit,2.460085982841282
19-2041.01,Climate Change Policy Analysts,0.16961148997726805,3.265714285714286,3.06,1.28,1.0,2.875,2.345,High AI Benefit,2.4558187863490097
17-2112.01,Human Factors Engineers and Ergonomists,0.1917808219178082,3.6242857142857146,3.0433333333333334,2.1225,1.1875,2.7916666666666665,3.03,High AI Benefit,2.4555543052837576
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",0.18433078353178264,3.658571428571429,2.9800000000000004,2.44,1.3125,3.293333333333333,3.0925,High AI Benefit,2.449342266170763
13-1081.01,Logistics Engineers,0.17574661149137114,3.608571428571428,3.0833333333333335,2.3125,1.3775,3.395,2.9375,High AI Benefit,2.447297664029323
19-1041.00,Epidemiologists,0.1779314215338566,3.838571428571429,3.355,1.25,1.03,3.081666666666667,2.7175,High AI Benefit,2.431361165844689
19-3032.00,Industrial-Organizational Psychologists,0.18406102905372504,3.8742857142857146,3.605,1.5,1.0,3.186666666666667,2.97,High AI Benefit,2.4298683635928
17-2051.02,Water/Wastewater Engineers,0.1871854502516398,3.5885714285714285,3.0400000000000005,2.435,1.1875,3.188333333333333,3.095,High AI Benefit,2.425708599690263
17-2141.02,Automotive Engineers,0.19556154099628933,3.607142857142857,3.0833333333333335,2.5,1.22,2.9583333333333335,3.25,Moderate AI Benefit,2.4195844411060605
17-2031.00,Bioengineers and Biomedical Engineers,0.19483409238776836,3.734285714285714,2.938333333333333,2.72,2.405,2.935,3.5649999999999995,Moderate AI Benefit,2.4181574185952845
19-3011.01,Environmental Economists,0.17948717948717946,3.41,2.9166666666666665,1.22,1.0,2.893333333333334,2.5025,High AI Benefit,2.4145801282051287
