minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,36310.0,4652277700.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,5370.0,719036900.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,195070800.0,0.0,27.129456082156562,0.0,27.129456082156562,0.0
113,113,20700.0,2779513100.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,819366000.0,0.0,29.47876014687608,0.0,29.47876014687608,0.0
119,119,42490.0,4119062300.0,36.53498334578578,27.40123750933934,2,0,0.0,0.0,"119041,119121",492811500.0,0.0,11.964167184361353,0.0,11.964167184361353,0.0
131,131,61570.0,4881716200.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,655233700.0,0.0,13.422199758355474,0.0,13.422199758355474,0.0
132,132,41400.0,3150181600.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,42982800.0,0.0,1.3644546714386243,0.0,1.3644546714386243,0.0
151,151,52860.0,5078966000.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",4806147300.0,2082903900.0,94.62845980855158,41.01039266653882,53.61806714201276,1.9358198328856682
152,152,2000.0,200378700.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",192622000.0,0.0,96.12897977679265,0.0,96.12897977679265,0.0
171,171,2300.0,125540800.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",78999600.0,0.0,62.9274307635446,0.0,62.9274307635446,0.0
172,172,36580.0,4061401900.0,49.85790233271046,37.39342674953285,7,0,0.0,0.0,"172011,172061,172071,172072,172141,172161,172199",2517855000.0,0.0,61.994726500718876,0.0,61.994726500718876,0.0
173,173,8760.0,525763300.0,46.51512533081794,34.88634399811345,3,0,0.0,0.0,"173012,173021,173023",146288800.0,0.0,27.82407977125828,0.0,27.82407977125828,0.0
191,191,2690.0,194098000.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",18848800.0,0.0,9.710970746736185,0.0,9.710970746736185,0.0
192,192,2330.0,203380100.0,51.52920500166573,38.6469037512493,5,0,0.0,0.0,"192012,192021,192042,192043,192099",89236200.0,0.0,43.87656412795549,0.0,43.87656412795549,0.0
193,193,1590.0,133955200.0,36.97962589223426,27.734719419175697,2,0,0.0,0.0,"193011,193099",34084700.0,0.0,25.44485021858054,0.0,25.44485021858054,0.0
194,194,2820.0,151659100.0,40.70424600816758,30.528184506125683,1,0,0.0,0.0,194031,76176500.0,0.0,50.22876965510148,0.0,50.22876965510148,0.0
195,195,2190.0,160690100.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,20790.0,1028827600.0,31.81930424426509,23.864478183198823,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,970.0,48786100.0,35.19523993808049,26.39642995356037,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,7300.0,943459200.0,34.231541522995904,25.673656142246926,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,4720.0,255613100.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,15370.0,1273306200.0,29.69838771826371,22.27379078869778,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,57210.0,3086086900.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,30553600.0,0.0,0.9900434106375943,0.0,0.9900434106375943,0.0
253,253,4650.0,216712200.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,3260.0,180741200.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,4294800.0,0.0,2.376215273551354,0.0,2.376215273551354,0.0
259,259,11880.0,380673000.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,6630.0,301180800.0,45.24999957023057,33.93749967767293,2,0,0.0,0.0,"271021,271027",11275900.0,0.0,3.7438973533505457,0.0,3.7438973533505457,0.0
272,272,4770.0,264591200.0,26.99927306066501,20.24945479549876,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,5530.0,359552700.0,34.01165656460684,25.50874242345513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,1680.0,83924600.0,37.78845950747211,28.341344630604084,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,85200.0,8120655600.0,21.333137272367406,15.999852954275555,1,0,0.0,0.0,291129,5248200.0,0.0,0.06462778694863011,0.0,0.06462778694863011,0.0
292,292,48950.0,2195920400.0,26.941030628116607,20.205772971087463,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,740.0,37182700.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
