AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,720.0,6.8,0.348,0.25,,,106.26,221030.0,5.8,31.59,59.60,79.48,102.01,#,"65,700","123,960",165320.0,"212,180",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,104870.0,0.006865643177267093,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,159141600.0,False,False,0.0,0.0311513655256895,111,111
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,34450.0,2.7,16.781,0.73,,,62.17,129310.0,1.1,23.11,34.74,49.67,78.25,112.54,"48,080","72,260",103320.0,"162,760","234,080",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,104870.0,0.32850195480118244,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,4454729500.0,False,False,0.0,1.0,111,111
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,1140.0,9.1,0.555,2.60,,,*,33690.0,5.1,*,*,*,*,*,"18,320","19,670",24470.0,"45,050","55,070",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,104870.0,0.010870601697339563,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,38406600.0,False,False,0.0,0.006561211540674411,111,111
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,70.0,16.5,0.032,0.24,,,53.99,112290.0,3.3,36.77,39.88,50.37,64.03,71.21,"76,480","82,950",104770.0,"133,170","148,110",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,104870.0,0.0006674930866787451,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,7860300.0,False,False,0.0,0.001659980184318104,112,112
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,1490.0,3.7,0.728,0.30,,,62.94,130920.0,1.9,31.53,39.16,54.55,78.95,105.92,"65,580","81,450",113460.0,"164,210","220,320",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,104870.0,0.014208067130733288,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,195070800.0,True,False,100.0,0.05642186996333454,112,112
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,3650.0,3.3,1.778,0.47,,,66.20,137700.0,2.2,31.89,41.00,56.61,79.38,107.41,"66,340","85,280",117750.0,"165,100","223,410",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,104870.0,0.03480499666253457,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,502605000.0,False,False,0.0,0.11015463654027825,112,112
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,,**,**,**,,,50.58,105200.0,12.7,24.24,39.54,44.04,51.09,79.56,"50,420","82,250",91600.0,"106,270","165,490",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,104870.0,,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,,False,False,0.0,,112,112
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,160.0,6.8,0.078,0.37,,,40.57,84380.0,2.3,22.84,28.06,39.73,46.18,58.99,"47,510","58,370",82640.0,"96,050","122,700",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,104870.0,0.0015256984838371316,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,13500800.0,False,False,0.0,0.0026647167632997725,112,112
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,480.0,7.9,0.234,0.15,,,61.64,128220.0,2.0,36.89,43.18,53.36,70.18,88.09,"76,740","89,820",110990.0,"145,980","183,230",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,104870.0,0.004577095451511395,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,61545600.0,False,False,0.0,0.013074636137094073,113,113
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,830.0,4.2,0.404,0.47,,,56.98,118510.0,1.2,36.31,41.54,52.70,67.07,81.69,"75,520","86,400",109620.0,"139,500","169,920",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,104870.0,0.00791456088490512,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,98363300.0,False,False,0.0,0.02082654767699695,113,113
