minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,920.0,194980.0,179381600.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,6150.0,120820.0,743043000.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,330.0,88680.0,29264400.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112021,Marketing Managers,160.0,112320.0,17971200.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,820.0,106170.0,87059400.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,210.0,121450.0,25504500.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,,93110.0,,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,780.0,110710.0,86353800.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,790.0,121320.0,95842800.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,640.0,137010.0,87686400.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,1930.0,149100.0,287763000.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,320.0,132060.0,42259200.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,120.0,111580.0,13389600.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",950.0,117430.0,111558500.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,40.0,100750.0,4030000.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,380.0,121080.0,46010400.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,80.0,123700.0,9896000.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119021,Construction Managers,1380.0,143450.0,197961000.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",100.0,67975.0,6797500.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",730.0,119520.0,87249600.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",110.0,133830.0,14721300.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",300.0,93800.0,28140000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,600.0,158760.0,95256000.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,340.0,69310.0,23565400.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",80.0,79240.0,6339200.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,130.0,69880.0,9084400.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,1300.0,148550.0,193115000.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,640.0,119140.0,76249600.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
119,119,119131,Postmasters and Mail Superintendents,160.0,63500.0,10160000.0,28.94582043343653,False,0.0,21.7093653250774,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",580.0,70660.0,40982800.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,970.0,88420.0,85767400.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119161,Emergency Management Directors,130.0,114330.0,14862900.0,28.969362745098042,False,0.0,21.72702205882353,False,0.0,0.0
119,119,119179,"Personal Service Managers, All Other",80.0,76790.0,6143200.0,38.444852941176464,False,0.0,28.83363970588235,False,0.0,0.0
119,119,119199,"Managers, All Other",1310.0,127900.0,167549000.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131020,Buyers and Purchasing Agents,810.0,81100.0,65691000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
131,131,131031,"Claims Adjusters, Examiners, and Investigators",200.0,87620.0,17524000.0,29.341659951651888,False,0.0,22.006244963738915,False,0.0,0.0
131,131,131041,Compliance Officers,720.0,87610.0,63079200.0,38.1764705882353,False,0.0,28.63235294117647,False,0.0,0.0
131,131,131051,Cost Estimators,120.0,82190.0,9862800.0,33.740349264705884,False,0.0,25.305261948529413,False,0.0,0.0
131,131,131071,Human Resources Specialists,1370.0,74070.0,101475900.0,41.717852257181946,False,0.0,31.288389192886463,False,0.0,0.0
131,131,131075,Labor Relations Specialists,130.0,110010.0,14301300.0,29.477941176470594,False,0.0,22.108455882352946,False,0.0,0.0
131,131,131081,Logisticians,490.0,89430.0,43820700.0,42.03245436105477,False,0.0,31.524340770791078,False,0.0,0.0
131,131,131082,Project Management Specialists,1310.0,110740.0,145069400.0,44.81045751633988,False,0.0,33.60784313725491,False,0.0,0.0
131,131,131111,Management Analysts,380.0,105470.0,40078600.0,67.4488017429194,True,100.0,50.58660130718955,False,0.0,0.0
131,131,131121,"Meeting, Convention, and Event Planners",210.0,48460.0,10176600.0,32.603879849812266,False,0.0,24.4529098873592,False,0.0,0.0
131,131,131131,Fundraisers,220.0,63740.0,14022800.0,30.213507625272328,False,0.0,22.660130718954246,False,0.0,0.0
131,131,131141,"Compensation, Benefits, and Job Analysis Specialists",180.0,76430.0,13757400.0,27.023284313725505,False,0.0,20.267463235294127,False,0.0,0.0
131,131,131151,Training and Development Specialists,650.0,73460.0,47749000.0,33.999748617395674,False,0.0,25.499811463046758,False,0.0,0.0
131,131,131161,Market Research Analysts and Marketing Specialists,350.0,69210.0,24223500.0,49.710619818397156,False,0.0,37.282964863797865,False,0.0,0.0
131,131,131199,"Business Operations Specialists, All Other",2060.0,89520.0,184411200.0,40.366454689984096,False,0.0,30.274841017488068,False,0.0,0.0
132,132,132011,Accountants and Auditors,2430.0,82480.0,200426400.0,43.40007383706621,False,0.0,32.55005537779966,False,0.0,0.0
132,132,132020,Property Appraisers and Assessors,170.0,78380.0,13324600.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
132,132,132031,Budget Analysts,280.0,92660.0,25944800.0,34.568295114656046,False,0.0,25.926221335992032,False,0.0,0.0
132,132,132041,Credit Analysts,30.0,71990.0,2159700.0,29.152797704447643,False,0.0,21.86459827833573,False,0.0,0.0
132,132,132051,Financial and Investment Analysts,270.0,110580.0,29856600.0,39.89909002274943,False,0.0,29.92431751706207,False,0.0,0.0
132,132,132052,Personal Financial Advisors,120.0,226650.0,27198000.0,23.862745098039216,False,0.0,17.897058823529413,False,0.0,0.0
132,132,132053,Insurance Underwriters,60.0,84690.0,5081400.0,33.06693711967546,False,0.0,24.800202839756597,False,0.0,0.0
132,132,132054,Financial Risk Specialists,50.0,100120.0,5006000.0,43.43048128342247,False,0.0,32.57286096256685,False,0.0,0.0
132,132,132061,Financial Examiners,110.0,66450.0,7309500.0,29.791075050709942,False,0.0,22.343306288032455,False,0.0,0.0
132,132,132072,Loan Officers,550.0,81420.0,44781000.0,21.290441176470594,False,0.0,15.967830882352946,False,0.0,0.0
132,132,132081,"Tax Examiners and Collectors, and Revenue Agents",60.0,96210.0,5772600.0,33.27005347593583,False,0.0,24.952540106951876,False,0.0,0.0
132,132,132082,Tax Preparers,120.0,67440.0,8092800.0,15.238795518207283,False,0.0,11.429096638655462,False,0.0,0.0
132,132,132099,"Financial Specialists, All Other",110.0,86770.0,9544700.0,65.62418300653596,True,100.0,49.218137254901976,False,0.0,0.0
151,151,151211,Computer Systems Analysts,430.0,88210.0,37930300.0,72.19112918479289,True,100.0,54.14334688859467,False,0.0,0.0
151,151,151212,Information Security Analysts,180.0,105670.0,19020600.0,61.08883553421369,True,100.0,45.81662665066027,False,0.0,0.0
151,151,151231,Computer Network Support Specialists,330.0,95560.0,31534800.0,36.4203431372549,False,0.0,27.315257352941174,False,0.0,0.0
151,151,151232,Computer User Support Specialists,860.0,63070.0,54240200.0,68.35995989304813,True,100.0,51.26996991978609,False,0.0,0.0
151,151,151241,Computer Network Architects,160.0,109980.0,17596800.0,64.05437033968518,True,100.0,48.04077775476388,False,0.0,0.0
151,151,151242,Database Administrators,90.0,90370.0,8133300.0,71.48555211558308,True,100.0,53.61416408668731,False,0.0,0.0
151,151,151243,Database Architects,50.0,125650.0,6282500.0,74.39632809645599,True,100.0,55.79724607234199,False,0.0,0.0
151,151,151244,Network and Computer Systems Administrators,710.0,90830.0,64489300.0,63.465170278637764,True,100.0,47.59887770897832,False,0.0,0.0
151,151,151251,Computer Programmers,430.0,95490.0,41060700.0,75.6766706682673,True,100.0,56.75750300120048,False,0.0,0.0
151,151,151252,Software Developers,280.0,145630.0,40776400.0,87.10588235294118,True,100.0,65.32941176470588,True,0.0,0.0
151,151,151253,Software Quality Assurance Analysts and Testers,,107600.0,,83.68235294117648,True,100.0,62.76176470588235,True,0.0,0.0
151,151,151254,Web Developers,60.0,98970.0,5938200.0,74.42848671726756,True,100.0,55.82136503795068,False,0.0,0.0
151,151,151255,Web and Digital Interface Designers,60.0,71020.0,4261200.0,72.85982478097624,True,100.0,54.644868585732176,False,0.0,0.0
151,151,151299,"Computer Occupations, All Other",560.0,104450.0,58492000.0,49.5773034877668,False,0.0,37.182977615825095,False,0.0,0.0
152,152,152031,Operations Research Analysts,90.0,97410.0,8766900.0,53.0170278637771,True,100.0,39.76277089783282,False,0.0,0.0
152,152,152041,Statisticians,50.0,101730.0,5086500.0,55.4002557544757,True,100.0,41.55019181585678,False,0.0,0.0
152,152,152051,Data Scientists,200.0,91710.0,18342000.0,61.89090287277701,True,100.0,46.41817715458276,False,0.0,0.0
152,152,152099,"Mathematical Science Occupations, All Other",90.0,74760.0,6728400.0,58.63235294117647,True,100.0,43.97426470588235,False,0.0,0.0
171,171,171011,"Architects, Except Landscape and Naval",150.0,111150.0,16672500.0,52.78956089478045,True,100.0,39.592170671085334,False,0.0,0.0
171,171,171021,Cartographers and Photogrammetrists,70.0,86670.0,6066900.0,40.8485092667204,False,0.0,30.636381950040303,False,0.0,0.0
171,171,171022,Surveyors,320.0,88580.0,28345600.0,29.795318127250898,False,0.0,22.346488595438174,False,0.0,0.0
172,172,172011,Aerospace Engineers,130.0,100370.0,13048100.0,54.55882352941177,True,100.0,40.919117647058826,False,0.0,0.0
172,172,172041,Chemical Engineers,40.0,67975.0,2719000.0,48.43382352941176,False,0.0,36.32536764705882,False,0.0,0.0
172,172,172051,Civil Engineers,1630.0,110940.0,180832200.0,49.415341812400634,False,0.0,37.06150635930047,False,0.0,0.0
172,172,172061,Computer Hardware Engineers,70.0,131920.0,9234400.0,53.56085192697768,True,100.0,40.170638945233264,False,0.0,0.0
172,172,172071,Electrical Engineers,510.0,108220.0,55192200.0,55.766875602700104,True,100.0,41.825156702025076,False,0.0,0.0
172,172,172072,"Electronics Engineers, Except Computer",290.0,119810.0,34744900.0,51.40610859728506,True,100.0,38.5545814479638,False,0.0,0.0
172,172,172081,Environmental Engineers,240.0,111410.0,26738400.0,43.152406417112296,False,0.0,32.36430481283422,False,0.0,0.0
172,172,172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",100.0,124880.0,12488000.0,45.83426073131956,False,0.0,34.375695548489674,False,0.0,0.0
172,172,172121,Marine Engineers and Naval Architects,40.0,67975.0,2719000.0,48.39338235294118,False,0.0,36.29503676470589,False,0.0,0.0
172,172,172131,Materials Engineers,50.0,117330.0,5866500.0,49.40479876160991,False,0.0,37.05359907120743,False,0.0,0.0
172,172,172141,Mechanical Engineers,420.0,110340.0,46342800.0,54.05945604048071,True,100.0,40.54459203036054,False,0.0,0.0
