AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,920.0,6.9,2.958,2.13,,,93.74,194980.0,3.0,31.82,51.60,75.30,108.19,#,"66,180","107,330",156610.0,"225,030",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,23560.0,0.03904923599320883,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,179381600.0,False,False,0.0,0.21051287032390043,111,111
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,6150.0,3.7,19.727,0.85,,,58.09,120820.0,1.3,26.31,35.81,50.35,71.84,98.17,"54,720","74,490",104720.0,"149,430","204,190",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,23560.0,0.26103565365025466,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,743043000.0,False,False,0.0,1.0,111,111
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,330.0,36.0,1.050,4.91,,,*,88680.0,24.0,*,*,*,*,*,"31,070","31,110",50400.0,"201,700","218,220",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,23560.0,0.01400679117147708,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,29264400.0,False,False,0.0,0.029972653490237144,111,111
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,160.0,6.9,0.519,0.21,,,54.00,112320.0,5.4,31.99,43.34,50.52,60.36,78.84,"66,540","90,160",105080.0,"125,550","163,990",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,23560.0,0.006791171477079796,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,17971200.0,True,False,100.0,0.03116303007792898,112,112
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,820.0,4.4,2.625,0.69,,,51.04,106170.0,1.9,30.22,35.71,44.74,60.52,76.32,"62,860","74,290",93050.0,"125,890","158,750",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,23560.0,0.03480475382003396,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,87059400.0,False,False,0.0,0.11439289147287023,112,112
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,210.0,8.6,0.687,1.43,,,58.39,121450.0,3.2,31.47,40.47,52.97,70.76,90.20,"65,470","84,180",110180.0,"147,180","187,620",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,23560.0,0.008913412563667233,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,25504500.0,False,False,0.0,0.03166326621222078,112,112
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,,**,**,**,,,44.76,93110.0,9.5,33.57,37.19,37.29,44.27,60.09,"69,820","77,360",77560.0,"92,070","124,990",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,23560.0,,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,,False,False,0.0,,112,112
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,780.0,3.1,2.517,1.58,,,53.23,110710.0,1.3,31.17,36.45,46.15,63.41,83.55,"64,830","75,820",95990.0,"131,890","173,780",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,23560.0,0.03310696095076401,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,86353800.0,False,False,0.0,0.10998195765191178,113,113
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,790.0,7.3,2.521,2.91,,,58.33,121320.0,3.7,32.00,41.67,52.01,65.14,83.97,"66,560","86,680",108190.0,"135,500","174,660",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,23560.0,0.03353140916808149,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,95842800.0,False,False,0.0,0.12166091490499623,113,113
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,640.0,4.5,2.045,0.52,,,65.87,137010.0,1.7,40.67,50.75,64.23,78.35,94.28,"84,580","105,560",133600.0,"162,970","196,110",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,23560.0,0.027164685908319185,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,87686400.0,True,False,100.0,0.15208940783825334,113,113
