minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,97810.0,10923108000.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,13620.0,1904438100.0,44.62230728515874,33.466730463869055,1,0,0.0,0.0,112021,0.0,0.0,0.0,0.0,0.0,0.0
113,113,50300.0,7139227100.0,36.4464371793267,27.334827884495027,1,0,0.0,0.0,113021,2324102000.0,0.0,32.55397212395722,0.0,32.55397212395722,0.0
119,119,63710.0,7083946400.0,36.73582875211174,27.551871564083807,2,0,0.0,0.0,"119041,119121",839458000.0,0.0,11.850146127587866,0.0,11.850146127587866,0.0
131,131,150340.0,12325076300.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,1626468000.0,0.0,13.196413234374866,0.0,13.196413234374866,0.0
132,132,65090.0,5410936900.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,113984400.0,0.0,2.106555705722608,0.0,2.106555705722608,0.0
151,151,105430.0,10963274400.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",10229307100.0,5274606600.0,93.3052181928421,48.11159884860676,45.193619344235344,2.7246561212795495
152,152,7090.0,707854000.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",676942000.0,0.0,95.63299776507584,0.0,95.63299776507584,0.0
171,171,3380.0,290811100.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",177628300.0,0.0,61.08030264319348,0.0,61.08030264319348,0.0
172,172,36570.0,4080199400.0,50.509215978556206,37.881911983917156,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172171,172199",2450206600.0,0.0,60.05114848063553,0.0,60.05114848063553,0.0
173,173,14100.0,939765500.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",293386200.0,0.0,31.219086037953087,0.0,31.219086037953087,0.0
191,191,4020.0,347565000.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",61985600.0,0.0,17.834246831527917,0.0,17.834246831527917,0.0
192,192,3560.0,311937300.0,51.84142447449673,38.88106835587254,6,0,0.0,0.0,"192011,192012,192021,192042,192043,192099",147073300.0,0.0,47.14835321072536,0.0,47.14835321072536,0.0
193,193,4780.0,418765700.0,38.75034411470835,29.06275808603126,2,0,0.0,0.0,"193011,193099",78214500.0,0.0,18.67738928952395,0.0,18.67738928952395,0.0
194,194,6890.0,384454300.0,42.60404609502203,31.953034571266524,2,0,0.0,0.0,"194031,194061",102132100.0,0.0,26.5654721510463,0.0,26.5654721510463,0.0
195,195,3290.0,262377000.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,43900.0,2378728300.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,1400.0,94598000.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,11110.0,1639065200.0,38.13899227670071,28.604244207525532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,10050.0,662313900.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
