AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,3260.0,11.0,1.042,0.75,,,*,59150.0,*,*,*,*,*,*,*,*,,*,*,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,225440.0,0.014460610361958837,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,192829000.0,False,False,0.0,0.01571703936528245,111,111
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,94010.0,1.8,30.037,1.30,,,54.71,113800.0,1.4,21.67,28.94,40.90,63.85,98.57,"45,080","60,200",85070.0,"132,800","205,020",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,225440.0,0.4170067423704755,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,10698338000.0,False,False,0.0,1.0,111,111
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,540.0,4.5,0.174,0.81,,,*,59150.0,*,*,*,*,*,*,*,*,,*,*,True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,225440.0,0.0023953158268275373,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,31941000.0,False,False,0.0,0.002272122329553437,111,111
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,60.0,22.5,0.021,0.15,,,67.83,141080.0,13.5,37.59,38.70,58.43,93.03,#,"78,190","80,500",121540.0,"193,500",#,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,225440.0,0.00026614620298083747,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,8464800.0,False,False,0.0,0.0007443642494066289,112,112
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,,**,**,**,,,74.57,155110.0,3.7,39.45,50.95,69.85,95.01,104.12,"82,060","105,970",145290.0,"197,610","216,570",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,225440.0,,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,,True,False,100.0,,112,112
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,12570.0,3.0,4.015,1.06,,,68.14,141720.0,1.4,29.22,40.14,59.08,81.87,108.64,"60,780","83,490",122880.0,"170,300","225,970",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,225440.0,0.05575762952448545,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1781420400.0,False,False,0.0,0.162572626313253,112,112
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,990.0,6.4,0.317,0.66,,,55.63,115710.0,1.8,31.06,38.63,49.43,67.68,89.18,"64,600","80,350",102810.0,"140,770","185,480",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,225440.0,0.004391412349183818,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,114552900.0,False,False,0.0,0.009877399488934957,112,112
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,5610.0,2.6,1.794,1.12,,,51.38,106870.0,1.3,25.66,33.94,46.01,62.31,81.48,"53,380","70,590",95700.0,"129,600","169,480",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,225440.0,0.024884669978708304,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,599540700.0,False,False,0.0,0.0530342333729811,113,113
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,3080.0,4.8,0.985,1.14,,,46.46,96630.0,2.0,24.56,31.62,41.16,58.57,72.71,"51,090","65,760",85610.0,"121,830","151,230",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,225440.0,0.013662171753016324,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,297620400.0,False,False,0.0,0.02623927998195053,113,113
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,14180.0,4.5,4.531,1.16,,,78.80,163900.0,1.0,47.30,59.48,78.48,89.71,108.04,"98,380","123,720",163230.0,"186,600","224,720",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,225440.0,0.06289921930447126,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,2324102000.0,True,False,100.0,0.2799751883604776,113,113
