minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,37470.0,3445874500.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,1880.0,237194800.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,175902400.0,0.0,74.15946723958535,0.0,74.15946723958535,0.0
113,113,18660.0,2201211100.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,397709900.0,0.0,18.067776416355525,0.0,18.067776416355525,0.0
119,119,28600.0,2497183100.0,36.05975107373258,27.04481330529943,2,0,0.0,0.0,"119041,119121",178764900.0,0.0,7.15866209410115,0.0,7.15866209410115,0.0
131,131,48800.0,3477643900.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,417543800.0,0.0,12.006513950436386,0.0,12.006513950436386,0.0
132,132,17710.0,1316562700.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,0.0,0.0,0.0,0.0,0.0,0.0
151,151,21180.0,1591801400.0,67.0084505066839,50.25633788001292,11,1,0.0,0.0,"151211,151212,151232,151241,151242,151243,151244,151251,151252,151254,151255",1463672000.0,497934500.0,91.95066671005566,31.281195003346525,60.66947170670913,0.7821413994162708
152,152,470.0,49195300.0,57.45396536827705,43.09047402620779,2,0,0.0,0.0,"152031,152051",49195300.0,0.0,100.0,0.0,100.0,0.0
171,171,1220.0,90813600.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",60529400.0,0.0,66.65235163015231,0.0,66.65235163015231,0.0
172,172,7630.0,647102900.0,50.89164825530944,38.16873619148208,8,0,0.0,0.0,"172011,172021,172061,172071,172072,172141,172171,172199",265978200.0,0.0,41.10292196187036,0.0,41.10292196187036,0.0
173,173,3700.0,202016400.0,47.361475349872855,35.52110651240465,4,0,0.0,0.0,"173012,173021,173023,173028",41792800.0,0.0,20.68782534487299,0.0,20.68782534487299,0.0
191,191,1400.0,104859700.0,46.379625014496284,34.78471876087222,2,0,0.0,0.0,"191012,191029",40359000.0,0.0,38.48857091904707,0.0,38.48857091904707,0.0
192,192,980.0,85734000.0,49.32637558843197,36.99478169132398,3,0,0.0,0.0,"192012,192021,192042",29073800.0,0.0,33.91163365759209,0.0,33.91163365759209,0.0
193,193,1300.0,104830000.0,36.97962589223426,27.734719419175697,2,0,0.0,0.0,"193011,193099",20029400.0,0.0,19.10655346751884,0.0,19.10655346751884,0.0
194,194,2160.0,106938300.0,43.31835688820983,32.48876766615737,2,0,0.0,0.0,"194031,194061",31246200.0,0.0,29.218904732916084,0.0,29.218904732916084,0.0
195,195,1110.0,71743200.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,14310.0,742342600.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,510.0,24139900.0,35.19523993808049,26.39642995356037,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,3970.0,450422700.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,2150.0,104234400.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,11830.0,1016141200.0,29.9710390103671,22.478279257775323,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,40950.0,2209472500.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,1885500.0,0.0,0.0853371110072653,0.0,0.0853371110072653,0.0
253,253,3330.0,124804100.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,2260.0,113875800.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,3524800.0,0.0,3.095302074716489,0.0,3.095302074716489,0.0
259,259,14480.0,541813600.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
