minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,2190.0,167490.0,366803100.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,34660.0,87790.0,3042801400.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,620.0,58500.0,36270000.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,110.0,103250.0,11357500.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,1360.0,129340.0,175902400.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,,133280.0,,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,270.0,143110.0,38639700.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,140.0,80680.0,11295200.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,1080.0,103540.0,111823200.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,700.0,99580.0,69706000.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,3230.0,123130.0,397709900.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,7150.0,119530.0,854639500.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,2390.0,119580.0,285796200.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,1150.0,131040.0,150696000.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",1250.0,106400.0,133000000.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,140.0,116800.0,16352000.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,1320.0,117190.0,154690800.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,250.0,107190.0,26797500.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119013,"Farmers, Ranchers, and Other Agricultural Managers",40.0,59700.0,2388000.0,33.66921313980138,False,0.0,25.251909854851036,False,0.0,0.0
119,119,119021,Construction Managers,2080.0,88120.0,183289600.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",910.0,46660.0,42460600.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",2560.0,85640.0,219238400.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",1430.0,112610.0,161032300.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",640.0,70160.0,44902400.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,1040.0,139310.0,144882400.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,3080.0,55790.0,171833200.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119081,Lodging Managers,530.0,49020.0,25980600.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
