AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,2190.0,3.7,1.721,1.24,,,80.52,167490.0,2.1,20.73,38.48,60.58,90.27,#,"43,110","80,040",126010.0,"187,770",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,86610.0,0.025285763768617943,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,366803100.0,False,False,0.0,0.10511727564640835,111,111
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,34660.0,4.7,27.266,1.18,,,42.21,87790.0,1.0,14.27,20.93,30.75,49.86,80.39,"29,680","43,540",63970.0,"103,710","167,200",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,86610.0,0.400184736173652,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,3042801400.0,False,False,0.0,1.0,111,111
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,620.0,8.8,0.485,2.27,,,*,58500.0,4.7,*,*,*,*,*,"23,890","28,360",44350.0,"63,590","110,250",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,86610.0,0.007158526729015125,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,36270000.0,False,False,0.0,0.009071382172555367,111,111
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,110.0,28.1,0.089,0.66,,,49.64,103250.0,7.9,25.09,34.74,44.43,51.60,88.36,"52,180","72,250",92410.0,"107,320","183,780",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,86610.0,0.0012700611938575223,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,11357500.0,False,False,0.0,0.0035115128172234764,112,112
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,1360.0,7.1,1.066,0.44,,,62.18,129340.0,3.1,23.03,37.19,56.87,79.04,100.30,"47,910","77,350",118290.0,"164,390","208,630",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,86610.0,0.015702574760420276,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,175902400.0,True,False,100.0,0.07448600916955371,112,112
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,,**,**,**,,,64.08,133280.0,2.9,25.66,35.99,58.57,82.40,105.48,"53,380","74,850",121820.0,"171,400","219,410",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,86610.0,,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,,False,False,0.0,,112,112
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,270.0,4.0,0.214,0.45,,,68.80,143110.0,1.8,26.74,38.04,52.02,99.42,#,"55,620","79,130",108200.0,"206,800",#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,86610.0,0.0031174229303775544,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,38639700.0,False,False,0.0,0.011714209426941432,112,112
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,140.0,17.8,0.108,0.52,,,38.79,80680.0,14.0,19.32,28.57,31.50,51.02,59.93,"40,180","59,430",65520.0,"106,120","124,660",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,86610.0,0.0016164415194550282,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,11295200.0,False,False,0.0,0.00326387265748254,112,112
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1080.0,5.6,0.847,0.53,,,49.78,103540.0,1.8,26.78,33.35,42.50,58.06,78.89,"55,700","69,360",88400.0,"120,770","164,090",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,86610.0,0.012469691721510218,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,111823200.0,False,False,0.0,0.03477861221552123,113,113
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,700.0,4.7,0.547,0.63,,,47.87,99580.0,2.0,27.13,34.61,44.91,55.51,74.58,"56,420","71,990",93420.0,"115,460","155,130",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,86610.0,0.008082207597275142,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,69706000.0,False,False,0.0,0.021607378861741747,113,113
