AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,38920.0,2.4,2.169,1.56,,,135.11,281030.0,1.4,42.01,70.21,111.10,#,#,"87,390","146,030",231080.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,1308810.0,0.02973693660653571,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,10937687600.0,False,False,0.0,0.08950129314918404,111,111
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,273630.0,0.9,15.248,0.66,,,74.60,155170.0,4.2,29.57,39.52,58.72,86.00,#,"61,500","82,210",122140.0,"178,870",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,1308810.0,0.20906777912760446,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,42459167100.0,False,False,0.0,0.3984378236115493,111,111
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,2120.0,5.2,0.118,0.55,,,*,86890.0,2.9,*,*,*,*,*,"34,810","38,940",62380.0,"104,450","136,310",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,1308810.0,0.0016197920248164363,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,184206800.0,False,False,0.0,0.0013155103293620391,111,111
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,2880.0,7.2,0.160,1.18,,,84.18,175080.0,6.0,36.99,50.12,67.48,97.44,#,"76,950","104,240",140360.0,"202,670",#,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,1308810.0,0.002200472184656291,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,504230400.0,False,False,0.0,0.004451467779022247,112,112
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,59830.0,2.8,3.334,1.37,,,92.66,192730.0,1.0,45.87,62.45,83.89,109.89,#,"95,400","129,890",174480.0,"228,560",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,1308810.0,0.04571328153055065,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,11531035900.0,True,False,100.0,0.1394228517163496,112,112
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,113910.0,1.6,6.347,1.67,,,73.09,152030.0,0.7,28.26,39.38,63.34,94.43,#,"58,780","81,910",131740.0,"196,410",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,1308810.0,0.08703325922020767,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,17317737300.0,False,False,0.0,0.1586636902601028,112,112
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,9580.0,3.6,0.534,1.11,,,81.96,170470.0,1.5,43.39,53.06,72.35,101.58,#,"90,260","110,370",150500.0,"211,280",#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,1308810.0,0.007319626225349745,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,1633102600.0,False,False,0.0,0.01413693966413478,112,112
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,4510.0,5.6,0.251,1.20,,,74.13,154200.0,4.1,37.93,48.08,62.25,83.76,#,"78,900","100,000",129480.0,"174,210",#,,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,1308810.0,0.0034458783169444,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,695442000.0,False,False,0.0,0.005738031029675932,112,112
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,37990.0,1.6,2.117,1.33,,,59.86,124500.0,1.1,33.33,41.76,53.24,70.07,95.50,"69,330","86,860",110750.0,"145,750","198,640",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,1308810.0,0.02902636746357378,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,4729755000.0,False,False,0.0,0.04200313179722341,113,113
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,18010.0,1.7,1.003,1.16,,,58.10,120850.0,0.7,31.67,38.72,52.92,71.26,88.83,"65,880","80,530",110080.0,"148,220","184,760",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,1308810.0,0.013760591682520763,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,2176508500.0,False,False,0.0,0.01926437787736161,113,113
