minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,46030.0,7192012100.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,17420.0,3261575600.0,43.957277403343,32.96795805250725,1,0,0.0,0.0,112021,1097823300.0,0.0,33.65929337955557,0.0,33.65929337955557,0.0
113,113,35380.0,6128678300.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,2229001600.0,0.0,36.37002124911663,0.0,36.37002124911663,0.0
119,119,57130.0,7666435400.0,36.640882963830364,27.480662222872773,2,0,0.0,0.0,"119041,119121",984428200.0,0.0,12.840755170258136,0.0,12.840755170258136,0.0
131,131,189560.0,17329562800.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,1387447100.0,0.0,8.006244104438688,0.0,8.006244104438688,0.0
132,132,67820.0,6610311200.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,338250800.0,0.0,5.117017788814541,0.0,5.117017788814541,0.0
151,151,128180.0,15716284200.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",14266181100.0,7317533700.0,90.77324460701722,46.560202188250074,44.213042418767145,3.6417100107664777
152,152,8770.0,1024491000.0,53.954774553107924,40.46608091483095,4,0,0.0,0.0,"152021,152031,152041,152051",923418600.0,0.0,90.13437892572995,0.0,90.13437892572995,0.0
171,171,6640.0,583827400.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",380509600.0,0.0,65.17501576664611,0.0,65.17501576664611,0.0
172,172,48430.0,5715404900.0,50.862131355233196,38.146598516424895,9,0,0.0,0.0,"172011,172021,172031,172061,172071,172072,172141,172171,172199",3552986100.0,0.0,62.16508125259856,0.0,62.16508125259856,0.0
