AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,620.0,3.7,0.220,0.16,,,124.79,259550.0,14.9,42.67,55.86,86.49,#,#,"88,760","116,190",179900.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,155960.0,0.003975378302128751,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,160921000.0,False,False,0.0,0.010580642890273058,111,111
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,44710.0,3.7,15.788,0.68,,,75.10,156210.0,1.3,31.29,42.16,60.59,88.10,#,"65,080","87,680",126030.0,"183,250",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,155960.0,0.2866760707873814,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,6984149100.0,False,False,0.0,0.5266209468463526,111,111
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,700.0,20.6,0.246,1.15,,,*,67060.0,4.3,*,*,*,*,*,"28,390","28,390",44410.0,"87,240","127,970",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,155960.0,0.004488330341113106,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,46942000.0,False,False,0.0,0.002693678328030452,111,111
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,5970.0,8.5,2.109,0.87,,,88.41,183890.0,1.6,53.35,65.65,81.36,104.39,#,"110,970","136,550",169220.0,"217,130",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,155960.0,0.03827904590920749,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1097823300.0,True,False,100.0,0.10665804521103894,112,112
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,9950.0,6.2,3.513,0.93,,,93.64,194770.0,1.9,52.71,66.63,84.95,108.44,#,"109,630","138,600",176700.0,"225,550",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,155960.0,0.06379840984867916,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1937961500.0,False,False,0.0,0.14266816895379728,112,112
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,960.0,5.5,0.339,0.71,,,75.18,156370.0,1.6,44.16,53.61,70.91,86.29,105.64,"91,850","111,520",147500.0,"179,480","219,730",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,155960.0,0.00615542446781226,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,150115200.0,False,False,0.0,0.010441481951975327,112,112
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,540.0,13.6,0.192,0.91,,,67.37,140140.0,1.9,40.87,49.77,60.80,79.17,98.26,"85,020","103,520",126460.0,"164,680","204,380",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,155960.0,0.003462426263144396,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,75675600.0,False,False,0.0,0.0050171072914297725,112,112
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,2040.0,6.3,0.721,0.45,,,77.82,161860.0,4.3,41.02,52.65,68.39,93.92,#,"85,320","109,520",142260.0,"195,350",#,,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,155960.0,0.013080276994101052,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,330194400.0,False,False,0.0,0.023561789422103317,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,1900.0,6.3,0.671,0.78,,,55.70,115860.0,1.7,32.06,40.03,52.43,68.05,80.30,"66,680","83,260",109060.0,"141,550","167,030",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,155960.0,0.012182610925878431,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,220134000.0,False,False,0.0,0.015655872822892845,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,12080.0,13.3,4.267,1.09,,,88.71,184520.0,5.3,55.69,67.39,83.19,103.20,#,"115,830","140,170",173030.0,"214,660",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,155960.0,0.0774557578866376,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,2229001600.0,True,False,100.0,0.2166085939988619,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,10700.0,2.9,3.779,0.73,,,91.48,190270.0,1.6,53.03,65.64,80.97,104.61,#,"110,290","136,520",168410.0,"217,590",#,,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,155960.0,0.06860733521415747,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,2035889000.0,False,False,0.0,0.15423478490498538,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,1600.0,4.3,0.563,0.38,,,69.92,145440.0,2.2,38.49,50.08,65.08,85.02,106.10,"80,050","104,160",135370.0,"176,840","220,700",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,155960.0,0.010259040779687098,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,232704000.0,False,False,0.0,0.012996409115818001,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,1040.0,5.7,0.368,0.72,,,82.16,170900.0,4.3,52.35,61.98,74.03,90.79,#,"108,880","128,920",153980.0,"188,850",#,,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,155960.0,0.006668376506796614,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,177736000.0,False,False,0.0,0.010647734378979267,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1970.0,5.2,0.697,0.53,,,61.70,128340.0,2.1,33.06,43.82,57.83,73.44,103.78,"68,760","91,140",120290.0,"152,750","215,860",,,113071,10.869389978213508,29.95125272331155,Low,11,0.0,155960.0,0.012631443959989741,0.0,0.0,0,0.2995125272331155,22.463439542483663,Low,252829800.0,False,False,0.0,0.013205691078977186,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,200.0,8.5,0.071,0.58,,,81.71,169960.0,2.0,54.26,61.15,76.32,97.38,#,"112,860","127,190",158750.0,"202,540",#,,,113111,9.628454172366622,28.02462380300958,Low,11,0.0,155960.0,0.0012823800974608873,0.0,0.0,0,0.2802462380300958,21.01846785225718,Low,33992000.0,False,False,0.0,0.0016612476910687394,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,3170.0,2.9,1.119,0.85,,,78.19,162630.0,1.6,46.39,58.00,71.80,87.03,114.18,"96,490","120,650",149340.0,"181,010","237,500",,,113121,9.211764705882352,26.166666666666664,Low,11,0.0,155960.0,0.020325724544755064,0.0,0.0,0,0.26166666666666666,19.624999999999996,Very Low,515537100.0,False,False,0.0,0.023524814472880868,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,680.0,8.0,0.240,0.88,,,71.17,148030.0,2.6,40.54,53.52,65.57,81.70,104.90,"84,320","111,330",136380.0,"169,930","218,190",,,113131,8.528063725490197,24.653492647058826,Low,11,0.0,155960.0,0.0043600923313670175,0.0,0.0,0,0.24653492647058825,18.49011948529412,Very Low,100660400.0,False,False,0.0,0.004327678470394622,113,113
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,12830.0,3.2,4.529,2.09,,,55.82,116100.0,1.6,31.25,40.35,51.28,65.04,83.52,"65,000","83,930",106650.0,"135,290","173,720",,,119021,12.699264705882351,38.31066176470588,Low,11,0.0,155960.0,0.08226468325211593,0.0,0.0,0,0.3831066176470588,28.73299632352941,Low,1489563000.0,False,False,0.0,0.09951680187217522,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,990.0,7.9,0.350,0.83,,,32.06,66680.0,3.5,22.50,23.34,29.05,39.13,47.83,"46,800","48,550",60430.0,"81,380","99,480",,,119031,13.658823529411762,37.67647058823529,Low,11,0.0,155960.0,0.006347781482431393,0.0,0.0,0,0.3767647058823529,28.257352941176467,Low,66013200.0,False,False,0.0,0.00433729417812912,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,5290.0,0.7,1.867,0.94,,,*,106720.0,0.5,*,*,*,*,*,"73,430","86,470",106230.0,"127,690","139,310",True,,119032,13.438865546218487,37.525735294117645,Low,11,0.0,155960.0,0.03391895357784047,0.0,0.0,0,0.37525735294117646,28.144301470588236,Low,564548800.0,False,False,0.0,0.03694439680441531,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1820.0,1.9,0.644,0.58,,,57.11,118780.0,0.5,32.41,38.74,49.51,63.80,84.05,"67,410","80,580",102970.0,"132,700","174,830",,,119033,11.166301096709873,33.67846460618147,Low,11,0.0,155960.0,0.011669658886894075,0.0,0.0,0,0.3367846460618147,25.2588484546361,Low,216179600.0,False,False,0.0,0.012696525043704882,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,980.0,6.2,0.345,1.03,,,52.01,108180.0,2.2,26.61,38.05,48.05,62.03,74.82,"55,360","79,150",99940.0,"129,030","155,630",,,119039,,35.95915032679739,Low,11,0.0,155960.0,0.0062836624775583485,0.0,0.0,0,0.3595915032679739,26.969362745098042,Low,106016400.0,False,False,0.0,0.006648143038039427,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,4090.0,3.4,1.445,1.06,,,90.20,187620.0,1.2,62.51,72.74,83.94,103.99,#,"130,010","151,300",174600.0,"216,290",#,,,119041,20.744858554108664,63.00718455321059,High,11,0.0,155960.0,0.026224672993075147,0.0,0.0,0,0.6300718455321059,47.25538841490795,Moderate,767365800.0,True,False,100.0,0.08431607748144074,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1480.0,8.9,0.523,0.32,,,39.83,82850.0,2.5,27.85,30.51,35.42,47.83,55.39,"57,930","63,460",73680.0,"99,490","115,210",,,119051,8.88657616892911,27.344645550527908,Low,11,0.0,155960.0,0.009489612721210567,0.0,0.0,0,0.2734464555052791,20.50848416289593,Low,122618000.0,False,False,0.0,0.00584715231719976,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,30.0,17.6,0.012,0.40,,,42.88,89190.0,4.6,39.98,42.10,42.66,42.71,45.16,"83,150","87,580",88740.0,"88,840","93,940",,,119071,10.376470588235296,38.44117647058824,Low,11,0.0,155960.0,0.00019235701461913312,0.0,0.0,0,0.3844117647058824,28.830882352941178,Low,2675700.0,False,False,0.0,0.00017937089288755283,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,690.0,7.9,0.244,1.25,,,46.34,96380.0,2.3,25.50,32.31,44.40,55.21,68.07,"53,050","67,210",92340.0,"114,830","141,590",,,119072,12.699264705882351,41.748161764705884,Moderate,11,0.0,155960.0,0.004424211336240062,0.0,0.0,0,0.4174816176470588,31.311121323529413,Low,66502200.0,False,False,0.0,0.004841626140151682,119,119
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,1040.0,12.3,0.366,1.32,,,49.94,103880.0,3.8,29.11,36.55,47.00,58.43,77.17,"60,550","76,020",97760.0,"121,530","160,500",,,119081,6.192292089249493,20.308316430020287,Low,11,0.0,155960.0,0.006668376506796614,0.0,0.0,0,0.20308316430020287,15.231237322515215,Very Low,108035200.0,False,False,0.0,0.003826106748985934,119,119
