minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,49660.0,7910874200.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,17390.0,2854223100.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1198927200.0,0.0,42.00537792578303,0.0,42.00537792578303,0.0
113,113,43510.0,7001122500.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,1626327500.0,0.0,23.22952497974432,0.0,23.22952497974432,0.0
119,119,36470.0,4801822100.0,36.53498334578578,27.40123750933934,2,0,0.0,0.0,"119041,119121",880992000.0,0.0,18.347035388920386,0.0,18.347035388920386,0.0
131,131,65900.0,6076046600.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,1105622100.0,0.0,18.19640586693328,0.0,18.19640586693328,0.0
132,132,35680.0,3691795600.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,40918800.0,0.0,1.108371221852044,0.0,1.108371221852044,0.0
151,151,45200.0,4984111200.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",4952173800.0,2486504000.0,99.35921574141445,49.88861404215861,49.47060169925584,2.0840711054011947
152,152,3810.0,473962700.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",278721200.0,0.0,58.80656853376859,0.0,58.80656853376859,0.0
171,171,2120.0,208384700.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",165374200.0,0.0,79.36004898632193,0.0,79.36004898632193,0.0
172,172,23580.0,2575844600.0,50.70042768767546,38.0253207657566,7,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172199",1414639900.0,0.0,54.91945826235014,0.0,54.91945826235014,0.0
173,173,5770.0,420479300.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",141583000.0,0.0,33.671812143903395,0.0,33.671812143903395,0.0
191,191,4120.0,459124200.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",49679400.0,0.0,10.820470800711442,0.0,10.820470800711442,0.0
192,192,1930.0,204761200.0,51.75909584461376,38.81932188346031,4,0,0.0,0.0,"192012,192042,192043,192099",34564300.0,0.0,16.88029763451279,0.0,16.88029763451279,0.0
193,193,3140.0,281384000.0,37.318836281031686,27.98912721077377,2,0,0.0,0.0,"193011,193099",48526000.0,0.0,17.245472379381912,0.0,17.245472379381912,0.0
194,194,2050.0,128682500.0,46.567856877599525,34.92589265819964,2,0,0.0,0.0,"194031,194061",37765700.0,0.0,29.34796883803159,0.0,29.34796883803159,0.0
195,195,1220.0,102275200.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,33840.0,2115115800.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,970.0,69509300.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,8970.0,1700803700.0,35.48325264488999,26.61243948366748,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,5110.0,365264000.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,14210.0,1477844800.0,29.80773542720725,22.35580157040544,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,58030.0,4674602100.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,6200600.0,0.0,0.13264444475391818,0.0,0.13264444475391818,0.0
253,253,12960.0,828755900.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,3850.0,274113500.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,14744400.0,0.0,5.378939745762248,0.0,5.378939745762248,0.0
259,259,26940.0,1278862300.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,6580.0,412955800.0,44.8953582476172,33.671518685712904,3,0,0.0,0.0,"271021,271022,271027",29404400.0,0.0,7.120471488716226,0.0,7.120471488716226,0.0
272,272,7760.0,591620700.0,29.225034615524667,21.9187759616435,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,5840.0,485883400.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,1830.0,118696800.0,38.0933443709179,28.570008278188425,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,73930.0,9886760200.0,21.589620655045852,16.19221549128439,1,0,0.0,0.0,291129,7098400.0,0.0,0.0717970281103814,0.0,0.0717970281103814,0.0
292,292,33740.0,2193915200.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,1690.0,107698400.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,63110.0,2484657700.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,2130.0,127167700.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,19570.0,936874600.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,4970.0,478469100.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,3430.0,253211900.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,11480.0,875300300.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,17070.0,707085200.0,37.1723763368984,27.879282252673796,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,14150.0,769107300.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,31750.0,1222594800.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,64200.0,2403190500.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,17680.0,582130000.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,226938000.0,0.0,38.98407572191778,0.0,38.98407572191778,0.0
371,371,3620.0,236113500.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,37340.0,1468993000.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
