AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,900.0,10.2,0.544,0.39,,,165.95,345170.0,5.9,46.05,76.76,#,#,#,"95,780","159,650",,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,147030.0,0.006121199755152009,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,310653000.0,False,False,0.0,0.035642160887286424,111,111
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,48760.0,3.5,29.369,1.27,,,74.94,155870.0,1.9,27.60,38.57,59.52,89.66,#,"57,420","80,220",123810.0,"186,490",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,147030.0,0.33163300006801333,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,7600221200.0,False,False,0.0,1.0,111,111
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,160.0,24.2,0.098,0.72,,,79.05,164420.0,11.6,39.77,46.55,71.06,105.91,#,"82,720","96,820",147810.0,"220,300",#,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,147030.0,0.0010882132898048017,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,26307200.0,False,False,0.0,0.003256368267836416,112,112
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,7080.0,9.3,4.267,1.76,,,81.41,169340.0,2.1,43.80,57.70,78.21,100.06,112.34,"91,100","120,020",162690.0,"208,130","233,670",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,147030.0,0.04815343807386248,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1198927200.0,True,False,100.0,0.20325588523056198,112,112
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,8810.0,2.9,5.304,1.40,,,78.51,163290.0,2.0,38.73,51.31,65.35,90.86,#,"80,560","106,730",135920.0,"189,000",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,147030.0,0.059919744269876896,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1438584900.0,False,False,0.0,0.18480196304994986,112,112
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,720.0,6.2,0.432,0.90,,,70.98,147640.0,2.3,37.28,49.49,66.63,82.75,110.24,"77,540","102,940",138580.0,"172,110","229,290",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,147030.0,0.004896959804121608,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,106300800.0,False,False,0.0,0.01290218147701128,112,112
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,620.0,7.1,0.376,1.80,,,65.22,135650.0,7.2,36.52,43.44,60.26,77.92,103.31,"75,970","90,360",125340.0,"162,080","214,890",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,147030.0,0.004216826497993606,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,84103000.0,False,False,0.0,0.009729670737034426,112,112
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,2500.0,14.6,1.503,0.94,,,62.53,130050.0,3.2,36.13,40.83,55.11,73.07,97.23,"75,150","84,920",114620.0,"151,990","202,240",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,147030.0,0.017003332653200028,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,325125000.0,False,False,0.0,0.040483501858677606,113,113
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,2300.0,3.2,1.386,1.60,,,55.53,115510.0,1.5,30.35,40.22,51.94,66.35,81.23,"63,120","83,650",108030.0,"138,020","168,960",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,147030.0,0.015643066040944027,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,265673000.0,False,False,0.0,0.032970590079629804,113,113
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,9950.0,2.5,5.992,1.54,,,78.58,163450.0,1.2,47.68,60.42,76.87,91.07,114.34,"99,170","125,670",159880.0,"189,420","237,820",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,147030.0,0.06767326395973611,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,1626327500.0,True,False,100.0,0.2757797979875317,113,113
