minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,5180.0,897891100.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,2280.0,420336600.0,43.957277403343,32.96795805250725,1,0,0.0,0.0,112021,200865200.0,0.0,47.786749952300134,0.0,47.786749952300134,0.0
113,113,6890.0,1222161200.0,36.4464371793267,27.334827884495027,1,0,0.0,0.0,113021,328372100.0,0.0,26.868149635252696,0.0,26.868149635252696,0.0
119,119,8440.0,1023744000.0,36.69181282457029,27.518859618427722,2,0,0.0,0.0,"119041,119121",128696400.0,0.0,12.571150600150037,0.0,12.571150600150037,0.0
131,131,22480.0,2044932600.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,450660000.0,0.0,22.03789014855551,0.0,22.03789014855551,0.0
132,132,15420.0,1533499200.0,34.82764440740388,26.12073330555291,1,0,0.0,0.0,132099,125235200.0,0.0,8.16662962719511,0.0,8.16662962719511,0.0
151,151,15340.0,1808691900.0,68.19944353771909,51.149582653289315,12,2,0.0,0.0,"151211,151212,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",1640777600.0,705296400.0,90.7162574233898,38.994833780147964,51.72142364324184,2.3757579213404605
152,152,1320.0,155967500.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",155967500.0,0.0,100.0,0.0,100.0,0.0
171,171,250.0,22447100.0,45.412046508744346,34.059034881558254,2,0,0.0,0.0,"171011,171012",11029200.0,0.0,49.13418659871431,0.0,49.13418659871431,0.0
172,172,3860.0,433758300.0,50.34179496888498,37.75634622666374,6,0,0.0,0.0,"172011,172061,172071,172072,172141,172199",170890500.0,0.0,39.39763227585501,0.0,39.39763227585501,0.0
173,173,1730.0,101242400.0,45.84708336551778,34.385312524138335,2,0,0.0,0.0,"173012,173023",15174500.0,0.0,14.988285540445506,0.0,14.988285540445506,0.0
191,191,1490.0,139673500.0,45.072782656587265,33.804586992440456,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
192,192,1900.0,200819000.0,47.726057623408124,35.7945432175561,2,0,0.0,0.0,"192021,192042",10820700.0,0.0,5.38828497303542,0.0,5.38828497303542,0.0
193,193,840.0,60553700.0,34.12494523671538,25.593708927536532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
194,194,1080.0,66473200.0,48.222237076648845,36.166677807486636,2,0,0.0,0.0,"194031,194061",45282000.0,0.0,68.12068623144366,0.0,68.12068623144366,0.0
