AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,350.0,3.3,0.756,0.54,,,123.19,256230.0,5.5,23.19,63.17,80.91,#,#,"48,240","131,390",168280.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,22790.0,0.015357612988152698,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,89680500.0,False,False,0.0,0.06079521345691397,111,111
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,4750.0,3.1,10.112,0.44,,,81.26,169020.0,2.0,33.36,46.58,65.59,101.58,#,"69,380","96,880",136440.0,"211,280",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,22790.0,0.20842474769635805,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,802845000.0,False,False,0.0,0.6241491265366376,111,111
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,80.0,5.3,0.178,0.83,,,*,67070.0,0.8,*,*,*,*,*,"39,630","52,480",56670.0,"65,950","105,970",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,22790.0,0.0035103115401491883,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,5365600.0,False,False,0.0,0.0031744936973731874,111,111
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,1090.0,7.8,2.314,0.95,,,88.60,184280.0,1.6,57.97,66.41,83.23,105.91,#,"120,570","138,130",173110.0,"220,300",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,22790.0,0.04782799473453269,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,200865200.0,True,False,100.0,0.20120460218403813,112,112
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,900.0,9.0,1.915,0.50,,,94.19,195910.0,3.4,50.62,67.22,89.48,109.94,#,"105,280","139,820",186120.0,"228,670",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,22790.0,0.03949100482667837,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,176319000.0,False,False,0.0,0.13382988020986672,112,112
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,190.0,5.9,0.404,0.84,,,74.74,155460.0,1.3,48.77,57.99,70.84,88.49,105.35,"101,440","120,610",147350.0,"184,060","219,120",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,22790.0,0.008336989907854322,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,29537400.0,False,False,0.0,0.021182722166114245,112,112
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,100.0,10.9,0.207,0.99,,,65.46,136150.0,1.4,45.09,50.80,64.34,79.45,80.47,"93,790","105,670",133820.0,"165,260","167,380",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,22790.0,0.004387889425186486,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,13615000.0,False,False,0.0,0.009306517407614356,112,112
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,730.0,6.4,1.559,0.98,,,71.70,149130.0,1.7,47.28,54.12,64.79,81.56,100.41,"98,340","112,570",134760.0,"169,640","208,850",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,22790.0,0.03203159280386134,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,108864900.0,False,False,0.0,0.08009372227366404,113,113
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,270.0,10.2,0.583,0.67,,,64.12,133380.0,5.2,37.75,46.15,61.57,76.01,89.66,"78,520","95,990",128060.0,"158,100","186,480",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,22790.0,0.01184730144800351,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,36012600.0,False,False,0.0,0.026406854325632036,113,113
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,1670.0,3.6,3.553,0.91,,,94.53,196630.0,0.7,58.64,77.36,88.55,106.81,#,"121,970","160,910",184190.0,"222,160",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,22790.0,0.0732777534006143,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,328372100.0,True,False,100.0,0.32900582434339243,113,113
