minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,35930.0,6441054500.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,14040.0,2776293600.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,563036400.0,0.0,20.28014616321559,0.0,20.28014616321559,0.0
113,113,18010.0,3241172300.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,860951000.0,0.0,26.56295069533946,0.0,26.56295069533946,0.0
119,119,33210.0,5056126300.0,37.17568272925912,27.881762046944345,2,0,0.0,0.0,"119041,119121",465785300.0,0.0,9.21229558684086,0.0,9.21229558684086,0.0
131,131,91580.0,9942124000.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,2237313600.0,0.0,22.503376542074914,0.0,22.503376542074914,0.0
132,132,21560.0,2537590100.0,36.11694383387959,27.087707875409688,1,0,0.0,0.0,132099,308760000.0,0.0,12.167449739026015,0.0,12.167449739026015,0.0
151,151,42320.0,5311857000.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",3027899000.0,1321418600.0,57.002645214281934,24.87677284987152,32.12587236441041,1.8352408229344563
152,152,6490.0,803846300.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",764547800.0,0.0,95.11119227643394,0.0,95.11119227643394,0.0
171,171,1980.0,226319800.0,45.412046508744346,34.059034881558254,2,0,0.0,0.0,"171011,171012",226319800.0,0.0,100.0,0.0,100.0,0.0
172,172,7710.0,1030358200.0,50.684932755127996,38.013699566346,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172199",756640300.0,0.0,73.43468514153622,0.0,73.43468514153622,0.0
173,173,1320.0,120606200.0,48.97501564968358,36.731261737262685,2,0,0.0,0.0,"173012,173023",29119900.0,0.0,24.144612797683703,0.0,24.144612797683703,0.0
191,191,880.0,101832200.0,45.637617972149,34.22821347911175,2,0,0.0,0.0,"191012,191029",4684500.0,0.0,4.600214863275074,0.0,4.600214863275074,0.0
192,192,3350.0,432659400.0,51.358672675647924,38.51900450673595,3,0,0.0,0.0,"192012,192021,192099",207193200.0,0.0,47.8882927309565,0.0,47.8882927309565,0.0
193,193,9960.0,1388303000.0,38.256425471237975,28.69231910342848,2,0,0.0,0.0,"193011,193099",839490600.0,0.0,60.46883137182589,0.0,60.46883137182589,0.0
194,194,2880.0,209285100.0,48.222237076648845,36.166677807486636,2,0,0.0,0.0,"194031,194061",180887500.0,0.0,86.43114106068708,0.0,86.43114106068708,0.0
195,195,270.0,27837900.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,10270.0,770082400.0,33.46045012957293,25.095337597179704,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,530.0,37691100.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,34660.0,8283393400.0,43.25755971680012,32.443169787600084,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,7230.0,684740700.0,34.45967023172906,25.844752673796794,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,9350.0,1021794700.0,30.037360465024566,22.528020348768425,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,12620.0,1026289000.0,27.37623339872817,20.53217504904613,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,2170.0,172512200.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,2230.0,177571800.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,33635000.0,0.0,18.941633750404062,0.0,18.941633750404062,0.0
259,259,4860.0,303333800.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,3340.0,325494700.0,47.39644559494076,35.54733419620557,2,0,0.0,0.0,"271021,271027",20590800.0,0.0,6.32600162153178,0.0,6.32600162153178,0.0
272,272,3580.0,370383400.0,26.89811506123336,20.173586295925016,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,25250.0,2887361900.0,35.81390329663298,26.86042747247474,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,2190.0,189743000.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,19800.0,2336004200.0,21.288697182813163,15.966522887109875,1,0,0.0,0.0,291129,5678400.0,0.0,0.24308175473314644,0.0,0.24308175473314644,0.0
292,292,7480.0,537536500.0,26.153981819954677,19.615486364966014,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,360.0,33012000.0,30.555425278219396,22.91656895866455,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,13600.0,536075900.0,31.968098350451296,23.97607376283847,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,190.0,11686400.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,4430.0,234504200.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,1800.0,208572900.0,37.77812438106556,28.333593285799168,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,1400.0,116130000.0,36.705882352941174,27.52941176470588,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,5220.0,427759200.0,37.783088235294116,28.337316176470587,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,15370.0,841093900.0,35.56434937611409,26.673262032085564,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,5160.0,324798600.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,14780.0,601611600.0,21.41968954248366,16.064767156862747,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,24400.0,1183838600.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,10640.0,435267700.0,39.49509803921569,29.621323529411764,1,0,0.0,0.0,359021,139533100.0,0.0,32.056846855394966,0.0,32.056846855394966,0.0
371,371,1610.0,91619300.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,17730.0,728145300.0,29.433239962651726,22.074929971988794,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,570.0,27331800.0,43.33251633986929,32.49938725490196,1,0,0.0,0.0,373011,25471800.0,0.0,93.19474019274251,0.0,93.19474019274251,0.0
391,391,520.0,31127800.0,31.176470588235293,23.38235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,230.0,9324200.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,0.0,0.0,0.0,0.0,0.0,0.0
393,393,1330.0,52697400.0,40.322654061624654,30.241990546218485,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,1330.0,69820500.0,31.71965452847806,23.78974089635855,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
396,396,3280.0,131808400.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,240.0,13089600.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,3900.0,177588600.0,26.261029411764703,19.69577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,2020.0,134779000.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
412,412,12270.0,487406000.0,31.865757350120713,23.899318012590538,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
413,413,6080.0,541389900.0,39.14716025994716,29.36037019496037,1,0,0.0,0.0,413091,271420000.0,0.0,50.13392381350299,0.0,50.13392381350299,0.0
414,414,290.0,27149800.0,39.9348283613223,29.951121270991724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
419,419,720.0,64547200.0,38.031120924887716,28.523340693665787,1,0,0.0,0.0,419031,21025200.0,0.0,32.573372663725145,0.0,32.573372663725145,0.0
431,431,3620.0,329094200.0,35.07732980832783,26.307997356245878,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
432,432,300.0,14240800.0,44.70320855614973,33.5274064171123,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
433,433,4140.0,264852600.0,30.784343811508652,23.08825785863149,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
434,434,13260.0,725952800.0,33.86973989873359,25.402304924050192,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
435,435,3430.0,197556300.0,29.958529363953836,22.468897022965375,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
436,436,21260.0,1429351600.0,32.783828035426716,24.587871026570035,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
439,439,8720.0,472460000.0,38.317980206038015,28.73848515452851,1,0,0.0,0.0,439071,12182400.0,0.0,2.578504000338653,0.0,2.578504000338653,0.0
