AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1350.0,9.2,1.928,1.39,,,147.97,307770.0,5.9,58.05,76.20,99.37,#,#,"120,740","158,500",206690.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,101190.0,0.013341239252890602,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,415489500.0,False,False,0.0,0.05159581895145481,111,111
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,34580.0,2.1,49.266,2.13,,,83.77,174250.0,1.1,40.43,58.05,78.36,91.73,#,"84,100","120,750",162990.0,"190,800",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,101190.0,0.3417333728629311,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,6025565000.0,False,False,0.0,0.8580992575526456,111,111
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,90.0,23.6,0.129,0.95,,,61.16,127200.0,8.4,29.33,33.29,52.19,68.51,100.04,"61,010","69,250",108560.0,"142,510","208,090",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,101190.0,0.0008894159501927068,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,11448000.0,False,False,0.0,0.0015337497011929063,112,112
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,3330.0,9.1,4.746,1.95,,,81.29,169080.0,2.2,46.92,60.23,75.36,95.43,#,"97,600","125,280",156750.0,"198,490",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,101190.0,0.03290839015713015,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,563036400.0,True,False,100.0,0.1033124764084875,112,112
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1620.0,13.5,2.313,0.61,,,70.74,147130.0,6.2,37.47,47.00,66.67,81.20,106.02,"77,940","97,760",138680.0,"168,900","220,520",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,101190.0,0.016009487103468723,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,238350600.0,False,False,0.0,0.033140061886875384,112,112
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,8220.0,6.5,11.714,24.45,,,107.74,224110.0,5.5,48.65,63.91,88.22,#,#,"101,180","132,930",183500.0,#,#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,101190.0,0.08123332345093388,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,1842184200.0,False,False,0.0,0.24200573017077215,112,112
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,780.0,14.4,1.105,5.27,,,74.75,155480.0,5.3,47.21,53.58,69.16,87.41,104.55,"98,200","111,440",143860.0,"181,820","217,450",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,101190.0,0.007708271568336793,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,121274400.0,False,False,0.0,0.015185243956602847,112,112
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,750.0,5.8,1.064,0.67,,,64.22,133570.0,2.0,33.31,46.59,57.44,75.33,90.30,"69,280","96,910",119480.0,"156,690","187,820",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,101190.0,0.007411799584939223,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,100177500.0,False,False,0.0,0.013500936024634685,113,113
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,850.0,9.1,1.204,1.39,,,61.80,128540.0,4.8,37.82,45.45,57.22,74.12,92.07,"78,670","94,530",119020.0,"154,170","191,510",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,101190.0,0.008400039529597786,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,109259000.0,False,False,0.0,0.014675824313743488,113,113
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,4550.0,3.5,6.478,1.66,,,90.97,189220.0,1.4,60.50,76.88,87.33,98.81,#,"125,840","159,910",181650.0,"205,510",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,101190.0,0.04496491748196462,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,860951000.0,True,False,100.0,0.15801519852944715,113,113
