minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,222920.0,31301801900.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,53330.0,7982319400.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,2717345800.0,0.0,34.0420580013373,0.0,34.0420580013373,0.0
113,113,122510.0,17534792900.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,4457968400.0,0.0,25.42355889472752,0.0,25.42355889472752,0.0
119,119,161630.0,17932916000.0,36.48447928888147,27.3633594666611,2,0,0.0,0.0,"119041,119121",1175815200.0,0.0,6.5567429189987845,0.0,6.5567429189987845,0.0
131,131,483480.0,39625529400.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,6574356800.0,0.0,16.59121505642269,0.0,16.59121505642269,0.0
132,132,198280.0,17653542300.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,475150000.0,0.0,2.6915278074248024,0.0,2.6915278074248024,0.0
151,151,251990.0,25260521900.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",24508621900.0,11558338300.0,97.02341858582106,45.756530073909516,51.266888511911546,2.0449842380986443
152,152,18100.0,1781121400.0,53.954774553107924,40.46608091483095,4,0,0.0,0.0,"152021,152031,152041,152051",1616313400.0,0.0,90.7469530151061,0.0,90.7469530151061,0.0
171,171,11470.0,974228900.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",696236800.0,0.0,71.46542255110683,0.0,71.46542255110683,0.0
172,172,70160.0,7433182000.0,50.6252272917517,37.96892046881378,10,0,0.0,0.0,"172011,172021,172031,172061,172071,172072,172141,172161,172171,172199",3817153000.0,0.0,51.35287956086639,0.0,51.35287956086639,0.0
173,173,34360.0,2130763400.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",643583500.0,0.0,30.204362436486377,0.0,30.204362436486377,0.0
191,191,13530.0,1194771000.0,44.981037293822816,33.73577797036712,2,0,0.0,0.0,"191012,191029",191604200.0,0.0,16.036897447293246,0.0,16.036897447293246,0.0
192,192,8940.0,700804000.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",199698900.0,0.0,28.495684956136095,0.0,28.495684956136095,0.0
193,193,11800.0,989302900.0,38.33239011228796,28.749292584215972,2,0,0.0,0.0,"193011,193099",185784900.0,0.0,18.77937485071559,0.0,18.77937485071559,0.0
194,194,14680.0,779925800.0,42.387654998868236,31.79074124915117,2,0,0.0,0.0,"194031,194061",174565600.0,0.0,22.38233431949552,0.0,22.38233431949552,0.0
195,195,6990.0,502497500.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,115100.0,6102539500.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,5660.0,310151600.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,63170.0,9159348400.0,35.48325264488999,26.61243948366748,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,42290.0,2593606700.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,59550.0,4842870800.0,30.00963393392169,22.50722545044127,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,224280.0,13059970200.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,56680500.0,0.0,0.43400175599175567,0.0,0.43400175599175567,0.0
253,253,44200.0,2051365600.0,24.575928666921318,18.43194650019099,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,10890.0,591188000.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,10120000.0,0.0,1.7118074115171484,0.0,1.7118074115171484,0.0
259,259,68680.0,2701874300.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,43140.0,2370046500.0,44.20795763832337,33.15596822874254,3,0,0.0,0.0,"271021,271022,271027",212289400.0,0.0,8.95718290759274,0.0,8.95718290759274,0.0
