AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,18840.0,5.0,1.969,1.42,,,119.56,248690.0,2.8,34.62,55.33,94.74,#,#,"72,020","115,090",197060.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,560390.0,0.033619443601777335,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,4685319600.0,False,False,0.0,0.15389458847280263,111,111
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,203090.0,3.2,21.226,0.92,,,62.84,130720.0,1.5,22.35,30.51,47.80,76.71,111.00,"46,480","63,470",99420.0,"159,560","230,880",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,560390.0,0.3624083227752101,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,26547924800.0,False,False,0.0,1.0,111,111
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,990.0,8.6,0.103,0.48,,,*,69250.0,3.4,*,*,*,*,*,"22,920","29,970",53640.0,"91,880","132,330",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,560390.0,0.0017666268134691912,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,68557500.0,False,False,0.0,0.001965277623335644,111,111
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,1140.0,10.7,0.119,0.87,,,58.84,122390.0,5.0,27.73,37.77,49.96,72.70,98.41,"57,690","78,560",103920.0,"151,210","204,680",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,560390.0,0.002034297542782705,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,139524600.0,False,False,0.0,0.004944305841560535,112,112
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,17420.0,3.6,1.820,0.75,,,75.00,155990.0,1.6,33.60,48.85,66.51,95.36,#,"69,890","101,610",138340.0,"198,340",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,560390.0,0.031085494030942736,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,2717345800.0,True,False,100.0,0.13188362582955707,112,112
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,30490.0,2.5,3.186,0.84,,,72.13,150040.0,1.1,30.83,41.92,61.93,88.24,#,"64,130","87,190",128810.0,"183,540",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,560390.0,0.05440853691179357,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,4574719600.0,False,False,0.0,0.1682407579111719,112,112
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,3460.0,6.4,0.362,0.76,,,61.09,127060.0,3.9,30.53,39.25,52.44,81.87,106.83,"63,510","81,640",109080.0,"170,280","222,210",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,560390.0,0.006174271489498385,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,439627600.0,False,False,0.0,0.015275914418405987,112,112
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,820.0,7.0,0.086,0.41,,,65.14,135490.0,2.9,31.18,40.76,57.80,78.10,105.06,"64,850","84,790",120220.0,"162,440","218,520",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,560390.0,0.001463266653580542,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,111101800.0,False,False,0.0,0.0036796236763094346,112,112
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,10830.0,3.5,1.131,0.71,,,51.68,107500.0,4.2,26.52,32.67,45.61,63.36,83.25,"55,170","67,960",94870.0,"131,780","173,150",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,560390.0,0.0193258266564357,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,1164225000.0,False,False,0.0,0.041501164366752365,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,7190.0,3.4,0.751,0.87,,,49.98,103970.0,2.3,24.93,33.36,45.44,63.43,78.68,"51,850","69,390",94500.0,"131,930","163,660",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,560390.0,0.012830350291761095,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,747544300.0,False,False,0.0,0.026559010332575187,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,27110.0,2.8,2.834,0.73,,,79.06,164440.0,1.1,45.42,58.55,76.14,89.66,111.24,"94,480","121,780",158380.0,"186,490","231,380",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,560390.0,0.04837702314459573,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,4457968400.0,True,False,100.0,0.21641486233968457,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,42740.0,2.3,4.467,0.86,,,77.97,162180.0,1.6,37.26,49.59,65.28,90.44,#,"77,490","103,150",135780.0,"188,110",#,,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,560390.0,0.07626831313906386,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,6931573200.0,False,False,0.0,0.2623281183253365,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,7330.0,5.5,0.766,0.52,,,58.66,122010.0,1.4,29.34,40.84,53.36,69.62,86.03,"61,030","84,960",111000.0,"144,810","178,940",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,560390.0,0.01308017630578704,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,894333300.0,False,False,0.0,0.024951905745630346,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,3620.0,4.3,0.378,0.74,,,67.65,140710.0,1.4,37.36,48.18,63.34,81.63,100.70,"77,710","100,220",131740.0,"169,780","209,450",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,560390.0,0.0064597869340994665,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,509370200.0,False,False,0.0,0.015244041907680264,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,10030.0,4.0,1.048,0.80,,,49.79,103570.0,2.8,22.89,30.36,44.87,61.42,81.70,"47,610","63,160",93330.0,"127,740","169,940",,,113071,10.869389978213508,29.95125272331155,Low,11,0.0,560390.0,0.01789824943343029,0.0,0.0,0,0.2995125272331155,22.463439542483663,Low,1038807100.0,False,False,0.0,0.02710519747227002,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,1060.0,5.3,0.111,0.90,,,63.09,131240.0,2.4,35.47,41.27,56.18,78.21,102.29,"73,770","85,840",116850.0,"162,670","212,760",,,113111,9.628454172366622,28.02462380300958,Low,11,0.0,560390.0,0.0018915398204821642,0.0,0.0,0,0.2802462380300958,21.01846785225718,Low,139114400.0,False,False,0.0,0.003396366535587542,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,10110.0,3.2,1.057,0.80,,,64.22,133570.0,0.9,36.19,44.05,57.82,78.58,101.89,"75,280","91,630",120270.0,"163,440","211,940",,,113121,9.211764705882352,26.166666666666664,Low,11,0.0,560390.0,0.01804100715573083,0.0,0.0,0,0.26166666666666666,19.624999999999996,Very Low,1350392700.0,False,False,0.0,0.030783015308933834,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,2490.0,3.1,0.260,0.95,,,58.21,121070.0,1.1,31.01,37.90,52.23,70.01,94.38,"64,490","78,830",108640.0,"145,630","196,320",,,113131,8.528063725490197,24.653492647058826,Low,11,0.0,560390.0,0.004443334106604329,0.0,0.0,0,0.24653492647058825,18.49011948529412,Very Low,301464300.0,False,False,0.0,0.006474660759824732,113,113
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,350.0,16.9,0.036,0.90,,,42.52,88440.0,6.9,21.84,27.40,38.80,49.10,69.32,"45,430","57,000",80710.0,"102,130","144,180",,,119013,12.324828113063408,33.66921313980138,Low,11,0.0,560390.0,0.0006245650350648655,0.0,0.0,0,0.3366921313980138,25.251909854851036,Low,30954000.0,False,False,0.0,0.0009079301118633867,119,119
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,26720.0,7.1,2.793,1.29,,,56.99,118530.0,2.1,29.03,37.79,49.49,65.79,85.52,"60,380","78,600",102940.0,"136,840","177,890",,,119021,12.699264705882351,38.31066176470588,Low,11,0.0,560390.0,0.047681079248380595,0.0,0.0,0,0.3831066176470588,28.73299632352941,Low,3167121600.0,False,False,0.0,0.10570293999262219,119,119
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,4910.0,8.4,0.513,1.22,,,26.42,54950.0,3.8,17.19,17.97,22.68,28.88,39.12,"35,760","37,370",47160.0,"60,070","81,370",,,119031,13.658823529411762,37.67647058823529,Low,11,0.0,560390.0,0.008761755206195685,0.0,0.0,0,0.3767647058823529,28.257352941176467,Low,269804500.0,False,False,0.0,0.008855683290789148,119,119
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,14090.0,1.1,1.472,0.74,,,*,94690.0,0.8,*,*,*,*,*,"62,700","78,690",87390.0,"106,270","129,380",True,,119032,13.438865546218487,37.525735294117645,Low,11,0.0,560390.0,0.02514320384018273,0.0,0.0,0,0.37525735294117646,28.144301470588236,Low,1334182100.0,False,False,0.0,0.04361611659547584,119,119
