minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,111840.0,14798212800.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,29090.0,4766350900.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1639443000.0,0.0,34.396187657941844,0.0,34.396187657941844,0.0
113,113,72460.0,11166860800.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,2681798500.0,0.0,24.015688455613237,0.0,24.015688455613237,0.0
119,119,90940.0,10219537900.0,36.641087212196375,27.480815409147286,2,0,0.0,0.0,"119041,119121",759753900.0,0.0,7.434327338812452,0.0,7.434327338812452,0.0
131,131,278490.0,23112309700.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,3755115000.0,0.0,16.247251134749202,0.0,16.247251134749202,0.0
132,132,96550.0,9167539700.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,407286000.0,0.0,4.442696877549382,0.0,4.442696877549382,0.0
151,151,151530.0,15838708100.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",13781297600.0,7110190200.0,87.01023791201759,44.89122569283286,42.119012219184725,2.4919409473570653
152,152,12180.0,1206912800.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",1153592800.0,0.0,95.58211662018996,0.0,95.58211662018996,0.0
171,171,5840.0,486525600.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",348870400.0,0.0,71.70648368760041,0.0,71.70648368760041,0.0
172,172,39730.0,4129328950.0,50.17953470648864,37.634651029866475,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172199",2384427050.0,0.0,57.74369343958418,0.0,57.74369343958418,0.0
173,173,15870.0,1040253300.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",235544300.0,0.0,22.642975513752276,0.0,22.642975513752276,0.0
191,191,6030.0,533391500.0,44.981037293822816,33.73577797036712,2,0,0.0,0.0,"191012,191029",191583000.0,0.0,35.91789520455425,0.0,35.91789520455425,0.0
192,192,3960.0,390097300.0,50.84324569070641,38.132434268029805,4,0,0.0,0.0,"192012,192021,192042,192099",123683900.0,0.0,31.705910294688017,0.0,31.705910294688017,0.0
193,193,5400.0,474062500.0,36.84156203800114,27.63117152850086,2,0,0.0,0.0,"193011,193099",202717500.0,0.0,42.76176664469347,0.0,42.76176664469347,0.0
194,194,8950.0,550873450.0,42.60404609502203,31.953034571266524,2,0,0.0,0.0,"194031,194061",212670300.0,0.0,38.6060174074463,0.0,38.6060174074463,0.0
195,195,3720.0,289659300.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,54040.0,3021517500.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,1710.0,98850100.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,24640.0,4035018800.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,15140.0,918181300.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,33010.0,2798616600.0,29.879849064612404,22.4098867984593,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,130290.0,9070454400.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,36878400.0,0.0,0.4065772052169735,0.0,0.4065772052169735,0.0
