minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,6620.0,273720.0,1812026400.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,104480.0,123900.0,12945072000.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,740.0,55560.0,41114400.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,520.0,158550.0,82446000.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,9930.0,165100.0,1639443000.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,16650.0,165710.0,2759071500.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,1350.0,152160.0,205416000.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,640.0,124960.0,79974400.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,8790.0,119710.0,1052250900.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,2790.0,122040.0,340491600.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,15350.0,174710.0,2681798500.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,21770.0,178980.0,3896394600.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,4930.0,133820.0,659732600.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,2600.0,141350.0,367510000.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",7200.0,119580.0,860976000.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,700.0,154560.0,108192000.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,6690.0,146860.0,982493400.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,1640.0,132330.0,217021200.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119021,Construction Managers,6850.0,109720.0,751582000.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",860.0,60350.0,51901000.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",7370.0,105000.0,773850000.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",2540.0,131590.0,334238600.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",2390.0,103670.0,247771300.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,3270.0,167760.0,548575200.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,8980.0,65980.0,592500400.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",500.0,84670.0,42335000.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,1440.0,65820.0,94780800.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,8150.0,146700.0,1195605000.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,1770.0,119310.0,211178700.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
119,119,119131,Postmasters and Mail Superintendents,340.0,91180.0,31001200.0,28.94582043343653,False,0.0,21.7093653250774,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",7400.0,74450.0,550930000.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,4340.0,81660.0,354404400.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119161,Emergency Management Directors,470.0,84880.0,39893600.0,28.969362745098042,False,0.0,21.72702205882353,False,0.0,0.0
119,119,119171,Funeral Home Managers,410.0,93400.0,38294000.0,29.941176470588232,False,0.0,22.455882352941174,False,0.0,0.0
119,119,119179,"Personal Service Managers, All Other",110.0,66220.0,7284200.0,38.444852941176464,False,0.0,28.83363970588235,False,0.0,0.0
119,119,119199,"Managers, All Other",33750.0,128990.0,4353412500.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131011,"Agents and Business Managers of Artists, Performers, and Athletes",240.0,55575.0,13338000.0,29.441176470588243,False,0.0,22.080882352941185,False,0.0,0.0
