AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,6620.0,5.0,1.392,1.00,,,131.59,273720.0,4.2,28.89,56.00,102.19,#,#,"60,080","116,490",212560.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,304330.0,0.021752702658298557,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,1812026400.0,False,False,0.0,0.1204794393502097,111,111
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,104480.0,1.5,21.959,0.95,,,59.57,123900.0,1.5,20.84,28.84,46.98,75.30,106.71,"43,350","59,990",97720.0,"156,620","221,960",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,304330.0,0.34331153681858506,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,12945072000.0,False,False,0.0,0.9870477907594866,111,111
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,740.0,6.5,0.156,0.73,,,*,55560.0,21.6,*,*,*,*,*,"18,010","19,470",22340.0,"47,230","102,030",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,304330.0,0.0024315709920152465,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,41114400.0,False,False,0.0,0.002385762363107535,111,111
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,520.0,11.3,0.109,0.80,,,76.23,158550.0,2.6,36.01,50.21,73.55,95.36,113.22,"74,900","104,440",152980.0,"198,350","235,500",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,304330.0,0.0017086715079026058,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,82446000.0,False,False,0.0,0.0059140966872439395,112,112
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,9930.0,2.5,2.086,0.86,,,79.38,165100.0,1.2,43.45,58.00,75.33,94.95,#,"90,370","120,630",156680.0,"197,500",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,304330.0,0.03262905398744784,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1639443000.0,True,False,100.0,0.16106700413323288,112,112
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,16650.0,4.1,3.500,0.92,,,79.67,165710.0,1.6,34.45,49.00,68.14,97.13,#,"71,660","101,910",141720.0,"202,030",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,304330.0,0.05471034732034305,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,2759071500.0,False,False,0.0,0.20539694545348866,112,112
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1350.0,4.4,0.284,0.59,,,73.16,152160.0,1.1,39.22,50.14,63.22,84.96,109.69,"81,580","104,290",131490.0,"176,720","228,160",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,304330.0,0.004435974107054842,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,205416000.0,False,False,0.0,0.014448435522035074,112,112
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,640.0,6.1,0.135,0.64,,,60.08,124960.0,2.7,34.38,40.91,49.92,67.81,84.58,"71,520","85,090",103840.0,"141,040","175,930",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,304330.0,0.002102980317418592,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,79974400.0,False,False,0.0,0.005361639243848535,112,112
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,8790.0,5.2,1.847,1.16,,,57.55,119710.0,2.9,25.09,35.57,49.42,71.86,95.64,"52,180","73,990",102800.0,"149,460","198,930",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,304330.0,0.02888312029704597,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,1052250900.0,False,False,0.0,0.07592887336075266,113,113
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,2790.0,4.2,0.587,0.68,,,58.67,122040.0,1.8,33.13,40.66,52.79,70.89,88.93,"68,900","84,570",109790.0,"147,460","184,970",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,304330.0,0.009167679821246673,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,340491600.0,False,False,0.0,0.024487567439219274,113,113
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,15350.0,2.6,3.227,0.83,,,83.99,174710.0,0.6,49.51,63.46,80.64,100.22,#,"102,980","132,000",167740.0,"208,460",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,304330.0,0.050438668550586534,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,2681798500.0,True,False,100.0,0.26353635195020125,113,113
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,21770.0,2.1,4.576,0.88,,,86.05,178980.0,1.7,40.56,53.30,76.74,100.97,#,"84,370","110,870",159620.0,"210,010",#,,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,304330.0,0.07153418985969179,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,3896394600.0,False,False,0.0,0.2984971935128709,113,113
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,4930.0,2.2,1.036,0.71,,,64.34,133820.0,0.9,35.15,45.08,58.29,75.97,94.41,"73,110","93,760",121240.0,"158,020","196,360",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,304330.0,0.016199520257615087,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,659732600.0,False,False,0.0,0.03725945975686651,113,113
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,2600.0,3.3,0.547,1.07,,,67.96,141350.0,0.7,38.17,49.05,63.30,80.13,103.82,"79,390","102,010",131670.0,"166,670","215,940",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,304330.0,0.00854335753951303,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,367510000.0,False,False,0.0,0.022263838885692278,113,113
