minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,1700.0,142310400.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,380.0,24941600.0,48.96301737353092,36.72226303014819,1,0,0.0,0.0,112021,11973600.0,0.0,48.00654328511403,0.0,48.00654328511403,0.0
113,113,1750.0,117103900.0,35.935643396385636,26.951732547289236,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
119,119,1300.0,105911100.0,36.66958939944047,27.502192049580348,1,0,0.0,0.0,119041,5055000.0,0.0,4.772870832235715,0.0,4.772870832235715,0.0
131,131,1780.0,115451200.0,41.573092648605765,31.179819486454324,1,0,0.0,0.0,131111,0.0,0.0,0.0,0.0,0.0,0.0
132,132,680.0,34636600.0,35.7240861315911,26.79306459869333,1,0,0.0,0.0,132099,3757000.0,0.0,10.846907606404786,0.0,10.846907606404786,0.0
151,151,270.0,11972000.0,65.91256508584294,49.43442381438221,2,0,0.0,0.0,"151232,151244",11972000.0,0.0,100.0,0.0,100.0,0.0
171,171,70.0,6099100.0,52.78956089478045,39.592170671085334,1,0,0.0,0.0,171011,6099100.0,0.0,100.0,0.0,100.0,0.0
172,172,560.0,38132200.0,53.080557818527154,39.810418363895366,2,0,0.0,0.0,"172071,172141",16449000.0,0.0,43.13677154740613,0.0,43.13677154740613,0.0
173,173,220.0,14012400.0,46.48055116820006,34.86041337615004,1,0,0.0,0.0,173023,4298400.0,0.0,30.6756872484371,0.0,30.6756872484371,0.0
192,192,100.0,6805000.0,42.52941176470589,31.897058823529424,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
194,194,80.0,3447200.0,43.12477718360071,32.34358288770054,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
195,195,80.0,5268800.0,40.63602941176471,30.477022058823533,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,600.0,27668900.0,33.216338776313194,24.912254082234902,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,50.0,2280000.0,33.28676470588235,24.965073529411764,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,200.0,22914000.0,36.6537748957851,27.49033117183882,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,60.0,2601600.0,32.96019013666073,24.720142602495546,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,50.0,2941500.0,19.194989106753816,14.396241830065362,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,2120.0,105728700.0,22.38916900093371,16.791876750700283,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,350.0,13325700.0,26.93710918710919,20.20283189033189,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
259,259,250.0,11534000.0,33.93729575163399,25.45297181372549,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,70.0,2350600.0,49.49698340874812,37.12273755656109,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,50.0,2458500.0,37.895194697597354,28.42139602319802,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,40.0,3074000.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,1070.0,64252900.0,19.344130997822266,14.508098248366696,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
292,292,360.0,12727050.0,24.557213283606472,18.417909962704854,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,390.0,11549600.0,30.218954248366018,22.664215686274513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,490.0,16136700.0,23.221415001407262,17.416061251055446,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,60.0,2274000.0,42.88502673796792,32.163770053475936,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,1210.0,36781100.0,33.84347147950089,25.382603609625672,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,900.0,27557000.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,2110.0,48752300.0,21.41968954248366,16.064767156862747,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,2540.0,53555000.0,13.110368389780154,9.832776292335117,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,1400.0,29588100.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,7513200.0,0.0,25.392640960386103,0.0,25.392640960386103,0.0
371,371,210.0,6580000.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,1700.0,38920400.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,620.0,14929600.0,50.70588235294118,38.029411764705884,1,0,0.0,0.0,373011,14929600.0,0.0,100.0,0.0,100.0,0.0
391,391,80.0,2431200.0,31.176470588235293,23.38235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,40.0,1068800.0,33.32352941176471,24.99264705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
393,393,280.0,5862600.0,40.96507352941177,30.72380514705882,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,120.0,4051200.0,36.9264705882353,27.694852941176475,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,60.0,1761600.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,290.0,6708700.0,26.147875816993462,19.610906862745097,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,450.0,16439000.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
412,412,3720.0,87935700.0,33.46436326145931,25.098272446094487,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
413,413,260.0,10111700.0,41.0933983507196,30.8200487630397,1,0,0.0,0.0,413091,5995500.0,0.0,59.292700535023776,0.0,59.292700535023776,0.0
414,414,260.0,8886800.0,41.09178139340843,30.818836045056326,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
419,419,40.0,1368400.0,38.26470588235294,28.698529411764707,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
431,431,1240.0,53543200.0,35.07732980832783,26.307997356245878,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
433,433,1520.0,47955100.0,30.784343811508652,23.08825785863149,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
434,434,1650.0,48352900.0,31.54152505470047,23.656143791025354,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
435,435,1010.0,33466650.0,29.447818174658646,22.085863630993988,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
436,436,1750.0,61001700.0,32.783828035426716,24.587871026570035,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
439,439,1010.0,27207150.0,33.659717888039395,25.244788416029543,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
471,471,410.0,22238400.0,34.59436274509804,25.94577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
472,472,6050.0,225040800.0,31.290853531495245,23.468140148621433,1,0,0.0,0.0,472061,29883000.0,0.0,13.278925421523564,0.0,13.278925421523564,0.0
473,473,160.0,4945400.0,36.605429292929294,27.45407196969697,1,0,0.0,0.0,473015,2051000.0,0.0,41.472883892101756,0.0,41.472883892101756,0.0
474,474,70.0,3776400.0,31.57749766573296,23.683123249299715,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
491,491,330.0,16589100.0,33.89338235294118,25.420036764705888,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
492,492,130.0,4317000.0,38.46091000502766,28.84568250377074,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
493,493,430.0,16701300.0,30.104575163398692,22.578431372549023,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
499,499,1900.0,68267500.0,36.037758764474454,27.028319073355842,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
511,511,120.0,7078800.0,36.13570691434468,27.101780185758507,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
513,513,150.0,4332000.0,29.546568627450984,22.15992647058824,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
