minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,340.0,123080.0,41847200.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,1360.0,73870.0,100463200.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
112,112,112021,Marketing Managers,180.0,66520.0,11973600.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,200.0,64840.0,12968000.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
113,113,113012,Administrative Services Managers,1150.0,60500.0,69575000.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,90.0,71190.0,6407100.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113031,Financial Managers,390.0,83010.0,32373900.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113061,Purchasing Managers,50.0,68320.0,3416000.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",,79850.0,,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113121,Human Resources Managers,70.0,76170.0,5331900.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
119,119,119021,Construction Managers,370.0,75210.0,27827700.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",50.0,37080.0,1854000.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",120.0,77740.0,9328800.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",200.0,115030.0,23006000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,50.0,101100.0,5055000.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,110.0,47770.0,5254700.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119081,Lodging Managers,100.0,48020.0,4802000.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,120.0,105930.0,12711600.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",,79340.0,,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,30.0,56460.0,1693800.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119199,"Managers, All Other",150.0,95850.0,14377500.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131020,Buyers and Purchasing Agents,210.0,64900.0,13629000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
131,131,131031,"Claims Adjusters, Examiners, and Investigators",80.0,50960.0,4076800.0,29.341659951651888,False,0.0,22.006244963738915,False,0.0,0.0
131,131,131041,Compliance Officers,270.0,66870.0,18054900.0,38.1764705882353,False,0.0,28.63235294117647,False,0.0,0.0
131,131,131051,Cost Estimators,60.0,56090.0,3365400.0,33.740349264705884,False,0.0,25.305261948529413,False,0.0,0.0
131,131,131071,Human Resources Specialists,350.0,54130.0,18945500.0,41.717852257181946,False,0.0,31.288389192886463,False,0.0,0.0
131,131,131081,Logisticians,100.0,63920.0,6392000.0,42.03245436105477,False,0.0,31.524340770791078,False,0.0,0.0
131,131,131082,Project Management Specialists,170.0,64280.0,10927600.0,44.81045751633988,False,0.0,33.60784313725491,False,0.0,0.0
131,131,131111,Management Analysts,,72800.0,,67.4488017429194,True,100.0,50.58660130718955,False,0.0,0.0
131,131,131151,Training and Development Specialists,40.0,40890.0,1635600.0,33.999748617395674,False,0.0,25.499811463046758,False,0.0,0.0
131,131,131161,Market Research Analysts and Marketing Specialists,80.0,46550.0,3724000.0,49.710619818397156,False,0.0,37.282964863797865,False,0.0,0.0
131,131,131199,"Business Operations Specialists, All Other",420.0,82620.0,34700400.0,40.366454689984096,False,0.0,30.274841017488068,False,0.0,0.0
132,132,132011,Accountants and Auditors,480.0,48960.0,23500800.0,43.40007383706621,False,0.0,32.55005537779966,False,0.0,0.0
132,132,132053,Insurance Underwriters,60.0,46020.0,2761200.0,33.06693711967546,False,0.0,24.800202839756597,False,0.0,0.0
132,132,132072,Loan Officers,60.0,62200.0,3732000.0,21.290441176470594,False,0.0,15.967830882352946,False,0.0,0.0
