minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,13250.0,1732244000.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,2590.0,331606400.0,43.957277403343,32.96795805250725,1,0,0.0,0.0,112021,50328300.0,0.0,15.177119621334208,0.0,15.177119621334208,0.0
113,113,8250.0,1054517700.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,151184800.0,0.0,14.33686698668026,0.0,14.33686698668026,0.0
119,119,15550.0,1680309900.0,36.617132849972485,27.462849637479366,2,0,0.0,0.0,"119041,119121",203277100.0,0.0,12.09759580658306,0.0,12.09759580658306,0.0
131,131,19730.0,1569266700.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,238214700.0,0.0,15.180000952037027,0.0,15.180000952037027,0.0
132,132,9350.0,759221600.0,34.504162979593346,25.87812223469501,1,0,0.0,0.0,132099,50834700.0,0.0,6.695634054668624,0.0,6.695634054668624,0.0
151,151,12440.0,1180250550.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",958209150.0,311976400.0,81.18692679278988,26.433065419880553,54.75386137290933,0.8212585797131909
152,152,480.0,49531600.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",49531600.0,0.0,100.0,0.0,100.0,0.0
171,171,870.0,73865500.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",55880800.0,0.0,75.652097393235,0.0,75.652097393235,0.0
172,172,5230.0,537616700.0,50.423299971685395,37.81747497876405,6,0,0.0,0.0,"172011,172061,172071,172072,172141,172199",285880300.0,0.0,53.175487294200494,0.0,53.175487294200494,0.0
173,173,2060.0,148857400.0,46.148791808390804,34.611593856293105,2,0,0.0,0.0,"173012,173023",53313600.0,0.0,35.81521644204454,0.0,35.81521644204454,0.0
191,191,1120.0,89513300.0,45.607307526346,34.205480644759504,1,0,0.0,0.0,191029,30620400.0,0.0,34.207654058112034,0.0,34.207654058112034,0.0
192,192,1140.0,100347700.0,51.84142447449673,38.88106835587254,6,0,0.0,0.0,"192011,192012,192021,192042,192043,192099",48247700.0,0.0,48.080524017989454,0.0,48.080524017989454,0.0
193,193,1540.0,127946800.0,38.365431012239085,28.774073259179314,2,0,0.0,0.0,"193011,193099",27853500.0,0.0,21.769594862864878,0.0,21.769594862864878,0.0
194,194,2020.0,101843300.0,38.88121233341822,29.16090925006366,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
195,195,670.0,54774700.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,10870.0,622345000.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,1050.0,66663900.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,2840.0,319582100.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,1440.0,95720100.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
