AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,560.0,7.5,0.910,0.65,,,135.15,281110.0,4.7,54.45,79.12,107.65,#,#,"113,260","164,570",223900.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,39640.0,0.014127144298688193,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,157421600.0,False,False,0.0,0.08761658276805567,111,111
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,12570.0,2.4,20.374,0.88,,,59.92,124640.0,2.6,26.44,37.38,50.48,73.30,106.22,"54,990","77,750",105000.0,"152,460","220,940",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,39640.0,0.3171039354187689,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,1566724800.0,False,False,0.0,1.0,111,111
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,120.0,0.0,0.194,0.91,,,*,67480.0,0.3,*,*,*,*,*,"62,590","62,590",62610.0,"69,480","82,730",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,39640.0,0.0030272452068617556,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,8097600.0,False,False,0.0,0.003933354753830081,111,111
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,330.0,9.4,0.534,0.22,,,73.32,152510.0,9.6,39.05,47.90,60.63,92.34,#,"81,230","99,620",126110.0,"192,070",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,39640.0,0.008324924318869829,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,50328300.0,True,False,100.0,0.04139006338834315,112,112
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1870.0,6.4,3.036,0.80,,,60.95,126770.0,2.8,32.53,41.81,56.58,75.02,94.34,"67,660","86,970",117680.0,"156,050","196,220",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,39640.0,0.04717457114026236,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,237059900.0,False,False,0.0,0.14772795772465722,112,112
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,270.0,11.7,0.430,0.90,,,54.99,114380.0,4.9,32.69,44.44,50.81,64.14,79.32,"67,990","92,440",105680.0,"133,420","164,990",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,39640.0,0.006811301715438951,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,30882600.0,False,False,0.0,0.01818335358790263,112,112
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,120.0,14.9,0.192,0.92,,,53.43,111130.0,7.1,34.36,40.09,46.26,67.21,80.05,"71,480","83,380",96230.0,"139,790","166,500",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,39640.0,0.0030272452068617556,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,13335600.0,False,False,0.0,0.007483981937107432,112,112
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1660.0,7.3,2.689,1.68,,,55.28,114980.0,1.1,36.84,41.86,52.96,64.03,77.67,"76,630","87,070",110150.0,"133,180","161,540",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,39640.0,0.04187689202825429,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,190866800.0,False,False,0.0,0.1152899932605473,113,113
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,710.0,3.9,1.155,1.33,,,53.44,111150.0,1.1,35.11,42.11,49.18,63.55,78.00,"73,030","87,580",102290.0,"132,180","162,230",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,39640.0,0.01791120080726539,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,78916500.0,False,False,0.0,0.04750951862224177,113,113
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,1040.0,5.3,1.680,0.43,,,69.89,145370.0,1.4,46.99,55.48,63.91,80.00,97.52,"97,750","115,390",132940.0,"166,400","202,850",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,39640.0,0.026236125126135216,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,151184800.0,True,False,100.0,0.12436440246543548,113,113
