minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,33050.0,2818748700.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,3910.0,471890150.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,149826600.0,0.0,31.75031307604111,0.0,31.75031307604111,0.0
113,113,8210.0,934566600.0,37.920555245860186,28.44041643439514,1,0,0.0,0.0,113021,189797200.0,0.0,20.308579399263788,0.0,20.308579399263788,0.0
119,119,10520.0,950854400.0,36.29926231940732,27.224446739555486,2,0,0.0,0.0,"119041,119121",170655900.0,0.0,17.94763740905022,0.0,17.94763740905022,0.0
131,131,28770.0,2137298700.0,37.87898803565827,28.4092410267437,1,0,0.0,0.0,131111,248301000.0,0.0,11.617515137215028,0.0,11.617515137215028,0.0
132,132,13120.0,1005781000.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,28931100.0,0.0,2.8764810629749418,0.0,2.8764810629749418,0.0
151,151,17350.0,1827703500.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",1661080900.0,883933200.0,90.88349942974887,48.36305232221747,42.520447107531396,2.0238499062861495
152,152,1180.0,129801900.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",129801900.0,0.0,100.0,0.0,100.0,0.0
171,171,1230.0,96284700.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",61274800.0,0.0,63.6391867035988,0.0,63.6391867035988,0.0
172,172,7690.0,712240000.0,49.93007067012209,37.44755300259156,6,0,0.0,0.0,"172021,172061,172071,172072,172141,172199",287807000.0,0.0,40.40871054700663,0.0,40.40871054700663,0.0
173,173,4060.0,241157500.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",38487300.0,0.0,15.959404123860962,0.0,15.959404123860962,0.0
191,191,2140.0,162021800.0,44.918335279707314,33.68875145978049,2,0,0.0,0.0,"191012,191029",38370500.0,0.0,23.682306948818,0.0,23.682306948818,0.0
192,192,1650.0,145780100.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",73958000.0,0.0,50.73257598259296,0.0,50.73257598259296,0.0
193,193,1700.0,124002000.0,38.15421647323199,28.61566235492399,2,0,0.0,0.0,"193011,193099",14609000.0,0.0,11.781261592554959,0.0,11.781261592554959,0.0
194,194,4630.0,239013100.0,43.281199070537305,32.46089930290299,2,0,0.0,0.0,"194031,194061",20320800.0,0.0,8.501960771187855,0.0,8.501960771187855,0.0
195,195,780.0,61534100.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,10680.0,589767300.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
