AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,,**,**,**,,,118.28,246020.0,3.7,40.37,65.00,104.91,#,#,"83,970","135,210",218220.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,55690.0,,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,,False,False,0.0,,111,111
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,32470.0,1.8,39.470,1.71,,,41.23,85750.0,1.8,17.29,23.33,33.89,49.14,75.00,"35,970","48,530",70490.0,"102,210","156,000",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,55690.0,0.5830490213682887,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,2784302500.0,False,False,0.0,1.0,111,111
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,580.0,10.8,0.709,3.32,,,*,59390.0,5.3,*,*,*,*,*,"18,870","18,870",42640.0,"81,610","117,540",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,55690.0,0.010414796193212426,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,34446200.0,False,False,0.0,0.00941508872964504,111,111
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,130.0,30.7,0.155,1.14,,,*,54865.0,*,*,*,*,*,*,*,*,,*,*,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,55690.0,0.0023343508708924404,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,7132450.0,False,False,0.0,0.002409946704663663,112,112
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,1260.0,5.0,1.531,0.63,,,57.17,118910.0,3.6,25.06,37.64,52.32,72.54,91.68,"52,120","78,280",108820.0,"150,870","190,690",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,55690.0,0.022625246902495958,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,149826600.0,True,False,100.0,0.06933444690811581,112,112
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,2310.0,11.8,2.809,0.74,,,61.22,127340.0,4.0,25.26,35.13,52.66,75.41,99.44,"52,540","73,070",109530.0,"156,860","206,840",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,55690.0,0.04147961932124259,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,294155400.0,False,False,0.0,0.10314726647994531,112,112
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,160.0,10.0,0.200,0.42,,,49.48,102920.0,3.8,29.29,34.85,44.51,61.55,75.96,"60,920","72,490",92580.0,"128,030","157,990",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,55690.0,0.002873047225713773,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,16467200.0,False,False,0.0,0.005455771696837891,112,112
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,50.0,13.3,0.057,0.27,,,41.43,86170.0,5.1,24.69,28.12,38.70,51.20,56.82,"51,350","58,490",80500.0,"106,490","118,180",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,55690.0,0.000897827258035554,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,4308500.0,False,False,0.0,0.001360575255277953,112,112
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,640.0,11.4,0.776,0.49,,,40.26,83740.0,5.2,20.90,25.00,36.43,52.70,64.15,"43,470","51,990",75770.0,"109,620","133,430",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,55690.0,0.011492188902855091,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,53593600.0,False,False,0.0,0.018215892416433507,113,113
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,460.0,6.6,0.563,0.65,,,46.91,97570.0,1.9,22.46,31.78,41.11,61.19,77.28,"46,730","66,090",85520.0,"127,280","160,730",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,55690.0,0.008260010773927096,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,44882200.0,False,False,0.0,0.015204188722436039,113,113
