minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,189080.0,25450546000.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,63850.0,9810380900.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,3904144300.0,0.0,39.79605215940188,0.0,39.79605215940188,0.0
113,113,139200.0,20893558100.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,4416274200.0,0.0,21.137013518056552,0.0,21.137013518056552,0.0
119,119,110790.0,11799457800.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",1790196900.0,0.0,15.171857303477115,0.0,15.171857303477115,0.0
131,131,267330.0,23343408800.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,5363115100.0,0.0,22.974858324890405,0.0,22.974858324890405,0.0
132,132,118720.0,11577222300.0,34.30407882106928,25.728059115801962,1,0,0.0,0.0,132099,690480600.0,0.0,5.9641301005337,0.0,5.9641301005337,0.0
151,151,164480.0,17054177100.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",15106889400.0,7693418000.0,88.58175514079774,45.11163426349079,43.47012087730695,1.9414949306909712
152,152,15480.0,1730324000.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",1475783000.0,0.0,85.28940244717175,0.0,85.28940244717175,0.0
171,171,7460.0,661257300.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",539534500.0,0.0,81.59221833921531,0.0,81.59221833921531,0.0
172,172,55690.0,5844310100.0,50.88750041894734,38.165625314210516,9,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172171,172199",2416392600.0,0.0,41.34607094171817,0.0,41.34607094171817,0.0
173,173,16540.0,1133238800.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",202120800.0,0.0,17.835675940499037,0.0,17.835675940499037,0.0
191,191,7030.0,622146100.0,44.981037293822816,33.73577797036712,2,0,0.0,0.0,"191012,191029",106438600.0,0.0,17.108296588212962,0.0,17.108296588212962,0.0
192,192,7530.0,753658500.0,50.84324569070641,38.132434268029805,4,0,0.0,0.0,"192012,192021,192042,192099",252141300.0,0.0,33.45564337163317,0.0,33.45564337163317,0.0
193,193,11810.0,1167422400.0,38.07413166710176,28.555598750326322,2,0,0.0,0.0,"193011,193099",134450400.0,0.0,11.516859707334723,0.0,11.516859707334723,0.0
194,194,8060.0,490789900.0,42.387654998868236,31.79074124915117,2,0,0.0,0.0,"194031,194061",91053400.0,0.0,18.55241927350176,0.0,18.55241927350176,0.0
195,195,3710.0,248543000.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,86470.0,5000648800.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,3570.0,201108000.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,32150.0,5664177600.0,41.44240364562273,31.08180273421705,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,19210.0,1216998700.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,52000.0,4446886600.0,29.647050316543293,22.235287737407468,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,186520.0,13262832500.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,9588000.0,0.0,0.07229224978902508,0.0,0.07229224978902508,0.0
253,253,35280.0,1655531100.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,11040.0,640576600.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,56952000.0,0.0,8.890739998932212,0.0,8.890739998932212,0.0
259,259,79790.0,3470218700.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,24030.0,1527796400.0,45.5520848271379,34.16406362035344,3,0,0.0,0.0,"271021,271022,271027",69501800.0,0.0,4.5491532772298715,0.0,4.5491532772298715,0.0
272,272,23400.0,1461768100.0,27.7346912362965,20.801018427222374,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,19690.0,1386713800.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,6560.0,332885700.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,256760.0,29021400300.0,21.573742948534772,16.180307211401082,1,0,0.0,0.0,291129,54027000.0,0.0,0.18616262289728314,0.0,0.18616262289728314,0.0
292,292,112610.0,6470028200.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,3600.0,242069000.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
