minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,6240.0,281460.0,1756310400.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,182840.0,129590.0,23694235600.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,,66780.0,,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,610.0,117550.0,71705500.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,24910.0,156730.0,3904144300.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,32710.0,156870.0,5131217700.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,3440.0,134850.0,463884000.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,2180.0,109830.0,239429400.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,12920.0,119580.0,1544973600.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,7310.0,107070.0,782681700.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,26940.0,163930.0,4416274200.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,48810.0,173210.0,8454380100.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,11160.0,125390.0,1399352400.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,3650.0,149430.0,545419500.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",12640.0,112480.0,1421747200.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,530.0,134900.0,71497000.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,13680.0,148660.0,2033668800.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,1560.0,143310.0,223563600.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119013,"Farmers, Ranchers, and Other Agricultural Managers",,90460.0,,33.66921313980138,False,0.0,25.251909854851036,False,0.0,0.0
119,119,119021,Construction Managers,15930.0,116120.0,1849791600.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",2780.0,54550.0,151649000.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
