AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1270.0,8.6,0.402,0.29,,,135.45,281730.0,2.8,48.39,66.32,99.81,#,#,"100,660","137,940",207610.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,161620.0,0.007857938373963619,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,357797100.0,False,False,0.0,0.04868994085046398,111,111
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,49470.0,1.0,15.672,0.68,,,62.28,129530.0,0.8,23.01,32.94,49.55,77.07,111.39,"47,850","68,520",103050.0,"160,310","231,690",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,161620.0,0.3060883554015592,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,6407849100.0,False,False,0.0,1.0,111,111
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,930.0,8.2,0.296,1.38,,,*,57820.0,2.3,*,*,*,*,*,"18,700","23,590",39590.0,"69,850","116,790",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,161620.0,0.0057542383368395,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,53772600.0,False,False,0.0,0.006386284704466797,111,111
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,190.0,12.7,0.060,0.44,,,55.55,115540.0,3.2,30.03,40.21,48.21,69.72,80.65,"62,470","83,640",100270.0,"145,010","167,760",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,161620.0,0.0011755970795693602,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,21952600.0,False,False,0.0,0.0032229888876681573,112,112
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,3380.0,4.9,1.072,0.44,,,63.28,131620.0,4.8,28.84,39.35,59.42,80.30,100.56,"59,990","81,840",123590.0,"167,020","209,160",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,161620.0,0.020913253310233883,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,444875600.0,True,False,100.0,0.08945463735251225,112,112
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,9400.0,3.8,2.977,0.79,,,64.82,134820.0,2.1,27.73,37.89,56.49,79.59,103.11,"57,670","78,820",117500.0,"165,540","214,480",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,161620.0,0.0581611186734315,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1267308000.0,False,False,0.0,0.19309330480853898,112,112
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,510.0,7.9,0.161,0.34,,,55.59,115620.0,2.7,27.61,39.66,48.89,66.90,86.35,"57,420","82,480",101690.0,"139,160","179,610",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,161620.0,0.0031555500556861775,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,58966200.0,False,False,0.0,0.008488749362519856,112,112
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,490.0,4.4,0.156,0.74,,,59.53,123820.0,1.4,33.96,41.15,54.31,66.47,93.77,"70,640","85,600",112960.0,"138,250","195,040",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,161620.0,0.0030318029946788763,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,60671800.0,False,False,0.0,0.008325062297597061,112,112
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,5340.0,5.5,1.693,1.06,,,51.02,106110.0,1.6,25.79,32.23,45.80,61.78,80.17,"53,650","67,030",95270.0,"128,490","166,750",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,161620.0,0.03304046528894939,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,566627400.0,False,False,0.0,0.08368338423060231,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,3140.0,8.3,0.994,1.15,,,47.20,98180.0,1.4,21.76,30.78,43.91,59.20,78.27,"45,260","64,020",91330.0,"123,130","162,800",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,161620.0,0.01942828857814627,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,308285200.0,False,False,0.0,0.04537806075843686,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,7200.0,3.1,2.279,0.58,,,67.10,139580.0,1.0,40.27,49.68,63.47,78.73,97.03,"83,760","103,330",132020.0,"163,750","201,820",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,161620.0,0.04454894196262839,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,1004976000.0,True,False,100.0,0.20212688838295353,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,11030.0,2.6,3.495,0.67,,,65.31,135840.0,1.5,31.49,40.25,60.23,79.49,102.37,"65,500","83,720",125280.0,"165,340","212,930",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,161620.0,0.06824650414552655,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,1498315200.0,False,False,0.0,0.23492785770607047,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,8850.0,1.4,2.802,1.91,,,52.98,110200.0,0.5,32.03,40.01,48.88,62.35,77.45,"66,620","83,220",101670.0,"129,680","161,090",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,161620.0,0.054758074495730724,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,975270000.0,False,False,0.0,0.11273207153900408,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,1260.0,5.8,0.400,0.78,,,57.88,120390.0,1.7,32.74,43.37,54.48,67.62,82.81,"68,090","90,200",113330.0,"140,660","172,240",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,161620.0,0.007796064843459968,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,151691400.0,False,False,0.0,0.0188081406099556,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,3220.0,2.5,1.020,0.78,,,50.93,105930.0,1.2,31.83,38.46,47.53,59.08,76.50,"66,200","80,000",98860.0,"122,880","159,130",,,113071,10.869389978213508,29.95125272331155,Low,11,0.0,161620.0,0.019923276822175474,0.0,0.0,0,0.2995125272331155,22.463439542483663,Low,341094600.0,False,False,0.0,0.036873198661391965,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,140.0,6.2,0.044,0.36,,,59.24,123230.0,2.2,37.95,43.13,54.81,69.16,87.13,"78,940","89,710",114000.0,"143,850","181,220",,,113111,9.628454172366622,28.02462380300958,Low,11,0.0,161620.0,0.0008662294270511075,0.0,0.0,0,0.2802462380300958,21.01846785225718,Low,17252200.0,False,False,0.0,0.0017450394649625586,113,113
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,2610.0,6.3,0.828,0.63,,,62.76,130540.0,1.5,37.97,46.39,59.58,73.51,92.90,"78,990","96,480",123930.0,"152,900","193,220",,,113121,9.211764705882352,26.166666666666664,Low,11,0.0,161620.0,0.01614899146145279,0.0,0.0,0,0.26166666666666666,19.624999999999996,Very Low,340709400.0,False,False,0.0,0.0321775886401143,113,113
