minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,39630.0,3998144400.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,6160.0,843153700.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,322673900.0,0.0,38.26987890819906,0.0,38.26987890819906,0.0
113,113,25130.0,3152911500.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,511678800.0,0.0,16.22877140699953,0.0,16.22877140699953,0.0
119,119,28790.0,2820444100.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",343972200.0,0.0,12.195675142081349,0.0,12.195675142081349,0.0
131,131,60350.0,4505092300.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,464564100.0,0.0,10.31197740388138,0.0,10.31197740388138,0.0
132,132,29500.0,2447469000.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,139023000.0,0.0,5.680276236389511,0.0,5.680276236389511,0.0
151,151,36000.0,3339362300.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",2879493400.0,1187785200.0,86.2288407580094,35.56922230331222,50.659618454697174,1.3721804579246437
152,152,3470.0,353555700.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",263940900.0,0.0,74.65327245466557,0.0,74.65327245466557,0.0
171,171,1320.0,116062200.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",80860400.0,0.0,69.6698839070774,0.0,69.6698839070774,0.0
172,172,15370.0,1497573300.0,50.3788947008641,37.78417102564808,6,0,0.0,0.0,"172031,172061,172071,172072,172141,172199",727657600.0,0.0,48.5891141355151,0.0,48.5891141355151,0.0
173,173,6780.0,426655800.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",72680500.0,0.0,17.03492604577273,0.0,17.03492604577273,0.0
191,191,4330.0,350133900.0,45.80120883627967,34.35090662720975,2,0,0.0,0.0,"191012,191029",60101000.0,0.0,17.165147390755365,0.0,17.165147390755365,0.0
192,192,1970.0,168461600.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",33256500.0,0.0,19.74129415843136,0.0,19.74129415843136,0.0
193,193,1750.0,136221100.0,38.15421647323199,28.61566235492399,2,0,0.0,0.0,"193011,193099",14146200.0,0.0,10.384734817146537,0.0,10.384734817146537,0.0
194,194,5620.0,273053900.0,43.281199070537305,32.46089930290299,2,0,0.0,0.0,"194031,194061",33112300.0,0.0,12.12665338235418,0.0,12.12665338235418,0.0
195,195,1540.0,122172600.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,20530.0,1068141900.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,580.0,33857100.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,3830.0,478262700.0,37.232933199526535,27.9246998996449,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,3730.0,207738400.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,14600.0,1301933100.0,29.85120478555629,22.38840358916722,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,48980.0,2767705700.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,12292200.0,0.0,0.4441295908015075,0.0,0.4441295908015075,0.0
253,253,10650.0,444596100.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,3410.0,165923300.0,43.75117220801364,32.81337915601023,1,0,0.0,0.0,254013,6409000.0,0.0,3.8626280938240742,0.0,3.8626280938240742,0.0
259,259,28980.0,1059187200.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,6740.0,346969100.0,44.34057521536113,33.25543141152085,2,0,0.0,0.0,"271021,271027",68934400.0,0.0,19.86759051454438,0.0,19.86759051454438,0.0
272,272,5520.0,288314200.0,28.768631031495843,21.576473273621882,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,5740.0,344559900.0,34.01165656460684,25.50874242345513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,1350.0,63698400.0,37.34143805283511,28.00607853962633,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,59330.0,6067949100.0,21.33274055347785,15.999555415108386,1,0,0.0,0.0,291129,2030000.0,0.0,0.033454466518184865,0.0,0.033454466518184865,0.0
292,292,29610.0,1519691700.0,27.623928231602445,20.71794617370184,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,730.0,45273700.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,44210.0,1613595800.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,1900.0,102929500.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,13790.0,600873100.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,2750.0,222707900.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,2000.0,109440800.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,8640.0,553828300.0,39.024287434271955,29.26821557570397,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,9140.0,333031400.0,38.18140968508615,28.636057263814614,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,12840.0,549110900.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,31150.0,982478800.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,72210.0,2047407300.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,11060.0,296307200.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,82944000.0,0.0,27.992569873428657,0.0,27.992569873428657,0.0
371,371,2910.0,146069300.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,34900.0,1202003900.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,8280.0,318566100.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",299561600.0,0.0,94.03436209941987,0.0,94.03436209941987,0.0
391,391,2330.0,100633600.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,3800.0,125331800.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,8228000.0,0.0,6.564973933191736,0.0,6.564973933191736,0.0
393,393,6140.0,165962500.0,41.36511207046921,31.023834052851914,1,0,0.0,0.0,393011,27425400.0,0.0,16.525058371620094,0.0,16.525058371620094,0.0
394,394,1100.0,55133000.0,34.50980392156863,25.88235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,3210.0,142525900.0,36.97549019607843,27.731617647058826,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
