AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,3120.0,5.6,2.017,1.45,,,86.99,180940.0,2.9,24.03,40.84,65.70,110.98,#,"49,980","84,940",136650.0,"230,830",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,99710.0,0.03129074315514994,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,564532800.0,False,False,0.0,0.14567961362968074,111,111
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,35510.0,1.8,22.985,1.00,,,45.75,95160.0,0.8,18.13,25.21,37.79,56.22,78.76,"37,700","52,440",78610.0,"116,940","163,820",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,99710.0,0.35613278507672247,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,3379131600.0,False,False,0.0,1.0,111,111
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,1000.0,11.7,0.645,3.02,,,*,54480.0,*,*,*,*,*,*,*,*,,*,*,True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,99710.0,0.010029084344599338,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,54480000.0,False,False,0.0,0.012269631201898385,111,111
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,80.0,17.7,0.053,0.39,,,50.07,104140.0,4.8,30.50,39.49,47.67,58.93,75.00,"63,440","82,150",99150.0,"122,580","155,990",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,99710.0,0.000802326747567947,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,8331200.0,False,False,0.0,0.0023194636701468563,112,112
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,2390.0,5.1,1.549,0.64,,,64.91,135010.0,1.4,35.45,47.98,63.88,78.70,95.53,"73,730","99,790",132870.0,"163,700","198,700",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,99710.0,0.023969511583592416,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,322673900.0,True,False,100.0,0.12303687191908373,112,112
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,2830.0,3.4,1.835,0.48,,,69.91,145400.0,3.3,35.30,48.07,62.06,82.20,103.70,"73,430","99,990",129080.0,"170,980","215,700",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,99710.0,0.028382308695216126,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,411482000.0,False,False,0.0,0.11888937704917063,112,112
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,580.0,5.8,0.374,0.78,,,58.99,122690.0,2.5,30.77,39.88,52.87,69.54,94.74,"64,000","82,950",109980.0,"144,630","197,060",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,99710.0,0.005816868919867616,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,71160200.0,False,False,0.0,0.019426067791643357,112,112
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,280.0,6.7,0.183,0.87,,,50.66,105380.0,2.6,28.34,34.72,44.83,60.38,77.22,"58,960","72,210",93250.0,"125,590","160,610",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,99710.0,0.0028081436164878147,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,29506400.0,False,False,0.0,0.007677573948862777,112,112
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1050.0,3.4,0.677,0.42,,,56.54,117600.0,2.3,31.58,38.70,51.22,68.12,98.55,"65,690","80,490",106550.0,"141,700","204,990",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,99710.0,0.010530538561829304,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,123480000.0,False,False,0.0,0.034581629584185584,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,1760.0,5.8,1.143,1.32,,,45.07,93740.0,1.3,24.68,33.51,42.70,54.13,65.88,"51,330","69,700",88820.0,"112,580","137,030",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,99710.0,0.017651188446494836,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,164982400.0,False,False,0.0,0.04605089166219711,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,3560.0,2.4,2.306,0.59,,,69.10,143730.0,0.9,44.34,52.61,64.54,80.58,100.12,"92,220","109,420",134240.0,"167,610","208,250",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,99710.0,0.035703540266773644,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,511678800.0,True,False,100.0,0.19515199426447494,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,10350.0,3.3,6.698,1.29,,,65.05,135300.0,0.8,35.27,44.21,60.69,78.92,102.88,"73,360","91,960",126230.0,"164,160","213,980",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,99710.0,0.10380102296660315,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,1400355000.0,False,False,0.0,0.41636733396835185,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,3700.0,1.7,2.397,1.63,,,54.10,112530.0,0.7,33.13,40.76,49.54,62.86,79.44,"68,900","84,780",103030.0,"130,760","165,240",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,99710.0,0.03710761207501755,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,416361000.0,False,False,0.0,0.09126407061211433,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,690.0,4.1,0.444,0.87,,,60.61,126080.0,1.8,33.69,43.16,54.97,76.25,92.36,"70,070","89,770",114340.0,"158,600","192,110",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,99710.0,0.006920068197773543,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,86995200.0,False,False,0.0,0.02045442919279133,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2030.0,2.9,1.317,1.01,,,48.48,100840.0,1.7,26.64,37.28,45.15,58.38,70.41,"55,410","77,550",93910.0,"121,420","146,450",,,113071,10.869389978213508,29.95125272331155,Low,11,0.0,99710.0,0.020359041219536658,0.0,0.0,0,0.2995125272331155,22.463439542483663,Low,204705200.0,False,False,0.0,0.04196353002000374,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,140.0,12.2,0.089,0.73,,,48.60,101100.0,5.5,28.16,36.64,45.36,59.72,74.35,"58,560","76,200",94350.0,"124,210","154,650",,,113111,9.628454172366622,28.02462380300958,Low,11,0.0,99710.0,0.0014040718082439074,0.0,0.0,0,0.2802462380300958,21.01846785225718,Low,14154000.0,False,False,0.0,0.0027148580730273616,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,1470.0,3.7,0.952,0.72,,,61.54,127990.0,1.2,37.01,44.86,56.56,70.87,91.34,"76,980","93,310",117630.0,"147,410","189,990",,,113121,9.211764705882352,26.166666666666664,Low,11,0.0,99710.0,0.014742753986561026,0.0,0.0,0,0.26166666666666666,19.624999999999996,Very Low,188145300.0,False,False,0.0,0.03369534626411978,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,380.0,6.2,0.247,0.90,,,53.21,110670.0,2.9,35.28,37.18,48.20,60.51,81.73,"73,380","77,330",100260.0,"125,850","169,990",,,113131,8.528063725490197,24.653492647058826,Low,11,0.0,99710.0,0.0038110520509477483,0.0,0.0,0,0.24653492647058825,18.49011948529412,Very Low,42054600.0,False,False,0.0,0.007096106234914846,113,113
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,260.0,19.9,0.167,4.13,,,48.68,101250.0,7.3,27.21,36.56,46.69,50.19,87.24,"56,600","76,040",97120.0,"104,380","181,460",,,119013,12.324828113063408,33.66921313980138,Low,11,0.0,99710.0,0.002607561929595828,0.0,0.0,0,0.3366921313980138,25.251909854851036,Low,26325000.0,False,False,0.0,0.006066378371716513,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,1990.0,6.6,1.286,0.59,,,48.02,99890.0,2.4,29.78,37.21,45.63,59.71,70.33,"61,940","77,390",94910.0,"124,190","146,290",,,119021,12.699264705882351,38.31066176470588,Low,11,0.0,99710.0,0.019957877845752682,0.0,0.0,0,0.3831066176470588,28.73299632352941,Low,198781100.0,False,False,0.0,0.05212221835363197,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,1080.0,5.1,0.697,1.65,,,22.75,47320.0,2.6,15.00,17.14,21.13,25.80,32.72,"31,200","35,650",43960.0,"53,660","68,060",,,119031,13.658823529411762,37.67647058823529,Low,11,0.0,99710.0,0.010831411092167285,0.0,0.0,0,0.3767647058823529,28.257352941176467,Low,51105600.0,False,False,0.0,0.0131785264324289,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,2960.0,3.1,1.915,0.96,,,*,109390.0,1.2,*,*,*,*,*,"66,600","89,980",103980.0,"128,830","154,320",True,,119032,13.438865546218487,37.525735294117645,Low,11,0.0,99710.0,0.029686089660014042,0.0,0.0,0,0.37525735294117646,28.144301470588236,Low,323794400.0,False,False,0.0,0.08316233829053729,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,2580.0,0.5,1.671,1.52,,,50.78,105620.0,0.4,25.05,31.12,41.33,61.03,84.48,"52,100","64,730",85970.0,"126,950","175,710",,,119033,11.166301096709873,33.67846460618147,Low,11,0.0,99710.0,0.025875037609066294,0.0,0.0,0,0.3367846460618147,25.2588484546361,Low,272499600.0,False,False,0.0,0.06281253207097849,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,580.0,6.1,0.374,1.12,,,47.50,98800.0,4.9,21.08,27.67,41.28,65.20,75.28,"43,840","57,540",85860.0,"135,610","156,580",,,119039,,35.95915032679739,Low,11,0.0,99710.0,0.005816868919867616,0.0,0.0,0,0.3595915032679739,26.969362745098042,Low,57304000.0,False,False,0.0,0.014103357256508806,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,1870.0,3.7,1.212,0.89,,,70.70,147060.0,0.7,50.07,57.64,66.91,80.24,92.93,"104,140","119,890",139170.0,"166,890","193,290",,,119041,20.744858554108664,63.00718455321059,High,11,0.0,99710.0,0.018754387724400762,0.0,0.0,0,0.6300718455321059,47.25538841490795,Moderate,275002200.0,True,False,100.0,0.11859172597919886,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1080.0,16.5,0.700,0.43,,,33.52,69730.0,2.2,22.97,24.10,31.26,41.18,47.53,"47,770","50,130",65010.0,"85,650","98,860",,,119051,8.88657616892911,27.344645550527908,Low,11,0.0,99710.0,0.010831411092167285,0.0,0.0,0,0.2734464555052791,20.50848416289593,Low,75308400.0,False,False,0.0,0.014094311537770417,119,119
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,100.0,2.6,0.066,2.17,,,37.08,77120.0,1.0,28.57,30.32,36.53,40.51,47.25,"59,430","63,070",75990.0,"84,260","98,290",,,119071,10.376470588235296,38.44117647058824,Low,11,0.0,99710.0,0.0010029084344599338,0.0,0.0,0,0.3844117647058824,28.830882352941178,Low,7712000.0,False,False,0.0,0.002029045749319806,119,119
