minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,27560.0,3188178500.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,5220.0,802061100.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,192140800.0,0.0,23.955880667944125,0.0,23.955880667944125,0.0
113,113,15980.0,2266560300.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,643166100.0,0.0,28.37630659991706,0.0,28.37630659991706,0.0
119,119,23380.0,2390798900.0,36.192052484669006,27.14403936350175,2,0,0.0,0.0,"119041,119121",272361700.0,0.0,11.392079024296022,0.0,11.392079024296022,0.0
131,131,58970.0,4448495900.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,465181000.0,0.0,10.457040097530493,0.0,10.457040097530493,0.0
132,132,28870.0,2539406500.0,34.504162979593346,25.87812223469501,1,0,0.0,0.0,132099,51742600.0,0.0,2.0375863415329527,0.0,2.0375863415329527,0.0
151,151,41220.0,3896414200.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",3750178600.0,1706446800.0,96.24691851292401,43.79531313688365,52.45160537604036,2.1792946495592234
152,152,990.0,109280900.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",68230100.0,0.0,62.43552166938596,0.0,62.43552166938596,0.0
171,171,1920.0,145247100.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",100346400.0,0.0,69.0866805602315,0.0,69.0866805602315,0.0
172,172,16720.0,1659613100.0,50.91346903398062,38.185101775485464,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172171,172199",941380700.0,0.0,56.72290125933569,0.0,56.72290125933569,0.0
173,173,5610.0,344438100.0,47.21985881204081,35.41489410903061,4,0,0.0,0.0,"173012,173021,173023,173028",149953900.0,0.0,43.535805127249276,0.0,43.535805127249276,0.0
191,191,2300.0,167517100.0,45.68688975213971,34.26516731410478,2,0,0.0,0.0,"191012,191029",30391200.0,0.0,18.142147876246664,0.0,18.142147876246664,0.0
192,192,1980.0,163341600.0,50.71597499266937,38.03698124450204,4,0,0.0,0.0,"192021,192042,192043,192099",70688400.0,0.0,43.27642192803303,0.0,43.27642192803303,0.0
193,193,1960.0,151009700.0,37.710074488137515,28.282555866103138,2,0,0.0,0.0,"193011,193099",33405300.0,0.0,22.121294195008666,0.0,22.121294195008666,0.0
194,194,3180.0,175083900.0,42.56977283337577,31.927329625031838,2,0,0.0,0.0,"194031,194061",29206000.0,0.0,16.681145439415047,0.0,16.681145439415047,0.0
195,195,1570.0,110866700.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,19630.0,971367700.0,31.81930424426509,23.864478183198823,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,360.0,21563800.0,35.19523993808049,26.39642995356037,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,4430.0,551083700.0,32.44126653285987,24.3309498996449,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,3610.0,194630300.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,11800.0,989604700.0,29.90130039468354,22.42597529601266,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,40160.0,2248000500.0,29.654125960711642,22.240594470533733,1,0,0.0,0.0,252023,4412800.0,0.0,0.19629888872355677,0.0,0.19629888872355677,0.0
253,253,11280.0,433862800.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,2320.0,122234600.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,5532000.0,0.0,4.525723485821527,0.0,4.525723485821527,0.0
259,259,22760.0,781074400.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,5120.0,241345000.0,47.47067172720601,35.603003795404504,3,0,0.0,0.0,"271021,271022,271027",23659900.0,0.0,9.803352047898237,0.0,9.803352047898237,0.0
272,272,5800.0,333395000.0,30.44196295312277,22.831472214842076,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,5030.0,308540000.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,970.0,43348700.0,38.562707116015936,28.92203033701195,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,58110.0,5787293400.0,22.424009824306022,16.818007368229523,1,0,0.0,0.0,291129,1950400.0,0.0,0.033701419043313065,0.0,0.033701419043313065,0.0
292,292,29790.0,1542894500.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,1810.0,110562400.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,48750.0,1559606500.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,2280.0,135691000.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,13160.0,516072000.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,4990.0,371194800.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,3280.0,151315400.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,10680.0,579590000.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,9730.0,342071500.0,38.18140968508615,28.636057263814614,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,11470.0,480513700.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,29280.0,906433500.0,21.41968954248366,16.064767156862747,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
