AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,2840.0,5.9,2.009,1.44,,,88.22,183490.0,3.3,16.72,45.16,71.59,#,#,"34,780","93,940",148910.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,72140.0,0.03936789575824785,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,521111600.0,False,False,0.0,0.14084954479599773,111,111
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,24510.0,2.3,17.357,0.75,,,52.15,108470.0,1.1,22.34,29.51,41.20,62.50,95.00,"46,460","61,370",85690.0,"130,000","197,600",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,72140.0,0.3397560299417799,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,2658599700.0,False,False,0.0,0.8240678136026337,111,111
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,210.0,25.7,0.146,0.68,,,*,40320.0,18.5,*,*,*,*,*,"19,250","23,110",23630.0,"52,000","60,480",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,72140.0,0.002911006376490158,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,8467200.0,False,False,0.0,0.001997327742578609,111,111
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,70.0,17.3,0.051,0.38,,,*,54170.0,*,*,*,*,*,*,*,*,,*,*,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,72140.0,0.0009703354588300526,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,3791900.0,False,False,0.0,0.0011057373914658806,112,112
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,1360.0,4.4,0.960,0.40,,,67.92,141280.0,2.2,36.47,49.04,62.78,80.55,104.50,"75,850","101,990",130590.0,"167,540","217,370",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,72140.0,0.01885223177155531,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,192140800.0,True,False,100.0,0.07673723446470886,112,112
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,3410.0,3.4,2.414,0.64,,,78.66,163600.0,1.8,43.89,53.89,71.06,90.17,#,"91,300","112,090",147800.0,"187,550",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,72140.0,0.04726919878014971,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,557876000.0,False,False,0.0,0.16882820142186547,112,112
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,210.0,10.9,0.151,0.32,,,61.38,127660.0,5.8,37.11,44.10,56.05,74.51,96.74,"77,190","91,730",116580.0,"154,980","201,220",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,72140.0,0.002911006376490158,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,26808600.0,False,False,0.0,0.007665438097851396,112,112
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,170.0,7.7,0.124,0.59,,,60.65,126140.0,2.9,36.34,43.56,55.64,75.91,93.31,"75,580","90,600",115730.0,"157,890","194,080",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,72140.0,0.0023565289714444137,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,21443800.0,False,False,0.0,0.005844194170283568,112,112
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1090.0,4.2,0.771,0.48,,,57.23,119030.0,1.5,32.98,40.87,52.70,66.59,82.38,"68,600","85,010",109610.0,"138,500","171,340",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,72140.0,0.015109509287496534,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,129742700.0,False,False,0.0,0.03805807971259095,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,950.0,3.4,0.675,0.78,,,55.57,115590.0,1.4,33.02,41.48,52.14,65.06,78.59,"68,680","86,290",108460.0,"135,330","163,470",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,72140.0,0.01316883836983643,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,109810500.0,False,False,0.0,0.03210401885267814,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,3810.0,3.0,2.697,0.69,,,81.16,168810.0,4.8,44.74,58.77,78.20,97.50,#,"93,050","122,230",162660.0,"202,800",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,72140.0,0.05281397283060715,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,643166100.0,True,False,100.0,0.25692941129229063,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,4420.0,5.0,3.134,0.60,,,72.45,150690.0,2.2,40.60,50.21,64.79,84.18,113.48,"84,440","104,430",134770.0,"175,090","236,040",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,72140.0,0.06126975325755475,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,666049800.0,False,False,0.0,0.20742462403459055,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,2320.0,2.5,1.640,1.12,,,58.91,122530.0,1.1,35.86,45.01,55.20,66.66,84.57,"74,590","93,610",114810.0,"138,650","175,900",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,72140.0,0.03215968949265317,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,284269600.0,False,False,0.0,0.0652642448133288,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,660.0,6.9,0.469,0.92,,,67.54,140470.0,1.7,41.77,51.06,63.16,78.50,100.53,"86,870","106,200",131380.0,"163,270","209,100",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,72140.0,0.009148877183254783,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,92710200.0,False,False,0.0,0.022831513279688482,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,1200.0,5.0,0.850,0.65,,,53.88,112070.0,2.0,35.04,41.40,48.73,62.35,80.80,"72,880","86,110",101350.0,"129,690","168,070",,,113071,10.869389978213508,29.95125272331155,Low,11,0.0,72140.0,0.01663432215137233,0.0,0.0,0,0.2995125272331155,22.463439542483663,Low,134484000.0,False,False,0.0,0.028875456813319596,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,90.0,12.3,0.066,0.54,,,59.71,124190.0,0.9,38.47,46.93,57.67,70.10,81.29,"80,020","97,610",119950.0,"145,810","169,080",,,113111,9.628454172366622,28.02462380300958,Low,11,0.0,72140.0,0.001247574161352925,0.0,0.0,0,0.2802462380300958,21.01846785225718,Low,11177100.0,False,False,0.0,0.002245495462748123,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,1250.0,4.0,0.885,0.67,,,65.66,136570.0,2.5,40.51,49.47,61.22,76.30,96.56,"84,260","102,900",127330.0,"158,710","200,850",,,113121,9.211764705882352,26.166666666666664,Low,11,0.0,72140.0,0.017327418907679512,0.0,0.0,0,0.26166666666666666,19.624999999999996,Very Low,170712500.0,False,False,0.0,0.032022628595986355,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,190.0,8.8,0.137,0.50,,,61.84,128620.0,5.5,37.76,45.26,55.29,75.64,91.38,"78,540","94,150",115010.0,"157,320","190,070",,,113131,8.528063725490197,24.653492647058826,Low,11,0.0,72140.0,0.002633767673967286,0.0,0.0,0,0.24653492647058825,18.49011948529412,Very Low,24437800.0,False,False,0.0,0.004319006069431478,113,113
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,70.0,29.2,0.049,1.20,,,38.69,80470.0,6.3,28.87,33.33,36.81,36.83,60.32,"60,060","69,320",76570.0,"76,600","125,470",,,119013,12.324828113063408,33.66921313980138,Low,11,0.0,72140.0,0.0009703354588300526,0.0,0.0,0,0.3366921313980138,25.251909854851036,Low,5632900.0,False,False,0.0,0.0013595909408866743,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,2610.0,5.7,1.852,0.85,,,52.11,108390.0,2.7,30.26,38.59,49.51,61.55,75.92,"62,930","80,270",102980.0,"128,030","157,920",,,119021,12.699264705882351,38.31066176470588,Low,11,0.0,72140.0,0.03617965067923482,0.0,0.0,0,0.3831066176470588,28.73299632352941,Low,282897900.0,False,False,0.0,0.07769492135870457,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,440.0,6.7,0.311,0.74,,,25.33,52680.0,1.7,17.75,21.10,23.40,28.83,36.00,"36,910","43,880",48680.0,"59,970","74,870",,,119031,13.658823529411762,37.67647058823529,Low,11,0.0,72140.0,0.006099251455503188,0.0,0.0,0,0.3767647058823529,28.257352941176467,Low,23179200.0,False,False,0.0,0.0062605416534375945,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,2420.0,1.4,1.712,0.86,,,*,93070.0,0.4,*,*,*,*,*,"73,970","80,690",96050.0,"103,890","119,520",True,,119032,13.438865546218487,37.525735294117645,Low,11,0.0,72140.0,0.033545883005267535,0.0,0.0,0,0.37525735294117646,28.144301470588236,Low,225229400.0,False,False,0.0,0.06058952454656579,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,1670.0,0.9,1.180,1.07,,,59.45,123650.0,0.5,27.87,37.98,49.97,64.51,103.09,"57,970","78,990",103930.0,"134,190","214,430",,,119033,11.166301096709873,33.67846460618147,Low,11,0.0,72140.0,0.023149431660659827,0.0,0.0,0,0.3367846460618147,25.2588484546361,Low,206495500.0,False,False,0.0,0.049854702572892824,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,330.0,4.5,0.236,0.71,,,46.78,97300.0,2.1,27.52,32.08,48.93,57.64,64.16,"57,230","66,720",101770.0,"119,890","133,440",,,119039,,35.95915032679739,Low,11,0.0,72140.0,0.004574438591627391,0.0,0.0,0,0.3595915032679739,26.969362745098042,Low,32109000.0,False,False,0.0,0.008277123884404726,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,1540.0,3.5,1.091,0.80,,,76.70,159530.0,1.1,51.42,61.16,71.84,85.57,104.09,"106,950","127,210",149430.0,"177,990","216,510",,,119041,20.744858554108664,63.00718455321059,High,11,0.0,72140.0,0.02134738009426116,0.0,0.0,0,0.6300718455321059,47.25538841490795,Moderate,245676200.0,True,False,100.0,0.11096765634209858,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1440.0,8.7,1.017,0.63,,,33.04,68720.0,3.0,22.58,26.90,30.30,37.21,43.76,"46,970","55,950",63030.0,"77,390","91,010",,,119051,8.88657616892911,27.344645550527908,Low,11,0.0,72140.0,0.0199611865816468,0.0,0.0,0,0.2734464555052791,20.50848416289593,Low,98956800.0,False,False,0.0,0.019398189388788407,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,30.0,5.0,0.025,0.81,,,43.42,90310.0,3.7,27.37,33.82,38.05,44.88,75.29,"56,930","70,340",79140.0,"93,340","156,610",,,119071,10.376470588235296,38.44117647058824,Low,11,0.0,72140.0,0.0004158580537843083,0.0,0.0,0,0.3844117647058824,28.830882352941178,Low,2709300.0,False,False,0.0,0.0007466155338045016,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,290.0,10.4,0.207,0.75,,,32.25,67090.0,11.3,19.16,21.24,27.99,36.79,60.52,"39,850","44,180",58220.0,"76,510","125,890",,,119081,6.192292089249493,20.308316430020287,Low,11,0.0,72140.0,0.004019961186581647,0.0,0.0,0,0.20308316430020287,15.231237322515215,Very Low,19456100.0,False,False,0.0,0.0028325198716246777,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,5120.0,2.7,3.628,1.07,,,55.52,115480.0,1.7,30.48,38.71,48.77,63.80,85.26,"63,400","80,520",101450.0,"132,710","177,340",,,119111,13.85048633626679,41.0829087540528,Moderate,11,0.0,72140.0,0.07097310784585528,0.0,0.0,0,0.41082908754052805,30.812181565539603,Low,591257600.0,False,False,0.0,0.17413303722988793,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,190.0,9.8,0.134,0.21,,,67.53,140450.0,2.5,47.78,53.66,60.84,76.79,103.15,"99,380","111,610",126550.0,"159,720","214,550",,,119121,16.537119675456392,54.44624746450305,Moderate,11,0.0,72140.0,0.002633767673967286,0.0,0.0,0,0.5444624746450305,40.834685598377284,Moderate,26685500.0,True,False,100.0,0.010415654158801252,119,119
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,200.0,0.0,0.141,1.55,,,42.21,87790.0,0.0,38.80,39.52,41.20,45.11,46.49,"80,700","82,200",85700.0,"93,830","96,700",,,119131,9.052012383900928,28.94582043343653,Low,11,0.0,72140.0,0.0027723870252287217,0.0,0.0,0,0.2894582043343653,21.7093653250774,Low,17558000.0,False,False,0.0,0.0036433774181858507,119,119
