minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,53360.0,5553522000.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,10640.0,1312283800.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,306688200.0,0.0,23.370569689269956,0.0,23.370569689269956,0.0
113,113,22940.0,2693036700.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,344449400.0,0.0,12.790371553421458,0.0,12.790371553421458,0.0
119,119,29020.0,2734713300.0,36.48467278733348,27.363504590500114,2,0,0.0,0.0,"119041,119121",238630900.0,0.0,8.725993324419052,0.0,8.725993324419052,0.0
131,131,60020.0,4289074700.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,381715200.0,0.0,8.899709767237209,0.0,8.899709767237209,0.0
132,132,27180.0,2107484200.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,50681400.0,0.0,2.4048294169892235,0.0,2.4048294169892235,0.0
151,151,32490.0,2729593600.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",2322805400.0,716618000.0,85.09711482324694,26.25365182567837,58.843462997568565,0.6906295592687588
152,152,3470.0,319284000.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",303195200.0,0.0,94.96097518196966,0.0,94.96097518196966,0.0
171,171,1470.0,106756800.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",62312400.0,0.0,58.36855357223146,0.0,58.36855357223146,0.0
172,172,17420.0,1630464800.0,49.95411355845603,37.465585168842026,7,0,0.0,0.0,"172011,172031,172071,172072,172141,172161,172199",623328600.0,0.0,38.23011695806006,0.0,38.23011695806006,0.0
173,173,8610.0,494724100.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",99844300.0,0.0,20.181814469923744,0.0,20.181814469923744,0.0
191,191,1930.0,138013500.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",31600200.0,0.0,22.896455781499636,0.0,22.896455781499636,0.0
192,192,2330.0,164703400.0,51.24928743407005,38.436965575552534,4,0,0.0,0.0,"192012,192021,192042,192099",46027000.0,0.0,27.945385462595183,0.0,27.945385462595183,0.0
193,193,2460.0,205663600.0,37.318836281031686,27.98912721077377,2,0,0.0,0.0,"193011,193099",40565600.0,0.0,19.724248724616313,0.0,19.724248724616313,0.0
194,194,3900.0,221394100.0,42.56977283337577,31.927329625031838,2,0,0.0,0.0,"194031,194061",100939900.0,0.0,45.59285906896345,0.0,45.59285906896345,0.0
