AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1550.0,8.2,2.491,1.79,,,75.12,156260.0,3.6,28.71,37.85,57.41,96.15,#,"59,710","78,730",119410.0,"199,990",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,40490.0,0.03828105705112374,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,242203000.0,False,False,0.0,0.1329038907934797,111,111
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,14740.0,2.3,23.714,1.03,,,51.83,107810.0,1.2,21.90,29.43,44.90,64.53,87.93,"45,550","61,210",93390.0,"134,220","182,880",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,40490.0,0.3640405038281057,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,1589119400.0,False,False,0.0,1.0,111,111
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,170.0,18.8,0.270,1.98,,,63.82,132740.0,7.1,35.92,42.59,64.37,73.48,108.85,"74,720","88,580",133890.0,"152,840","226,420",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,40490.0,0.0041985675475426035,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,22565800.0,False,False,0.0,0.013359165341641768,112,112
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1340.0,5.2,2.160,0.57,,,58.17,121000.0,3.7,26.65,32.37,48.27,77.20,101.70,"55,440","67,330",100400.0,"160,580","211,540",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,40490.0,0.03309459125710052,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,162140000.0,False,False,0.0,0.09961642553612457,112,112
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,300.0,5.3,0.483,1.01,,,61.31,127530.0,5.7,35.70,38.59,49.89,65.59,#,"74,260","80,270",103770.0,"136,430",#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,40490.0,0.007409236848604593,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,38259000.0,False,False,0.0,0.02220904737210528,112,112
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,230.0,20.8,0.373,1.78,,,56.54,117590.0,7.8,33.15,41.91,52.47,65.00,82.01,"68,960","87,160",109130.0,"135,200","170,580",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,40490.0,0.005680414917263522,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,27045700.0,False,False,0.0,0.014964237249812528,112,112
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1280.0,10.1,2.057,1.29,,,49.85,103680.0,10.9,27.48,34.02,42.75,58.00,81.63,"57,160","70,770",88920.0,"120,630","169,790",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,40490.0,0.0316127438873796,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,132710400.0,False,False,0.0,0.07903189002155057,113,113
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,710.0,4.0,1.148,1.33,,,45.53,94710.0,1.2,29.67,34.41,42.63,52.00,65.86,"61,710","71,570",88670.0,"108,160","136,980",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,40490.0,0.01753519387503087,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,67244100.0,False,False,0.0,0.03991197216910995,113,113
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,1450.0,7.9,2.328,0.60,,,75.32,156660.0,5.4,44.60,52.47,66.99,85.74,107.00,"92,770","109,140",139330.0,"178,340","222,570",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,40490.0,0.0358113114349222,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,227157000.0,True,False,100.0,0.1842257234676988,113,113
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,2680.0,2.7,4.313,0.83,,,75.70,157460.0,2.0,37.83,48.38,62.32,85.75,#,"78,690","100,620",129630.0,"178,360",#,,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,40490.0,0.06618918251420104,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,421992800.0,False,False,0.0,0.2668038674027443,113,113
