minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,96130.0,12977967800.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,18610.0,2718014900.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,936997200.0,0.0,34.473585851203396,0.0,34.473585851203396,0.0
113,113,47890.0,7266188000.0,36.001848464849985,27.001386348637485,1,0,0.0,0.0,113021,2310156800.0,0.0,31.793242894348456,0.0,31.793242894348456,0.0
119,119,71310.0,9500211600.0,36.524920465352054,27.393690349014047,2,0,0.0,0.0,"119041,119121",1604444700.0,0.0,16.888515409488353,0.0,16.888515409488353,0.0
131,131,173960.0,16833770300.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,2472775200.0,0.0,14.68937235053041,0.0,14.68937235053041,0.0
132,132,51250.0,5273956000.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,469663200.0,0.0,8.905330268208532,0.0,8.905330268208532,0.0
151,151,126800.0,16007752600.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",12216019000.0,5517318800.0,76.31314217087538,34.46654216782436,41.84660000305102,2.8476783344699528
152,152,9740.0,1170575600.0,54.73437095111935,41.05077821333951,5,0,0.0,0.0,"152021,152031,152041,152051,152099",1108243400.0,0.0,94.67508121645454,0.0,94.67508121645454,0.0
171,171,4780.0,418285600.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",274430600.0,0.0,65.60842639574491,0.0,65.60842639574491,0.0
172,172,35820.0,4404401700.0,50.17953470648864,37.634651029866475,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172199",3206226300.0,0.0,72.7959554642802,0.0,72.7959554642802,0.0
173,173,10050.0,800291600.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",227558200.0,0.0,28.434410657315407,0.0,28.434410657315407,0.0
191,191,17660.0,1903871700.0,44.981037293822816,33.73577797036712,2,0,0.0,0.0,"191012,191029",715275400.0,0.0,37.569516895492484,0.0,37.569516895492484,0.0
192,192,10640.0,1300046000.0,51.4598212251665,38.59486591887488,6,0,0.0,0.0,"192011,192012,192021,192042,192043,192099",711684200.0,0.0,54.74300140148887,0.0,54.74300140148887,0.0
193,193,9190.0,1022989800.0,38.07413166710176,28.555598750326322,2,0,0.0,0.0,"193011,193099",378641100.0,0.0,37.013184295679196,0.0,37.013184295679196,0.0
194,194,11550.0,716754600.0,43.281199070537305,32.46089930290299,2,0,0.0,0.0,"194031,194061",100579600.0,0.0,14.03264101827878,0.0,14.03264101827878,0.0
195,195,2000.0,166985600.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,47120.0,2932419800.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,1310.0,79704900.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,15650.0,2424790700.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,9630.0,750312100.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,27800.0,3177801600.0,29.79903806241125,22.349278546808435,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,76430.0,5580304100.0,30.584738129291726,22.938553596968795,1,0,0.0,0.0,252023,7131600.0,0.0,0.1277994867699056,0.0,0.1277994867699056,0.0
253,253,21170.0,1146328200.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,5850.0,429757400.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,32392000.0,0.0,7.537275681582213,0.0,7.537275681582213,0.0
259,259,31010.0,1534742500.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,9030.0,578247500.0,44.20795763832337,33.15596822874254,3,0,0.0,0.0,"271021,271022,271027",33800400.0,0.0,5.845317100376569,0.0,5.845317100376569,0.0
272,272,6900.0,514727600.0,28.070192396782698,21.052644297587022,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,10560.0,886495200.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4370.0,282018000.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,110700.0,13887117700.0,21.93489787328223,16.451173404961672,1,0,0.0,0.0,291129,54885600.0,0.0,0.3952267215247985,0.0,0.3952267215247985,0.0
292,292,47730.0,2819978600.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,5100.0,408102800.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,57730.0,2171057900.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,3860.0,232585200.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,32900.0,1524492600.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,13220.0,1324634800.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,4760.0,312201200.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,17120.0,1234762300.0,39.024287434271955,29.26821557570397,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,38890.0,1766759200.0,38.18140968508615,28.636057263814614,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,21310.0,1010748400.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,49100.0,1744741300.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,103860.0,3670920200.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,30680.0,1037278800.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,250116300.0,0.0,24.11273613227225,0.0,24.11273613227225,0.0
371,371,7930.0,407604900.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,54450.0,1977774200.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,18430.0,750315900.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",735201900.0,0.0,97.98564844487501,0.0,97.98564844487501,0.0
391,391,5390.0,281489000.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,5670.0,213365900.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,25511900.0,0.0,11.956877832868326,0.0,11.956877832868326,0.0
393,393,11290.0,375544400.0,38.759599673202615,29.06969975490196,1,0,0.0,0.0,393011,53526000.0,0.0,14.252908577521058,0.0,14.252908577521058,0.0
394,394,1260.0,56214700.0,36.88357843137255,27.662683823529413,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,10120.0,416437700.0,32.498039215686276,24.373529411764707,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
396,396,1710.0,63662100.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,330.0,12252900.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,22150.0,873993100.0,28.20065359477124,21.15049019607843,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,23720.0,1441341200.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
