AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,5100.0,4.8,1.905,1.37,,,141.34,293990.0,2.3,57.69,85.33,#,#,#,"120,000","177,480",,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,233940.0,0.021800461656835086,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,1499349000.0,False,False,0.0,0.11425927508172556,111,111
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,90520.0,1.5,33.810,1.46,,,60.77,126410.0,1.9,23.61,33.51,49.24,78.64,106.65,"49,110","69,700",102420.0,"163,560","221,840",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,233940.0,0.38693682140719843,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,11442633200.0,False,False,0.0,1.0,111,111
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,510.0,6.1,0.192,0.90,,,*,70560.0,1.8,*,*,*,*,*,"27,560","48,030",52330.0,"94,520","138,010",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,233940.0,0.0021800461656835087,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,35985600.0,False,False,0.0,0.002393328361654111,111,111
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,640.0,7.1,0.239,1.76,,,61.94,128840.0,2.5,34.14,44.74,59.24,74.34,92.06,"71,020","93,050",123220.0,"154,640","191,480",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,233940.0,0.00273574420791656,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,82457600.0,False,False,0.0,0.00677937774567878,112,112
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,6060.0,4.5,2.262,0.93,,,74.34,154620.0,1.7,36.53,48.26,66.13,92.92,#,"75,990","100,370",137560.0,"193,280",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,233940.0,0.025904077968709926,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,936997200.0,True,False,100.0,0.10550884407819616,112,112
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,9230.0,6.3,3.449,0.91,,,68.30,142070.0,3.1,30.02,42.32,60.38,83.10,112.92,"62,450","88,020",125600.0,"172,850","234,870",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,233940.0,0.039454560998546634,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1311306100.0,False,False,0.0,0.11188591553836683,112,112
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1790.0,11.8,0.668,1.39,,,72.18,150130.0,8.6,32.37,44.82,63.28,86.84,110.22,"67,320","93,220",131620.0,"180,630","229,260",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,233940.0,0.007651534581516628,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,268732700.0,False,False,0.0,0.02166443586270886,112,112
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,890.0,12.4,0.333,1.59,,,64.02,133170.0,6.4,28.22,41.17,55.48,76.28,102.21,"58,710","85,630",115390.0,"158,650","212,600",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,233940.0,0.003804394289133966,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,118521300.0,False,False,0.0,0.00910716736999424,112,112
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,4550.0,5.5,1.698,1.06,,,60.34,125510.0,1.2,36.48,44.17,53.91,73.39,84.92,"75,870","91,870",112130.0,"152,640","176,640",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,233940.0,0.01944943147815679,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,571070500.0,False,False,0.0,0.04722997210614587,113,113
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,3630.0,3.1,1.356,1.57,,,48.00,99830.0,3.1,24.58,32.63,44.37,59.09,75.24,"51,130","67,860",92280.0,"122,910","156,510",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,233940.0,0.015516799179276737,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,362382900.0,False,False,0.0,0.029870827362589274,113,113
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,13570.0,3.2,5.068,1.30,,,81.85,170240.0,1.1,50.55,65.98,81.65,95.24,108.07,"105,150","137,240",169830.0,"198,100","224,790",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,233940.0,0.05800632640848081,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,2310156800.0,True,False,100.0,0.26019332890159896,113,113
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,16140.0,2.8,6.028,1.16,,,78.36,162980.0,1.2,40.46,52.60,70.61,88.22,#,"84,150","109,410",146860.0,"183,500",#,,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,233940.0,0.06899204924339575,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,2630497200.0,False,False,0.0,0.23096994779733998,113,113
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,2300.0,2.9,0.859,1.68,,,70.25,146110.0,1.1,44.62,56.66,70.00,81.18,88.22,"92,810","117,860",145600.0,"168,860","183,500",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,233940.0,0.009831580747200136,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,336053000.0,False,False,0.0,0.023333451216383933,113,113
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,3610.0,3.6,1.347,1.03,,,56.61,117740.0,2.5,30.82,40.38,51.38,64.99,83.08,"64,100","83,990",106870.0,"135,170","172,800",,,113071,10.869389978213508,29.95125272331155,Low,11,0.0,233940.0,0.015431307172779345,0.0,0.0,0,0.2995125272331155,22.463439542483663,Low,425041400.0,False,False,0.0,0.0257308126074445,113,113
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,480.0,8.1,0.181,1.47,,,68.88,143260.0,1.7,41.49,52.59,65.57,81.58,100.62,"86,300","109,380",136380.0,"169,680","209,290",,,113111,9.628454172366622,28.02462380300958,Low,11,0.0,233940.0,0.0020518081559374197,0.0,0.0,0,0.2802462380300958,21.01846785225718,Low,68764800.0,False,False,0.0,0.0038950519329195568,113,113
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,3610.0,3.2,1.349,1.02,,,74.88,155740.0,1.1,43.33,52.71,68.36,87.33,111.82,"90,130","109,630",142190.0,"181,650","232,590",,,113121,9.211764705882352,26.166666666666664,Low,11,0.0,233940.0,0.015431307172779345,0.0,0.0,0,0.26166666666666666,19.624999999999996,Very Low,562221400.0,False,False,0.0,0.029734665083600186,113,113
