minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,111380.0,16692520600.0,43.23811442385173,32.428585817888795,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,33120.0,5753272500.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,2433421200.0,0.0,42.2962965859865,0.0,42.2962965859865,0.0
113,113,91740.0,15996836900.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,4799502500.0,0.0,30.00282199539085,0.0,30.00282199539085,0.0
119,119,88080.0,12732987800.0,36.48467278733348,27.363504590500114,2,0,0.0,0.0,"119041,119121",3423765800.0,0.0,26.888942750734437,0.0,26.888942750734437,0.0
131,131,191920.0,18817471800.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,4151415000.0,0.0,22.061491809967798,0.0,22.061491809967798,0.0
132,132,91640.0,10040150300.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,313944400.0,0.0,3.1268894450713547,0.0,3.1268894450713547,0.0
151,151,137870.0,17439029400.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",16140052700.0,9548744800.0,92.55132455938173,54.75502438226293,37.796300177118795,3.3815176748433333
152,152,14490.0,1678198000.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",1523373000.0,0.0,90.77433056170965,0.0,90.77433056170965,0.0
171,171,6830.0,689074800.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",536116500.0,0.0,77.80236630333891,0.0,77.80236630333891,0.0
172,172,50960.0,6012626100.0,50.53563873519444,37.90172905139583,7,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172199",3372337800.0,0.0,56.08760205461637,0.0,56.08760205461637,0.0
173,173,15360.0,1049553700.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",245904400.0,0.0,23.429425288101026,0.0,23.429425288101026,0.0
191,191,36690.0,4455583400.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",299077900.0,0.0,6.712429622571984,0.0,6.712429622571984,0.0
192,192,8260.0,958872800.0,51.623566385315115,38.71767478898633,5,0,0.0,0.0,"192011,192012,192042,192043,192099",153873600.0,0.0,16.047342254363663,0.0,16.047342254363663,0.0
193,193,8290.0,882966200.0,37.922616947828615,28.441962710871458,2,0,0.0,0.0,"193011,193099",118362400.0,0.0,13.405088439398927,0.0,13.405088439398927,0.0
194,194,10100.0,654733500.0,42.56977283337577,31.927329625031838,2,0,0.0,0.0,"194031,194061",133785600.0,0.0,20.433596264739776,0.0,20.433596264739776,0.0
195,195,2880.0,269194700.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,79940.0,4999709400.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,810.0,53930200.0,34.622957516339866,25.967218137254903,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,21870.0,4126894200.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,7970.0,602395700.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,50180.0,5671477400.0,29.790867600497354,22.343150700373013,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,110360.0,8953054400.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,6224000.0,0.0,0.06951817471364856,0.0,0.06951817471364856,0.0
253,253,26000.0,1687543400.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,8440.0,595976100.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,35470500.0,0.0,5.951664840251144,0.0,5.951664840251144,0.0
259,259,45730.0,2267619400.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,14130.0,1017642900.0,44.8953582476172,33.671518685712904,3,0,0.0,0.0,"271021,271022,271027",123383300.0,0.0,12.124420069161786,0.0,12.124420069161786,0.0
272,272,12540.0,976301500.0,29.225034615524667,21.9187759616435,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,18100.0,1506999000.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4610.0,282797000.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,169510.0,22192674500.0,21.81100852733406,16.358256395500547,1,0,0.0,0.0,291129,15911400.0,0.0,0.07169663124649532,0.0,0.07169663124649532,0.0
292,292,73740.0,4930872800.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,2090.0,160165100.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,152960.0,6139320400.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,5060.0,319865800.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,36500.0,1898968600.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,10870.0,1061418700.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,11810.0,854300900.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,25320.0,2011711300.0,39.024287434271955,29.26821557570397,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,32420.0,1442343000.0,38.18140968508615,28.636057263814614,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
