minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,93340.0,11657892400.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,23860.0,3509788400.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,866241600.0,0.0,24.680735738940843,0.0,24.680735738940843,0.0
113,113,75940.0,10067898400.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,2309141800.0,0.0,22.93568834584187,0.0,22.93568834584187,0.0
119,119,84350.0,9263935600.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",2352258900.0,0.0,25.391572238477135,0.0,25.391572238477135,0.0
131,131,182150.0,14469902500.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,1516222800.0,0.0,10.47845899445418,0.0,10.47845899445418,0.0
132,132,80310.0,6985872500.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,164475300.0,0.0,2.3543988241984093,0.0,2.3543988241984093,0.0
151,151,117270.0,10991295500.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",10102941600.0,5049976000.0,91.91765975175538,45.94523002315787,45.97242972859751,1.9217795664110873
152,152,7090.0,697224000.0,53.954774553107924,40.46608091483095,4,0,0.0,0.0,"152021,152031,152041,152051",658281600.0,0.0,94.41465009810334,0.0,94.41465009810334,0.0
171,171,4860.0,402039000.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",296191800.0,0.0,73.67240491594099,0.0,73.67240491594099,0.0
172,172,92860.0,9298301100.0,50.385621284692114,37.78921596351909,9,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172171,172199",5463533700.0,0.0,58.758408027892315,0.0,58.758408027892315,0.0
173,173,27740.0,1740811300.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",245958800.0,0.0,14.128975380617073,0.0,14.128975380617073,0.0
191,191,7770.0,708012400.0,44.981037293822816,33.73577797036712,2,0,0.0,0.0,"191012,191029",107465100.0,0.0,15.178420603932926,0.0,15.178420603932926,0.0
192,192,7750.0,722058900.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",135891300.0,0.0,18.819974381591308,0.0,18.819974381591308,0.0
193,193,6910.0,533294500.0,38.33239011228796,28.749292584215972,2,0,0.0,0.0,"193011,193099",86219600.0,0.0,16.167352185330994,0.0,16.167352185330994,0.0
194,194,6950.0,398875500.0,42.387654998868236,31.79074124915117,2,0,0.0,0.0,"194031,194061",142247800.0,0.0,35.66220537486007,0.0,35.66220537486007,0.0
195,195,3560.0,288049600.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,68120.0,3680683000.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,3630.0,175414800.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,17380.0,2326848000.0,35.48325264488999,26.61243948366748,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,10750.0,668418500.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,31210.0,3168618800.0,29.815222342394105,22.361416756795577,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,100490.0,6552482300.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,0.0,0.0,0.0,0.0,0.0,0.0
253,253,18640.0,857392700.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,6790.0,343740900.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,10336800.0,0.0,3.0071486983364504,0.0,3.0071486983364504,0.0
259,259,61170.0,2558841200.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,21940.0,1120297800.0,44.20795763832337,33.15596822874254,3,0,0.0,0.0,"271021,271022,271027",170182000.0,0.0,15.190782308061305,0.0,15.190782308061305,0.0
272,272,13840.0,823048100.0,27.63351629435933,20.725137220769497,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,13970.0,904407400.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,3930.0,204921700.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,198690.0,22751564200.0,21.38491749312729,16.038688119845467,1,0,0.0,0.0,291129,12485000.0,0.0,0.05487534786729081,0.0,0.05487534786729081,0.0
292,292,86960.0,4612729700.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,3530.0,234443800.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,124290.0,4240041700.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,5840.0,305867400.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,53580.0,2229683800.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,8220.0,611915300.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,7350.0,393313800.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,26350.0,1771010100.0,39.024287434271955,29.26821557570397,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,34760.0,1302378000.0,38.18140968508615,28.636057263814614,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,36640.0,1573660800.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,74790.0,2494687900.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,209060.0,6925733800.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,35100.0,1014045200.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,336109500.0,0.0,33.14541600315252,0.0,33.14541600315252,0.0
371,371,8100.0,433998000.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,82900.0,2876279800.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,33820.0,1345559000.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",1318829600.0,0.0,98.01350962685397,0.0,98.01350962685397,0.0
391,391,5760.0,277697700.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,7520.0,250651500.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,25560500.0,0.0,10.19762498927794,0.0,10.19762498927794,0.0
393,393,17700.0,534383700.0,40.50586110512582,30.379395828844363,1,0,0.0,0.0,393011,112507700.0,0.0,21.053729745125086,0.0,21.053729745125086,0.0
394,394,2230.0,98360400.0,36.88357843137255,27.662683823529413,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,11800.0,518653300.0,30.299019607843135,22.724264705882355,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
396,396,870.0,30047200.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,990.0,33521400.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,34180.0,1189469600.0,28.20065359477124,21.15049019607843,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,33560.0,1853133200.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
412,412,229480.0,7891076100.0,33.86560825622628,25.399206192169707,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
413,413,48960.0,4002122200.0,39.14716025994716,29.36037019496037,1,0,0.0,0.0,413091,2014943700.0,0.0,50.34688096230545,0.0,50.34688096230545,0.0
414,414,50720.0,4566223200.0,39.9348283613223,29.951121270991724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
419,419,8930.0,654460100.0,36.32259760690102,27.241948205175767,1,0,0.0,0.0,419031,340011900.0,0.0,51.95303732038057,0.0,51.95303732038057,0.0
431,431,30890.0,2031635300.0,35.07732980832783,26.307997356245878,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
432,432,910.0,36065600.0,41.78852247969895,31.341391859774216,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
433,433,78110.0,3520411900.0,33.26644996880889,24.949837476606668,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
434,434,156150.0,6671689000.0,33.499163452722755,25.12437258954207,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
435,435,66630.0,3387377000.0,30.948927997511408,23.211695998133553,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
436,436,80530.0,3694470000.0,32.783828035426716,24.587871026570035,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
439,439,103300.0,4505156900.0,39.861009401672895,29.895757051254673,2,0,0.0,0.0,"439071,439111",60835600.0,0.0,1.350354745691543,0.0,1.350354745691543,0.0
451,451,450.0,28984500.0,25.53186274509804,19.14889705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
452,452,4770.0,190382300.0,43.83585239651416,32.876889297385624,1,0,0.0,0.0,452041,8110000.0,0.0,4.259849786455989,0.0,4.259849786455989,0.0
454,454,820.0,37745400.0,40.50304015837105,30.377280118778287,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
471,471,15670.0,1239026900.0,34.59436274509804,25.94577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
472,472,125720.0,7415093700.0,32.45353377364932,24.340150330236987,2,0,0.0,0.0,"472011,472061",1358953600.0,0.0,18.32685674626067,0.0,18.32685674626067,0.0
473,473,1270.0,53632600.0,36.829775849733835,27.622331887300373,1,0,0.0,0.0,473015,9911200.0,0.0,18.47980519311016,0.0,18.47980519311016,0.0
474,474,10490.0,598679400.0,35.44879201680672,26.586594012605044,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
475,475,2670.0,140021400.0,42.42868389780155,31.821512923351168,2,0,0.0,0.0,"475011,475081",7007500.0,0.0,5.004592155199134,0.0,5.004592155199134,0.0
491,491,14290.0,1120336000.0,33.89338235294118,25.420036764705888,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
492,492,11030.0,648564900.0,43.35789241113584,32.51841930835189,3,0,0.0,0.0,"492091,492092,492093",51795200.0,0.0,7.986124441825329,0.0,7.986124441825329,0.0
493,493,51280.0,2677472900.0,33.582539804966274,25.186904853724705,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
499,499,95210.0,5257091800.0,39.1890506202481,29.39178796518608,2,0,0.0,0.0,"499044,499096",236348500.0,0.0,4.495803173914521,0.0,4.495803173914521,0.0
511,511,27840.0,1930982400.0,36.13570691434468,27.101780185758507,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
512,512,145710.0,6586808600.0,36.19076797385621,27.14307598039216,1,0,0.0,0.0,512031,486759000.0,0.0,7.389906547459114,0.0,7.389906547459114,0.0
513,513,21570.0,829125000.0,30.852195225916454,23.139146419437342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
514,514,118920.0,5700154200.0,37.59827631518808,28.198707236391062,4,0,0.0,0.0,"514021,514033,514081,514191",678485700.0,0.0,11.90293588899753,0.0,11.90293588899753,0.0
515,515,6320.0,273237900.0,34.50174952135737,25.87631214101803,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
516,516,12220.0,425944600.0,41.91584395996161,31.436882969971204,3,0,0.0,0.0,"516061,516062,516093",56216900.0,0.0,13.198171781025044,0.0,13.198171781025044,0.0
517,517,6400.0,263528400.0,42.71061758036548,32.03296318527411,1,0,0.0,0.0,517031,2410500.0,0.0,0.9147021725172695,0.0,0.9147021725172695,0.0
518,518,6440.0,478552600.0,30.529759236941032,22.897319427705774,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
519,519,100580.0,4450599000.0,44.27405585306064,33.20554188979548,11,0,0.0,0.0,"519011,519022,519031,519032,519041,519083,519151,519191,519192,519196,519198",810160400.0,0.0,18.203401384847297,0.0,18.203401384847297,0.0
531,531,14150.0,864463200.0,35.17565359477125,26.381740196078432,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
532,532,4940.0,896885900.0,33.0310650623886,24.773298796791444,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
533,533,125980.0,5980263900.0,25.380621829151245,19.035466371863432,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
534,534,1150.0,76022300.0,23.27007469654529,17.452556022408967,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
535,535,860.0,56329300.0,30.793272801544862,23.094954601158648,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
536,536,6240.0,226989000.0,39.03004161434689,29.27253121076017,2,0,0.0,0.0,"536041,536051",32807700.0,0.0,14.45343166408945,0.0,14.45343166408945,0.0
537,537,212260.0,8345224900.0,35.98032601929661,26.98524451447246,2,0,0.0,0.0,"537041,537064",502014200.0,0.0,6.015586230635917,0.0,6.015586230635917,0.0
