minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,3780.0,296290.0,1119976200.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,88500.0,118150.0,10456275000.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,1060.0,77020.0,81641200.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,200.0,105100.0,21020000.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,6090.0,142240.0,866241600.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,15610.0,152530.0,2380993300.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,1290.0,125320.0,161662800.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,670.0,119210.0,79870700.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,5840.0,107120.0,625580800.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,4350.0,97360.0,423516000.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,14770.0,156340.0,2309141800.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,19970.0,147550.0,2946573500.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,14630.0,119610.0,1749894300.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,2670.0,145790.0,389259300.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",7610.0,105010.0,799126100.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,410.0,159360.0,65337600.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,5060.0,136910.0,692764600.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,630.0,105880.0,66704400.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119013,"Farmers, Ranchers, and Other Agricultural Managers",230.0,86320.0,19853600.0,33.66921313980138,False,0.0,25.251909854851036,False,0.0,0.0
119,119,119021,Construction Managers,6340.0,114540.0,726183600.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",1570.0,52950.0,83131500.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
