minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,83350.0,10422363900.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,20110.0,3313137000.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1496836200.0,0.0,45.178819952208435,0.0,45.178819952208435,0.0
113,113,50010.0,7671437300.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,1810253500.0,0.0,23.597318588525777,0.0,23.597318588525777,0.0
119,119,47820.0,5616458000.0,36.48447928888147,27.3633594666611,2,0,0.0,0.0,"119041,119121",898454400.0,0.0,15.996815074554105,0.0,15.996815074554105,0.0
131,131,139980.0,12116636400.0,38.25208988397328,28.689067412979966,1,0,0.0,0.0,131111,2127456400.0,0.0,17.558143446476613,0.0,17.558143446476613,0.0
132,132,62730.0,6028368600.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,89523000.0,0.0,1.485028636105629,0.0,1.485028636105629,0.0
151,151,92870.0,9776106800.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",8954657200.0,4905647700.0,91.59737493866167,50.17997246102098,41.41740247764069,2.567620461048744
152,152,5370.0,600947800.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",474638200.0,0.0,78.98160206260843,0.0,78.98160206260843,0.0
171,171,4100.0,383081600.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",293676600.0,0.0,76.6616303158387,0.0,76.6616303158387,0.0
172,172,38600.0,4047348000.0,50.509215978556206,37.881911983917156,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172171,172199",1532060600.0,0.0,37.85344378590623,0.0,37.85344378590623,0.0
173,173,15200.0,1042057300.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",156596700.0,0.0,15.02764771188686,0.0,15.02764771188686,0.0
191,191,10630.0,1101259500.0,44.981037293822816,33.73577797036712,2,0,0.0,0.0,"191012,191029",101664900.0,0.0,9.231693347480771,0.0,9.231693347480771,0.0
192,192,5400.0,519554400.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",159352300.0,0.0,30.670955726676553,0.0,30.670955726676553,0.0
193,193,4990.0,444652500.0,38.417290290885056,28.812967718163794,2,0,0.0,0.0,"193011,193099",72636800.0,0.0,16.335632881857183,0.0,16.335632881857183,0.0
194,194,5460.0,304811400.0,42.56977283337577,31.927329625031838,2,0,0.0,0.0,"194031,194061",83674000.0,0.0,27.45107302417167,0.0,27.45107302417167,0.0
195,195,2500.0,213405400.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,56200.0,3367295500.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,1720.0,97477900.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,12750.0,2021019800.0,35.48325264488999,26.61243948366748,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,6290.0,428806500.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,21060.0,1941354600.0,30.039588863493602,22.529691647620197,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,79110.0,5142014300.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,12745600.0,0.0,0.24787173384562544,0.0,0.24787173384562544,0.0
253,253,19250.0,984675400.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,3760.0,242116100.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,9020000.0,0.0,3.725485417946184,0.0,3.725485417946184,0.0
259,259,40150.0,1762916200.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,11110.0,703892500.0,44.20795763832337,33.15596822874254,3,0,0.0,0.0,"271021,271022,271027",96083300.0,0.0,13.650280405033438,0.0,13.650280405033438,0.0
272,272,6880.0,439123700.0,28.070192396782698,21.052644297587022,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,13500.0,938091300.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4560.0,259742400.0,37.78845950747211,28.341344630604084,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,126100.0,16271564100.0,21.810349909849712,16.357762432387283,1,0,0.0,0.0,291129,23879700.0,0.0,0.1467572499683666,0.0,0.1467572499683666,0.0
292,292,54450.0,3233194900.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,3550.0,279662600.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,139510.0,5060942300.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,2070.0,125755900.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
