minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,19370.0,1990740500.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,2910.0,331659100.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,96167600.0,0.0,28.995917796315556,0.0,28.995917796315556,0.0
113,113,11440.0,1262217500.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,160960800.0,0.0,12.752223764921656,0.0,12.752223764921656,0.0
119,119,19970.0,1665887600.0,37.64846832556126,28.236351244170947,2,0,0.0,0.0,"119041,119121",141862400.0,0.0,8.515724590302492,0.0,8.515724590302492,0.0
131,131,28270.0,1944731200.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,280462000.0,0.0,14.421633179947953,0.0,14.421633179947953,0.0
132,132,16410.0,1079304900.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,27865400.0,0.0,2.5817912991963623,0.0,2.5817912991963623,0.0
151,151,14020.0,1069890100.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",893451300.0,314731200.0,83.50869869718395,29.417152285080494,54.091546412103455,0.5917779160281977
152,152,600.0,45758400.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",40699200.0,0.0,88.9436693590685,0.0,88.9436693590685,0.0
171,171,870.0,58459300.0,41.14446276291725,30.858347072187936,1,0,0.0,0.0,171011,28192500.0,0.0,48.225859700680644,0.0,48.225859700680644,0.0
172,172,7890.0,750758800.0,50.51381795652326,37.885363467392445,7,0,0.0,0.0,"172011,172021,172061,172071,172072,172141,172199",310980000.0,0.0,41.4220918888996,0.0,41.4220918888996,0.0
173,173,4290.0,245733200.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",74988500.0,0.0,30.51622654163133,0.0,30.51622654163133,0.0
191,191,1730.0,127617000.0,45.70473744635504,34.27855308476629,2,0,0.0,0.0,"191012,191029",37282300.0,0.0,29.214211272792813,0.0,29.214211272792813,0.0
192,192,1360.0,124482800.0,51.24928743407005,38.436965575552534,4,0,0.0,0.0,"192012,192021,192042,192099",79289100.0,0.0,63.69482370255167,0.0,63.69482370255167,0.0
193,193,830.0,56318400.0,32.89726554789832,24.672949160923743,1,0,0.0,0.0,193099,15064200.0,0.0,26.748274098695983,0.0,26.748274098695983,0.0
194,194,1720.0,90901100.0,41.03084887153514,30.773136653651363,1,0,0.0,0.0,194031,23188500.0,0.0,25.50959229316257,0.0,25.50959229316257,0.0
195,195,1060.0,74082000.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,15370.0,698878200.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,440.0,21246800.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,3760.0,413912000.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,2200.0,104165600.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,8710.0,609741600.0,29.846551566212348,22.38491367465926,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,39730.0,1944581100.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,11481800.0,0.0,0.5904510745270537,0.0,0.5904510745270537,0.0
253,253,4160.0,154667300.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,2010.0,87448500.0,36.77205882352941,27.579044117647058,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
259,259,12300.0,355883800.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,1470.0,63682900.0,43.942320932009586,32.956740699007206,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
272,272,2340.0,134102100.0,26.445440618597274,19.834080463947956,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,2030.0,111671600.0,34.01165656460684,25.50874242345513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
