AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,580.0,7.9,0.502,0.36,,,74.71,155400.0,2.9,47.34,49.69,59.01,79.55,114.43,"98,470","103,350",122740.0,"165,460","238,010",,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,53690.0,0.01080275656546843,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,90132000.0,False,False,0.0,0.04135243116965021,111,111
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,18790.0,3.4,16.336,0.71,,,48.63,101150.0,1.3,17.10,24.92,37.08,59.68,89.57,"35,570","51,830",77120.0,"124,140","186,300",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,53690.0,0.3499720618364686,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,1900608500.0,False,False,0.0,1.0,111,111
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,100.0,16.4,0.086,0.64,,,40.64,84530.0,9.8,20.42,24.43,29.92,47.63,97.87,"42,470","50,800",62230.0,"99,070","203,560",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,53690.0,0.0018625442354255914,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,8453000.0,False,False,0.0,0.0041841121971388775,112,112
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,920.0,7.5,0.799,0.33,,,50.26,104530.0,6.7,20.68,28.22,42.04,64.85,89.25,"43,010","58,710",87440.0,"134,900","185,640",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,53690.0,0.01713540696591544,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,96167600.0,True,False,100.0,0.06519475522699943,112,112
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1650.0,3.5,1.437,0.38,,,59.26,123250.0,1.9,26.01,32.23,51.80,75.57,102.26,"54,090","67,040",107750.0,"157,180","212,700",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,53690.0,0.030731979884522257,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,203362500.0,False,False,0.0,0.1044661332936027,112,112
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,210.0,24.6,0.184,0.38,,,48.47,100820.0,8.0,24.38,32.79,43.26,57.62,85.56,"50,710","68,190",89980.0,"119,850","177,960",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,53690.0,0.003911342894393742,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,21172200.0,False,False,0.0,0.01027604899447221,112,112
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,30.0,14.8,0.030,0.15,,,40.12,83460.0,5.1,23.22,29.28,39.47,47.44,53.25,"48,300","60,900",82100.0,"98,680","110,750",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,53690.0,0.0005587632706276774,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,2503800.0,False,False,0.0,0.001158296798984046,112,112
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,2690.0,6.2,2.337,1.46,,,49.81,103600.0,4.4,23.92,31.26,41.61,60.37,82.78,"49,750","65,010",86550.0,"125,560","172,190",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,53690.0,0.050102439932948405,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,278684000.0,False,False,0.0,0.1387628808606479,113,113
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,750.0,5.3,0.655,0.76,,,41.53,86390.0,2.3,23.32,28.22,38.26,50.75,64.70,"48,510","58,700",79580.0,"105,550","134,580",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,53690.0,0.013969081765691935,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,64792500.0,False,False,0.0,0.03215419213398005,113,113
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,1340.0,12.2,1.162,0.30,,,57.75,120120.0,2.4,33.16,42.30,51.29,67.25,83.89,"68,970","87,980",106690.0,"139,880","174,490",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,53690.0,0.024958092754702923,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,160960800.0,True,False,100.0,0.10914607697024509,113,113
