minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,96110.0,9427523700.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,12930.0,1643961600.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,514211200.0,0.0,31.278784127317817,0.0,31.278784127317817,0.0
113,113,36160.0,4742790000.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,1157065600.0,0.0,24.39630681518684,0.0,24.39630681518684,0.0
119,119,44940.0,4633317600.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",401179600.0,0.0,8.658581919788965,0.0,8.658581919788965,0.0
131,131,118270.0,9348360100.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,1072258000.0,0.0,11.47001172965085,0.0,11.47001172965085,0.0
132,132,60740.0,5163141100.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,178939800.0,0.0,3.465715860447819,0.0,3.465715860447819,0.0
151,151,76660.0,6887908300.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",5833447900.0,2224469000.0,84.69113765640579,32.29527605644808,52.395861599957705,1.3660435279700904
152,152,7950.0,635004400.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",574664400.0,0.0,90.49770363795905,0.0,90.49770363795905,0.0
171,171,3970.0,297808700.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",212839900.0,0.0,71.46866428012345,0.0,71.46866428012345,0.0
172,172,22280.0,2180240050.0,49.994310672961795,37.495733004721345,7,0,0.0,0.0,"172031,172061,172071,172072,172141,172161,172199",1054518100.0,0.0,48.367063984536934,0.0,48.367063984536934,0.0
