AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,,**,**,**,,,87.44,181870.0,3.1,14.66,45.82,68.05,107.13,#,"30,500","95,300",141550.0,"222,840",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,190140.0,,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,,False,False,0.0,,111,111
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,95120.0,2.4,33.068,1.43,,,47.37,98520.0,2.1,17.81,23.89,37.03,58.20,85.87,"37,040","49,690",77030.0,"121,050","178,600",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,190140.0,0.5002629641316925,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,9371222400.0,False,False,0.0,1.0,111,111
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,990.0,15.5,0.345,1.62,,,*,56870.0,3.2,*,*,*,*,*,"24,960","30,300",45120.0,"70,680","95,970",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,190140.0,0.005206689807510255,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,56301300.0,False,False,0.0,0.00457216288416135,111,111
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,380.0,15.5,0.132,0.97,,,38.24,79540.0,5.8,23.58,26.95,31.48,39.61,64.11,"49,040","56,060",65480.0,"82,400","133,360",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,190140.0,0.0019985274008625224,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,30225200.0,False,False,0.0,0.003034296794970427,112,112
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,4040.0,7.4,1.405,0.58,,,61.19,127280.0,2.2,30.00,37.36,53.09,76.37,102.06,"62,400","77,700",110420.0,"158,850","212,280",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,190140.0,0.02124750184074892,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,514211200.0,True,False,100.0,0.07070039424495107,112,112
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,7140.0,5.3,2.483,0.65,,,62.83,130680.0,2.4,26.81,34.49,53.56,80.30,111.31,"55,760","71,750",111400.0,"167,030","231,530",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,190140.0,0.037551278005680026,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,933055200.0,False,False,0.0,0.09720943252701215,112,112
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1070.0,5.2,0.372,0.78,,,62.31,129600.0,1.9,30.28,40.11,56.13,78.79,103.33,"62,980","83,420",116750.0,"163,890","214,920",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,190140.0,0.005627432418218155,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,138672000.0,False,False,0.0,0.013650400071886136,112,112
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,300.0,11.6,0.105,0.50,,,44.55,92660.0,5.4,25.43,29.07,40.61,53.37,65.15,"52,890","60,470",84470.0,"111,010","135,500",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,190140.0,0.001577784790154623,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,27798000.0,False,False,0.0,0.002608135761838499,112,112
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,3870.0,4.5,1.346,0.84,,,47.72,99260.0,2.0,21.63,31.52,43.12,60.02,76.95,"44,990","65,560",89680.0,"124,840","160,060",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,190140.0,0.020353423792994634,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,384136200.0,False,False,0.0,0.038792067836110895,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,2030.0,4.1,0.706,0.82,,,48.05,99950.0,1.7,28.68,35.09,45.79,55.88,69.21,"59,650","72,980",95250.0,"116,220","143,960",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,190140.0,0.010676343746712948,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,202898500.0,False,False,0.0,0.020421522815015147,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,7960.0,3.0,2.769,0.71,,,69.89,145360.0,1.1,39.39,50.66,65.45,82.61,102.82,"81,940","105,360",136130.0,"171,830","213,860",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,190140.0,0.041863889765435994,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,1157065600.0,True,False,100.0,0.15912646429174143,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,11840.0,2.9,4.115,0.79,,,71.81,149360.0,1.6,35.56,46.68,62.98,82.37,107.64,"73,970","97,100",130990.0,"171,340","223,890",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,190140.0,0.06226990638476912,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,1768422400.0,False,False,0.0,0.18959783396805371,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,4130.0,2.6,1.436,0.98,,,56.25,117000.0,1.0,31.29,38.90,50.34,66.24,84.63,"65,090","80,910",104710.0,"137,780","176,030",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,190140.0,0.021720837277795307,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,483210000.0,False,False,0.0,0.03819219040979141,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,640.0,6.3,0.223,0.44,,,65.51,136260.0,2.4,34.60,49.12,65.25,78.91,97.97,"71,960","102,180",135720.0,"164,130","203,780",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,190140.0,0.0033659408856631956,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,87206400.0,False,False,0.0,0.007393486650336304,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2160.0,4.9,0.750,0.57,,,47.42,98630.0,3.1,27.24,31.24,42.13,56.96,78.27,"56,650","64,980",87620.0,"118,470","162,810",,,113071,10.869389978213508,29.95125272331155,Low,11,0.0,190140.0,0.011360050489113285,0.0,0.0,0,0.2995125272331155,22.463439542483663,Low,213040800.0,False,False,0.0,0.015747614858533765,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,170.0,9.6,0.058,0.47,,,67.20,139770.0,3.3,31.36,40.25,62.21,80.95,111.20,"65,230","83,720",129410.0,"168,380","231,290",,,113111,9.628454172366622,28.02462380300958,Low,11,0.0,190140.0,0.0008940780477542863,0.0,0.0,0,0.2802462380300958,21.01846785225718,Low,23760900.0,False,False,0.0,0.0016433863927745884,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,3080.0,5.2,1.070,0.81,,,61.73,128400.0,2.0,33.08,42.08,57.42,74.78,94.17,"68,800","87,530",119430.0,"155,540","195,870",,,113121,9.211764705882352,26.166666666666664,Low,11,0.0,190140.0,0.016198590512254127,0.0,0.0,0,0.26166666666666666,19.624999999999996,Very Low,395472000.0,False,False,0.0,0.025538839041920645,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,280.0,17.3,0.097,0.36,,,47.35,98490.0,6.4,26.23,36.79,38.14,62.07,72.64,"54,550","76,530",79330.0,"129,110","151,080",,,113131,8.528063725490197,24.653492647058826,Low,11,0.0,190140.0,0.001472599137477648,0.0,0.0,0,0.24653492647058825,18.49011948529412,Very Low,27577200.0,False,False,0.0,0.0016778982912087296,113,113
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,100.0,19.3,0.036,0.88,,,37.37,77720.0,9.1,19.14,24.33,34.96,46.15,53.57,"39,820","50,610",72720.0,"95,990","111,420",,,119013,12.324828113063408,33.66921313980138,Low,11,0.0,190140.0,0.0005259282633848743,0.0,0.0,0,0.3366921313980138,25.251909854851036,Low,7772000.0,False,False,0.0,0.0006458070289563542,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,3130.0,7.1,1.089,0.50,,,55.46,115350.0,2.2,34.15,40.56,49.94,64.08,81.21,"71,030","84,360",103870.0,"133,280","168,920",,,119021,12.699264705882351,38.31066176470588,Low,11,0.0,190140.0,0.016461554643946566,0.0,0.0,0,0.3831066176470588,28.73299632352941,Low,361045500.0,False,False,0.0,0.03413646918674733,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,710.0,11.4,0.247,0.59,,,23.88,49670.0,5.4,14.46,17.93,21.78,27.25,35.39,"30,070","37,290",45290.0,"56,670","73,600",,,119031,13.658823529411762,37.67647058823529,Low,11,0.0,190140.0,0.0037340906700326078,0.0,0.0,0,0.3767647058823529,28.257352941176467,Low,35265700.0,False,False,0.0,0.003279138272891071,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,6320.0,6.2,2.198,1.10,,,*,102390.0,1.5,*,*,*,*,*,"71,920","80,300",100070.0,"119,650","132,940",True,,119032,13.438865546218487,37.525735294117645,Low,11,0.0,190140.0,0.03323866624592406,0.0,0.0,0,0.37525735294117646,28.144301470588236,Low,647104800.0,False,False,0.0,0.059929525723585085,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,3460.0,1.5,1.202,1.09,,,60.10,125000.0,1.0,28.22,37.62,49.41,70.27,107.81,"58,700","78,240",102760.0,"146,150","224,250",,,119033,11.166301096709873,33.67846460618147,Low,11,0.0,190140.0,0.01819711791311665,0.0,0.0,0,0.3367846460618147,25.2588484546361,Low,432500000.0,False,False,0.0,0.03594805557401139,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,490.0,12.6,0.172,0.51,,,38.42,79920.0,2.6,24.58,29.60,36.43,44.62,54.47,"51,130","61,570",75770.0,"92,810","113,300",,,119039,,35.95915032679739,Low,11,0.0,190140.0,0.002577048490585884,0.0,0.0,0,0.3595915032679739,26.969362745098042,Low,39160800.0,False,False,0.0,0.003475345492045623,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,1940.0,5.4,0.675,0.49,,,73.28,152420.0,0.9,47.23,59.11,70.88,87.28,102.54,"98,230","122,940",147430.0,"181,540","213,290",,,119041,20.744858554108664,63.00718455321059,High,11,0.0,190140.0,0.010203008309666561,0.0,0.0,0,0.6300718455321059,47.25538841490795,Moderate,295694800.0,True,False,100.0,0.045980190869849676,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,1740.0,7.9,0.606,0.37,,,30.97,64420.0,2.0,17.97,22.16,29.63,36.24,46.71,"37,370","46,090",61620.0,"75,380","97,150",,,119051,8.88657616892911,27.344645550527908,Low,11,0.0,190140.0,0.009151151782896813,0.0,0.0,0,0.2734464555052791,20.50848416289593,Low,112090800.0,False,False,0.0,0.007564483428139151,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,70.0,17.5,0.024,0.80,,,37.83,78690.0,6.1,31.82,34.65,38.09,42.61,42.62,"66,180","72,060",79220.0,"88,630","88,650",,,119071,10.376470588235296,38.44117647058824,Low,11,0.0,190140.0,0.000368149784369412,0.0,0.0,0,0.3844117647058824,28.830882352941178,Low,5508300.0,False,False,0.0,0.0005225781710692007,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,290.0,23.4,0.102,0.52,,,37.02,77000.0,5.5,19.82,23.14,34.67,44.75,58.34,"41,220","48,120",72120.0,"93,080","121,350",,,119072,12.699264705882351,41.748161764705884,Moderate,11,0.0,190140.0,0.0015251919638161356,0.0,0.0,0,0.4174816176470588,31.311121323529413,Low,22330000.0,False,False,0.0,0.0023007164060763878,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,170.0,18.9,0.058,0.21,,,34.32,71380.0,5.4,20.88,21.84,27.16,40.34,55.63,"43,430","45,430",56500.0,"83,910","115,700",,,119081,6.192292089249493,20.308316430020287,Low,11,0.0,190140.0,0.0008940780477542863,0.0,0.0,0,0.20308316430020287,15.231237322515215,Very Low,12134600.0,False,False,0.0,0.000608185967238733,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,8800.0,3.0,3.060,0.90,,,55.95,116370.0,1.2,29.48,39.45,49.05,62.76,84.68,"61,310","82,060",102010.0,"130,540","176,130",,,119111,13.85048633626679,41.0829087540528,Moderate,11,0.0,190140.0,0.04628168717786894,0.0,0.0,0,0.41082908754052805,30.812181565539603,Low,1024056000.0,False,False,0.0,0.10382977195314479,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,820.0,8.9,0.284,0.45,,,61.85,128640.0,6.3,27.48,30.21,58.49,75.48,105.93,"57,150","62,840",121670.0,"156,990","220,330",,,119121,16.537119675456392,54.44624746450305,Moderate,11,0.0,190140.0,0.004312611759755969,0.0,0.0,0,0.5444624746450305,40.834685598377284,Moderate,105484800.0,True,False,100.0,0.014174078878244206,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,300.0,0.0,0.103,1.14,,,42.74,88900.0,0.0,38.86,39.90,42.13,45.34,48.84,"80,830","82,990",87630.0,"94,310","101,590",,,119131,9.052012383900928,28.94582043343653,Low,11,0.0,190140.0,0.001577784790154623,0.0,0.0,0,0.2894582043343653,21.7093653250774,Low,26670000.0,False,False,0.0,0.0019052233172944394,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,4650.0,7.5,1.617,0.86,,,28.50,59290.0,3.0,15.61,18.38,23.69,35.46,40.76,"32,460","38,230",49280.0,"73,770","84,770",,,119141,12.353130929791272,35.72153700189754,Low,11,0.0,190140.0,0.024455664247396654,0.0,0.0,0,0.35721537001897535,26.79115275142315,Low,275698500.0,False,False,0.0,0.024305331518042646,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,2650.0,5.5,0.921,0.81,,,30.77,64010.0,2.2,18.45,22.75,28.37,35.44,46.54,"38,380","47,320",59020.0,"73,720","96,800",,,119151,9.444385026737969,30.88368983957219,Low,11,0.0,190140.0,0.01393709897969917,0.0,0.0,0,0.3088368983957219,23.162767379679146,Low,169626500.0,False,False,0.0,0.012928849859851934,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,180.0,16.5,0.064,0.82,,,38.00,79030.0,2.0,20.86,27.75,35.13,42.89,61.39,"43,380","57,730",73070.0,"89,210","127,690",,,119161,9.254411764705884,28.969362745098042,Low,11,0.0,190140.0,0.0009466708740927738,0.0,0.0,0,0.28969362745098043,21.72702205882353,Low,14225400.0,False,False,0.0,0.0010170456290147219,119,119
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,610.0,10.9,0.213,2.28,,,35.52,73880.0,3.7,19.01,22.83,31.48,47.26,55.25,"39,540","47,480",65480.0,"98,310","114,920",,,119171,9.623529411764704,29.941176470588232,Low,11,0.0,190140.0,0.0032081624066477334,0.0,0.0,0,0.2994117647058823,22.455882352941174,Low,45066800.0,False,False,0.0,0.0033301407646201186,119,119
