minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,11970.0,1236701300.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,1090.0,137325100.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,54290600.0,0.0,39.534360433744446,0.0,39.534360433744446,0.0
113,113,3700.0,382505000.0,36.4464371793267,27.334827884495027,1,0,0.0,0.0,113021,59190400.0,0.0,15.474412099188244,0.0,15.474412099188244,0.0
119,119,11530.0,1156306100.0,36.53498334578578,27.40123750933934,2,0,0.0,0.0,"119041,119121",103251200.0,0.0,8.929400268665884,0.0,8.929400268665884,0.0
131,131,18930.0,1353132300.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,98999300.0,0.0,7.316306025656176,0.0,7.316306025656176,0.0
132,132,8750.0,695352200.0,33.729361055175055,25.29702079138129,1,0,0.0,0.0,132099,15384600.0,0.0,2.212490303474987,0.0,2.212490303474987,0.0
151,151,8430.0,755915800.0,68.19944353771909,51.149582653289315,12,2,0.0,0.0,"151211,151212,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",678047200.0,324593200.0,89.69877332898717,42.9403909800536,46.75838234893357,1.1988142806206692
152,152,280.0,24163800.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",24163800.0,0.0,100.0,0.0,100.0,0.0
171,171,1230.0,89881500.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",42744900.0,0.0,47.55694998414579,0.0,47.55694998414579,0.0
172,172,4850.0,440154900.0,50.21995829635224,37.66496872226418,7,0,0.0,0.0,"172031,172061,172071,172072,172141,172171,172199",182068600.0,0.0,41.36466503042452,0.0,41.36466503042452,0.0
173,173,2080.0,121335700.0,44.89095236239189,33.66821427179392,2,0,0.0,0.0,"173012,173023",10878400.0,0.0,8.965539408434616,0.0,8.965539408434616,0.0
191,191,2260.0,169884100.0,44.38229133643831,33.28671850232874,1,0,0.0,0.0,191029,35976600.0,0.0,21.177143711506847,0.0,21.177143711506847,0.0
192,192,1200.0,98837700.0,50.71597499266937,38.03698124450204,4,0,0.0,0.0,"192021,192042,192043,192099",49701900.0,0.0,50.28637857821459,0.0,50.28637857821459,0.0
193,193,1090.0,84644600.0,38.15421647323199,28.61566235492399,2,0,0.0,0.0,"193011,193099",19642800.0,0.0,23.20620571188239,0.0,23.20620571188239,0.0
194,194,3100.0,162581600.0,42.80084776334776,32.100635822510824,2,0,0.0,0.0,"194031,194061",10625900.0,0.0,6.535733440930586,0.0,6.535733440930586,0.0
195,195,680.0,52714800.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,9150.0,445122400.0,32.99171343229928,24.743785074224466,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
