minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,470.0,208270.0,97886900.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,11120.0,100320.0,1115558400.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,380.0,61200.0,23256000.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,40.0,93070.0,3722800.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,380.0,142870.0,54290600.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,500.0,130330.0,65165000.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,80.0,55840.0,4467200.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,90.0,107550.0,9679500.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,280.0,113170.0,31687600.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,270.0,88800.0,23976000.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,1060.0,55840.0,59190400.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,1160.0,138340.0,160474400.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,210.0,137830.0,28944300.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,80.0,105190.0,8415200.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",250.0,97510.0,24377500.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113121,Human Resources Managers,350.0,116200.0,40670000.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,40.0,119240.0,4769600.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119021,Construction Managers,1740.0,114590.0,199386600.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",180.0,55160.0,9928800.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",830.0,96360.0,79978800.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",370.0,102730.0,38010100.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",50.0,73660.0,3683000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,470.0,133190.0,62599300.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,850.0,58560.0,49776000.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",40.0,73610.0,2944400.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,450.0,63330.0,28498500.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,2320.0,144990.0,336376800.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,370.0,109870.0,40651900.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
119,119,119131,Postmasters and Mail Superintendents,180.0,75260.0,13546800.0,28.94582043343653,False,0.0,21.7093653250774,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",1360.0,51520.0,70067200.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,690.0,68090.0,46982100.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119161,Emergency Management Directors,60.0,65680.0,3940800.0,28.969362745098042,False,0.0,21.72702205882353,False,0.0,0.0
119,119,119171,Funeral Home Managers,40.0,90600.0,3624000.0,29.941176470588232,False,0.0,22.455882352941174,False,0.0,0.0
119,119,119199,"Managers, All Other",1530.0,108700.0,166311000.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131020,Buyers and Purchasing Agents,1450.0,60360.0,87522000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
131,131,131031,"Claims Adjusters, Examiners, and Investigators",980.0,67990.0,66630200.0,29.341659951651888,False,0.0,22.006244963738915,False,0.0,0.0
131,131,131041,Compliance Officers,1250.0,70770.0,88462500.0,38.1764705882353,False,0.0,28.63235294117647,False,0.0,0.0
131,131,131051,Cost Estimators,940.0,69080.0,64935200.0,33.740349264705884,False,0.0,25.305261948529413,False,0.0,0.0
131,131,131071,Human Resources Specialists,2370.0,64620.0,153149400.0,41.717852257181946,False,0.0,31.288389192886463,False,0.0,0.0
131,131,131075,Labor Relations Specialists,190.0,74320.0,14120800.0,29.477941176470594,False,0.0,22.108455882352946,False,0.0,0.0
131,131,131081,Logisticians,300.0,73980.0,22194000.0,42.03245436105477,False,0.0,31.524340770791078,False,0.0,0.0
131,131,131082,Project Management Specialists,2060.0,82190.0,169311400.0,44.81045751633988,False,0.0,33.60784313725491,False,0.0,0.0
131,131,131111,Management Analysts,1130.0,87610.0,98999300.0,67.4488017429194,True,100.0,50.58660130718955,False,0.0,0.0
