state,potential_ratio,iceberg_ratio,automation_gap,risk_threshold_used,total_occupations,occupations_at_potential_risk,occupations_at_current_risk,total_employment,potential_employment_at_risk,current_employment_at_risk,pct_potential_employment_at_risk,pct_current_employment_at_risk,economic_value_total,potential_economic_value_at_risk,current_economic_value_at_risk,pct_potential_economic_value_at_risk,pct_current_economic_value_at_risk,highest_risk_industries,lowest_risk_industries
Alabama,12.791017633608117,1.9358198328856682,10.855197800722449,50,715,89,2,2030770.0,180370.0,18980.0,8.881852696267918,0.9346208580981598,107598024600.0,13762882300.0,2082903900.0,12.791017633608117,1.9358198328856682,"['151', '111', '432']","['274', '273', '537']"
Alaska,7.287334928637026,0.19701718920909717,7.090317739427929,50,558,60,2,304670.0,18290.0,280.0,6.003216595004432,0.09190271441231496,20696874300.0,1508250550.0,40776400.0,7.287334928637026,0.19701718920909717,"['151', '111', '431']","['273', '272', '537']"
Arizona,12.854483266028241,2.72465612127955,10.129827144748692,50,734,91,2,3109630.0,283960.0,42000.0,9.131633023864575,1.350643002543711,193587974600.0,24884733800.0,5274606600.0,12.854483266028241,2.72465612127955,"['151', '111', '432']","['274', '273', '537']"
Arkansas,8.12868630361303,0.7821413994162708,7.346544904196759,50,675,79,1,1259510.0,86220.0,5650.0,6.845519289247405,0.44858714897063146,63662977100.0,5174963700.0,497934500.0,8.12868630361303,0.7821413994162708,"['151', '111', '431']","['273', '272', '537']"
California,16.145301592323225,4.182602695562415,11.96269889676081,50,813,102,2,17865040.0,1854960.0,337330.0,10.38318414064564,1.8882129567020283,1369235458600.0,221067194300.0,57269679200.0,16.145301592323225,4.182602695562415,"['151', '111', '432']","['274', '273', '537']"
Colorado,17.02430843898261,3.6417100107664773,13.382598428216134,50,751,95,2,2808440.0,320050.0,51700.0,11.396006323795417,1.8408796342453464,200936748900.0,34208091900.0,7317533700.0,17.02430843898261,3.6417100107664773,"['151', '111', '431']","['273', '272', '537']"
Connecticut,12.520991052675964,2.084071105401195,10.436919947274768,50,680,86,2,1637380.0,154940.0,19680.0,9.46267818099647,1.201920140712602,119309940700.0,14938787000.0,2486504000.0,12.520991052675964,2.084071105401195,"['151', '111', '431']","['273', '272', '537']"
Delaware,13.660569984186392,2.37575792134046,11.284812062845932,50,539,57,2,453600.0,43250.0,5440.0,9.534832451499119,1.199294532627866,29687216600.0,4055443000.0,705296400.0,13.660569984186392,2.37575792134046,"['151', '111', '431']","['272', '537', '534']"
District of Columbia,15.490551001746075,1.8352408229344566,13.655310178811618,50,493,59,2,677780.0,91820.0,9160.0,13.54716869780755,1.351470978783676,72002463300.0,11153578300.0,1321418600.0,15.490551001746075,1.8352408229344566,"['151', '111', '414']","['271', '537', '452']"
Florida,11.719910754560091,2.0449842380986443,9.674926516461447,50,788,98,2,9479310.0,844470.0,98170.0,8.908559800238624,1.0356239008957402,565204273200.0,66241436400.0,11558338300.0,11.719910754560091,2.0449842380986443,"['151', '111', '432']","['274', '273', '537']"
Georgia,12.550693160675031,2.4919409473570653,10.058752213317966,50,761,94,2,4717050.0,410560.0,58020.0,8.70374492532409,1.2300060419117882,285327395400.0,35810565900.0,7110190200.0,12.550693160675031,2.4919409473570653,"['151', '111', '432']","['274', '273', '537']"
Guam,6.321665674767324,0.0,6.321665674767324,50,222,18,0,53940.0,3730.0,0.0,6.915090841675936,0.0,2111353350.0,133472700.0,0.0,6.321665674767324,0.0,"['111', '391', '439']","['273', '271', '537']"
