minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,26070.0,2934975600.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,6090.0,765674100.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,266680700.0,0.0,34.829531258795356,0.0,34.829531258795356,0.0
113,113,19720.0,2513575500.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,686393800.0,0.0,27.307466992736046,0.0,27.307466992736046,0.0
119,119,20610.0,2079124300.0,36.48467278733348,27.363504590500114,2,0,0.0,0.0,"119041,119121",212657500.0,0.0,10.228224450072561,0.0,10.228224450072561,0.0
131,131,38600.0,2758298400.0,37.87898803565827,28.4092410267437,1,0,0.0,0.0,131111,251020000.0,0.0,9.10053821587976,0.0,9.10053821587976,0.0
132,132,20360.0,1621219900.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,52980000.0,0.0,3.267909553787244,0.0,3.267909553787244,0.0
151,151,30510.0,2805048700.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",2357610100.0,1080858800.0,84.04881170155798,38.532621554841455,45.516190146716525,1.8755141940104583
152,152,2480.0,237304000.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",207131500.0,0.0,87.28529649731989,0.0,87.28529649731989,0.0
171,171,1130.0,90583800.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",66778200.0,0.0,73.71980420340061,0.0,73.71980420340061,0.0
172,172,7170.0,672118400.0,50.510136217926544,37.88260216344491,9,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172171,172199",285325800.0,0.0,42.451716840366224,0.0,42.451716840366224,0.0
173,173,4310.0,262801100.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",62880800.0,0.0,23.92714490160049,0.0,23.92714490160049,0.0
191,191,2360.0,175691200.0,47.179324372314056,35.38449327923554,2,0,0.0,0.0,"191012,191029",36740200.0,0.0,20.91180434762811,0.0,20.91180434762811,0.0
192,192,800.0,60196000.0,47.555823221629,35.66686741622175,2,0,0.0,0.0,"192021,192042",14496800.0,0.0,24.082663299887034,0.0,24.082663299887034,0.0
193,193,1250.0,94370600.0,43.8133511879328,32.860013390949604,2,0,0.0,0.0,"193011,193099",18243600.0,0.0,19.331868187761867,0.0,19.331868187761867,0.0
194,194,2280.0,115959100.0,42.56977283337577,31.927329625031838,2,0,0.0,0.0,"194031,194061",29973200.0,0.0,25.848079193439755,0.0,25.848079193439755,0.0
195,195,930.0,67962400.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,13620.0,708353300.0,31.81930424426509,23.864478183198823,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,220.0,12110800.0,34.622957516339866,25.967218137254903,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,3780.0,475230600.0,29.914275727788933,22.435706795841696,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,2050.0,119733900.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,8830.0,1027142800.0,29.96578528402663,22.474338963019974,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,27020.0,1639374300.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,14950000.0,0.0,0.9119332906463156,0.0,0.9119332906463156,0.0
253,253,7090.0,326216700.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,2060.0,101878800.0,43.75117220801364,32.81337915601023,1,0,0.0,0.0,254013,2188500.0,0.0,2.148140731928527,0.0,2.148140731928527,0.0
259,259,11810.0,424807500.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,3790.0,186367500.0,47.07874951884733,35.3090621391355,2,0,0.0,0.0,"271021,271027",7698100.0,0.0,4.130602170442808,0.0,4.130602170442808,0.0
272,272,2420.0,138074100.0,29.77951028176015,22.33463271132012,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,3710.0,215998600.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,1080.0,53462200.0,38.19077043184186,28.64307782388139,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
