AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,2880.0,3.7,2.882,2.07,,,112.90,234830.0,2.1,44.85,63.95,93.31,#,#,"93,280","133,020",194080.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,72490.0,0.039729617878328044,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,676310400.0,False,False,0.0,0.2658402159092111,111,111
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,22390.0,1.6,22.372,0.97,,,47.64,99080.0,1.6,19.45,26.99,38.65,59.61,83.71,"40,460","56,140",80380.0,"123,980","174,110",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,72490.0,0.308870188991585,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,2218401200.0,False,False,0.0,1.0,111,111
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,800.0,15.3,0.794,3.72,,,*,50330.0,4.2,*,*,*,*,*,"21,840","23,010",33030.0,"57,480","93,630",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,72490.0,0.011036004966202235,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,40264000.0,False,False,0.0,0.013812628828253256,111,111
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,180.0,17.6,0.183,1.35,,,50.35,104720.0,5.4,30.42,36.34,47.58,60.33,74.63,"63,260","75,600",98970.0,"125,480","155,230",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,72490.0,0.0024831011173955028,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,18849600.0,False,False,0.0,0.007993687514603878,112,112
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,2210.0,4.3,2.204,0.91,,,58.02,120670.0,2.2,29.03,37.03,50.92,68.41,93.80,"60,370","77,030",105900.0,"142,290","195,110",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,72490.0,0.030486963719133675,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,266680700.0,True,False,100.0,0.15489166331852028,112,112
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,3360.0,3.8,3.358,0.89,,,63.43,131940.0,1.5,31.02,39.70,55.99,78.90,104.40,"64,510","82,580",116470.0,"164,110","217,150",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,72490.0,0.04635122085804939,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,443318400.0,False,False,0.0,0.19510705819725585,112,112
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,340.0,11.2,0.339,0.71,,,52.07,108310.0,3.2,27.50,36.55,48.89,63.09,79.31,"57,190","76,020",101700.0,"131,240","164,970",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,72490.0,0.0046903021106359495,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,36825400.0,False,False,0.0,0.015312998042246007,112,112
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,,**,**,**,,,46.74,97220.0,4.3,32.78,37.96,39.48,50.67,74.39,"68,190","78,950",82120.0,"105,390","154,740",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,72490.0,,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,,False,False,0.0,,112,112
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,2130.0,3.1,2.131,1.33,,,51.88,107910.0,1.1,30.00,38.49,48.26,62.39,81.53,"62,410","80,060",100380.0,"129,770","169,570",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,72490.0,0.02938336322251345,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,229848300.0,False,False,0.0,0.0980517036504281,113,113
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,1210.0,3.4,1.207,1.40,,,48.26,100380.0,1.4,29.14,36.18,45.86,59.74,75.56,"60,620","75,250",95400.0,"124,260","157,160",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,72490.0,0.01669195751138088,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,121459800.0,False,False,0.0,0.05164139940607056,113,113
