minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,42610.0,5374672300.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,9390.0,1217775400.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,464056000.0,0.0,38.1068627269035,0.0,38.1068627269035,0.0
113,113,20370.0,2381202200.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,386648000.0,0.0,16.237512295259933,0.0,16.237512295259933,0.0
119,119,38560.0,4051382200.0,36.48447928888147,27.3633594666611,2,0,0.0,0.0,"119041,119121",185420000.0,0.0,4.576709647388983,0.0,4.576709647388983,0.0
131,131,50320.0,3891465000.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,354116100.0,0.0,9.09981459424664,0.0,9.09981459424664,0.0
132,132,15400.0,1186794000.0,35.23457153097376,26.425928648230318,1,0,0.0,0.0,132099,79064700.0,0.0,6.6620407585478185,0.0,6.6620407585478185,0.0
151,151,25020.0,2367240100.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",1923771300.0,741707200.0,81.26642075723541,31.33214919770918,49.93427155952622,0.8823483749670127
152,152,1510.0,142418200.0,53.954774553107924,40.46608091483095,4,0,0.0,0.0,"152021,152031,152041,152051",134626500.0,0.0,94.52899980480024,0.0,94.52899980480024,0.0
171,171,1070.0,99355000.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",36557400.0,0.0,36.79472598258769,0.0,36.79472598258769,0.0
172,172,8660.0,848723250.0,49.91932406378725,37.43949304784043,6,0,0.0,0.0,"172011,172061,172071,172072,172141,172199",375629600.0,0.0,44.258196060965695,0.0,44.258196060965695,0.0
173,173,6180.0,446143000.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",137193600.0,0.0,30.751037223491124,0.0,30.751037223491124,0.0
191,191,1020.0,75877200.0,44.09761263185598,33.073209473891986,1,0,0.0,0.0,191029,43152600.0,0.0,56.871629422277046,0.0,56.871629422277046,0.0
192,192,2240.0,184588250.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",93526700.0,0.0,50.66774293596694,0.0,50.66774293596694,0.0
193,193,1480.0,140735750.0,38.15421647323199,28.61566235492399,2,0,0.0,0.0,"193011,193099",18435000.0,0.0,13.099017129620583,0.0,13.099017129620583,0.0
194,194,3240.0,187331400.0,42.54689368860492,31.910170266453687,2,0,0.0,0.0,"194031,194061",56801900.0,0.0,30.321611860051224,0.0,30.321611860051224,0.0
195,195,1090.0,90169800.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,15400.0,892767600.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,160.0,13460800.0,33.28676470588235,24.965073529411764,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,7190.0,1122340100.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,3650.0,223861400.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,6860.0,590884200.0,30.625495437511127,22.969121578133347,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,25930.0,1634454200.0,27.37623339872817,20.53217504904613,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,10840.0,419798600.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,1210.0,77682800.0,43.75117220801364,32.81337915601023,1,0,0.0,0.0,254013,6858600.0,0.0,8.828981447630621,0.0,8.828981447630621,0.0
259,259,8330.0,340568000.0,34.61124727668846,25.95843545751634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,6000.0,325202050.0,45.5520848271379,34.16406362035344,3,0,0.0,0.0,"271021,271022,271027",16440850.0,0.0,5.055580061687803,0.0,5.055580061687803,0.0
272,272,7690.0,494932600.0,28.782605930213673,21.586954447660254,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,3260.0,226306600.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4690.0,284677600.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,48130.0,5630819550.0,21.583953435528926,16.187965076646698,1,0,0.0,0.0,291129,31158000.0,0.0,0.5533475140399411,0.0,0.5533475140399411,0.0
292,292,23710.0,1356744400.0,26.941030628116607,20.205772971087463,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,1530.0,85058800.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,22480.0,819632500.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,1300.0,95991600.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,17950.0,801345900.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,5480.0,430542800.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,2320.0,156815400.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,9790.0,747943600.0,39.024287434271955,29.26821557570397,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,29430.0,1126207600.0,38.18140968508615,28.636057263814614,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,17710.0,800078200.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,45370.0,1673595100.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,99980.0,3111293300.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,31960.0,1012346600.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,381441400.0,0.0,37.67893328233631,0.0,37.67893328233631,0.0
371,371,5120.0,270269000.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,57700.0,2188828500.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,9780.0,384446200.0,42.197167755991295,31.647875816993462,1,0,0.0,0.0,373011,362877500.0,0.0,94.38967012809594,0.0,94.38967012809594,0.0
391,391,8050.0,468331200.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
