minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,,251370.0,,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,42450.0,125990.0,5348275500.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,160.0,164980.0,26396800.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,260.0,106530.0,27697800.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,3800.0,122120.0,464056000.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,4840.0,137630.0,666129200.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,360.0,130430.0,46954800.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,130.0,99520.0,12937600.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,2800.0,84190.0,235732000.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,1170.0,94390.0,110436300.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,2720.0,142150.0,386648000.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,6950.0,140450.0,976127500.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,1270.0,107940.0,137083800.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,670.0,111560.0,74745200.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",2560.0,90110.0,230681600.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,110.0,85540.0,9409400.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,1640.0,106700.0,174988000.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,480.0,94480.0,45350400.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119013,"Farmers, Ranchers, and Other Agricultural Managers",40.0,93580.0,3743200.0,33.66921313980138,False,0.0,25.251909854851036,False,0.0,0.0
119,119,119021,Construction Managers,4390.0,111850.0,491021500.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",290.0,55180.0,16002200.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",2210.0,101940.0,225287400.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",1280.0,107220.0,137241600.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",260.0,83560.0,21725600.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,920.0,157300.0,144716000.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,4540.0,69470.0,315393800.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119071,Gambling Managers,920.0,94430.0,86875600.0,38.44117647058824,False,0.0,28.830882352941178,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",260.0,109720.0,28527200.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,400.0,81330.0,32532000.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,4560.0,120770.0,550711200.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,400.0,101760.0,40704000.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
119,119,119131,Postmasters and Mail Superintendents,70.0,79250.0,5547500.0,28.94582043343653,False,0.0,21.7093653250774,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",4100.0,68060.0,279046000.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,,70180.0,,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119161,Emergency Management Directors,60.0,85990.0,5159400.0,28.969362745098042,False,0.0,21.72702205882353,False,0.0,0.0
119,119,119171,Funeral Home Managers,70.0,68050.0,4763500.0,29.941176470588232,False,0.0,22.455882352941174,False,0.0,0.0
119,119,119199,"Managers, All Other",13790.0,120550.0,1662384500.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131011,"Agents and Business Managers of Artists, Performers, and Athletes",120.0,107220.0,12866400.0,29.441176470588243,False,0.0,22.080882352941185,False,0.0,0.0
131,131,131020,Buyers and Purchasing Agents,2310.0,66720.0,154123200.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
131,131,131031,"Claims Adjusters, Examiners, and Investigators",2350.0,68810.0,161703500.0,29.341659951651888,False,0.0,22.006244963738915,False,0.0,0.0
131,131,131032,"Insurance Appraisers, Auto Damage",160.0,75160.0,12025600.0,28.78011204481793,False,0.0,21.585084033613448,False,0.0,0.0
131,131,131041,Compliance Officers,3350.0,76050.0,254767500.0,38.1764705882353,False,0.0,28.63235294117647,False,0.0,0.0
131,131,131051,Cost Estimators,2310.0,84440.0,195056400.0,33.740349264705884,False,0.0,25.305261948529413,False,0.0,0.0
131,131,131071,Human Resources Specialists,6200.0,72760.0,451112000.0,41.717852257181946,False,0.0,31.288389192886463,False,0.0,0.0
131,131,131075,Labor Relations Specialists,540.0,125720.0,67888800.0,29.477941176470594,False,0.0,22.108455882352946,False,0.0,0.0
131,131,131081,Logisticians,1100.0,77650.0,85415000.0,42.03245436105477,False,0.0,31.524340770791078,False,0.0,0.0
131,131,131082,Project Management Specialists,6200.0,96980.0,601276000.0,44.81045751633988,False,0.0,33.60784313725491,False,0.0,0.0
131,131,131111,Management Analysts,3770.0,93930.0,354116100.0,67.4488017429194,True,100.0,50.58660130718955,False,0.0,0.0
131,131,131121,"Meeting, Convention, and Event Planners",1830.0,59570.0,109013100.0,32.603879849812266,False,0.0,24.4529098873592,False,0.0,0.0
131,131,131131,Fundraisers,270.0,64930.0,17531100.0,30.213507625272328,False,0.0,22.660130718954246,False,0.0,0.0
131,131,131141,"Compensation, Benefits, and Job Analysis Specialists",210.0,67450.0,14164500.0,27.023284313725505,False,0.0,20.267463235294127,False,0.0,0.0
131,131,131151,Training and Development Specialists,3580.0,62950.0,225361000.0,33.999748617395674,False,0.0,25.499811463046758,False,0.0,0.0
131,131,131161,Market Research Analysts and Marketing Specialists,4290.0,68970.0,295881300.0,49.710619818397156,False,0.0,37.282964863797865,False,0.0,0.0
131,131,131199,"Business Operations Specialists, All Other",11730.0,74950.0,879163500.0,40.366454689984096,False,0.0,30.274841017488068,False,0.0,0.0
132,132,132011,Accountants and Auditors,6690.0,73950.0,494725500.0,43.40007383706621,False,0.0,32.55005537779966,False,0.0,0.0
132,132,132020,Property Appraisers and Assessors,360.0,72000.0,25920000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
132,132,132031,Budget Analysts,350.0,79160.0,27706000.0,34.568295114656046,False,0.0,25.926221335992032,False,0.0,0.0
132,132,132041,Credit Analysts,360.0,82740.0,29786400.0,29.152797704447643,False,0.0,21.86459827833573,False,0.0,0.0
132,132,132051,Financial and Investment Analysts,1030.0,95200.0,98056000.0,39.89909002274943,False,0.0,29.92431751706207,False,0.0,0.0
132,132,132053,Insurance Underwriters,410.0,75320.0,30881200.0,33.06693711967546,False,0.0,24.800202839756597,False,0.0,0.0
132,132,132054,Financial Risk Specialists,580.0,105300.0,61074000.0,43.43048128342247,False,0.0,32.57286096256685,False,0.0,0.0
132,132,132061,Financial Examiners,80.0,81850.0,6548000.0,29.791075050709942,False,0.0,22.343306288032455,False,0.0,0.0
132,132,132071,Credit Counselors,120.0,51930.0,6231600.0,33.35805626598465,False,0.0,25.018542199488486,False,0.0,0.0
132,132,132072,Loan Officers,3450.0,77420.0,267099000.0,21.290441176470594,False,0.0,15.967830882352946,False,0.0,0.0
132,132,132081,"Tax Examiners and Collectors, and Revenue Agents",240.0,68890.0,16533600.0,33.27005347593583,False,0.0,24.952540106951876,False,0.0,0.0
132,132,132082,Tax Preparers,760.0,56800.0,43168000.0,15.238795518207283,False,0.0,11.429096638655462,False,0.0,0.0
132,132,132099,"Financial Specialists, All Other",970.0,81510.0,79064700.0,65.62418300653596,True,100.0,49.218137254901976,False,0.0,0.0
151,151,151211,Computer Systems Analysts,1920.0,107380.0,206169600.0,72.19112918479289,True,100.0,54.14334688859467,False,0.0,0.0
151,151,151212,Information Security Analysts,880.0,106350.0,93588000.0,61.08883553421369,True,100.0,45.81662665066027,False,0.0,0.0
151,151,151221,Computer and Information Research Scientists,60.0,124620.0,7477200.0,62.0453431372549,True,100.0,46.534007352941174,False,0.0,0.0
151,151,151231,Computer Network Support Specialists,1640.0,71660.0,117522400.0,36.4203431372549,False,0.0,27.315257352941174,False,0.0,0.0
151,151,151232,Computer User Support Specialists,6460.0,57760.0,373129600.0,68.35995989304813,True,100.0,51.26996991978609,False,0.0,0.0
151,151,151241,Computer Network Architects,660.0,122870.0,81094200.0,64.05437033968518,True,100.0,48.04077775476388,False,0.0,0.0
151,151,151242,Database Administrators,560.0,86080.0,48204800.0,71.48555211558308,True,100.0,53.61416408668731,False,0.0,0.0
151,151,151243,Database Architects,300.0,130500.0,39150000.0,74.39632809645599,True,100.0,55.79724607234199,False,0.0,0.0
151,151,151244,Network and Computer Systems Administrators,1780.0,94100.0,167498000.0,63.465170278637764,True,100.0,47.59887770897832,False,0.0,0.0
151,151,151251,Computer Programmers,600.0,98890.0,59334000.0,75.6766706682673,True,100.0,56.75750300120048,False,0.0,0.0
151,151,151252,Software Developers,5030.0,133490.0,671454700.0,87.10588235294118,True,100.0,65.32941176470588,True,0.0,0.0
151,151,151253,Software Quality Assurance Analysts and Testers,870.0,80750.0,70252500.0,83.68235294117648,True,100.0,62.76176470588235,True,0.0,0.0
151,151,151254,Web Developers,270.0,70600.0,19062000.0,74.42848671726756,True,100.0,55.82136503795068,False,0.0,0.0
151,151,151255,Web and Digital Interface Designers,870.0,100410.0,87356700.0,72.85982478097624,True,100.0,54.644868585732176,False,0.0,0.0
151,151,151299,"Computer Occupations, All Other",3120.0,104470.0,325946400.0,49.5773034877668,False,0.0,37.182977615825095,False,0.0,0.0
152,152,152011,Actuaries,70.0,111310.0,7791700.0,40.016339869281055,False,0.0,30.012254901960787,False,0.0,0.0
152,152,152021,Mathematicians,80.0,96120.0,7689600.0,59.449346405228766,True,100.0,44.587009803921575,False,0.0,0.0
152,152,152031,Operations Research Analysts,310.0,86390.0,26780900.0,53.0170278637771,True,100.0,39.76277089783282,False,0.0,0.0
152,152,152041,Statisticians,70.0,75600.0,5292000.0,55.4002557544757,True,100.0,41.55019181585678,False,0.0,0.0
152,152,152051,Data Scientists,980.0,96800.0,94864000.0,61.89090287277701,True,100.0,46.41817715458276,False,0.0,0.0
171,171,171011,"Architects, Except Landscape and Naval",330.0,110780.0,36557400.0,52.78956089478045,True,100.0,39.592170671085334,False,0.0,0.0
171,171,171012,Landscape Architects,,64210.0,,53.651260504201694,True,100.0,40.23844537815127,False,0.0,0.0
171,171,171021,Cartographers and Photogrammetrists,210.0,82670.0,17360700.0,40.8485092667204,False,0.0,30.636381950040303,False,0.0,0.0
171,171,171022,Surveyors,530.0,85730.0,45436900.0,29.795318127250898,False,0.0,22.346488595438174,False,0.0,0.0
172,172,172011,Aerospace Engineers,380.0,93660.0,35590800.0,54.55882352941177,True,100.0,40.919117647058826,False,0.0,0.0
172,172,172041,Chemical Engineers,40.0,61705.0,2468200.0,48.43382352941176,False,0.0,36.32536764705882,False,0.0,0.0
172,172,172051,Civil Engineers,2940.0,97170.0,285679800.0,49.415341812400634,False,0.0,37.06150635930047,False,0.0,0.0
172,172,172061,Computer Hardware Engineers,160.0,111390.0,17822400.0,53.56085192697768,True,100.0,40.170638945233264,False,0.0,0.0
172,172,172071,Electrical Engineers,960.0,97040.0,93158400.0,55.766875602700104,True,100.0,41.825156702025076,False,0.0,0.0
172,172,172072,"Electronics Engineers, Except Computer",750.0,104460.0,78345000.0,51.40610859728506,True,100.0,38.5545814479638,False,0.0,0.0
172,172,172081,Environmental Engineers,200.0,110770.0,22154000.0,43.152406417112296,False,0.0,32.36430481283422,False,0.0,0.0
172,172,172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",170.0,61705.0,10489850.0,45.83426073131956,False,0.0,34.375695548489674,False,0.0,0.0
