minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,20240.0,2835761200.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,4130.0,674456800.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,215297800.0,0.0,31.921659029903772,0.0,31.921659029903772,0.0
113,113,12170.0,1859214200.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,554656400.0,0.0,29.832840132137544,0.0,29.832840132137544,0.0
119,119,10920.0,1294426700.0,36.596845849228174,27.44763438692113,2,0,0.0,0.0,"119041,119121",360637600.0,0.0,27.860797370758807,0.0,27.860797370758807,0.0
131,131,29190.0,2435706900.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,314285000.0,0.0,12.903235606878644,0.0,12.903235606878644,0.0
132,132,14160.0,1236977700.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,33152000.0,0.0,2.6800806514135216,0.0,2.6800806514135216,0.0
151,151,22100.0,2430420600.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",2286393100.0,1268942300.0,94.07396810247576,52.210810754319645,41.863157348156115,2.922810884341526
152,152,1240.0,122530800.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",112456400.0,0.0,91.77806722881104,0.0,91.77806722881104,0.0
171,171,740.0,54555800.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",32533600.0,0.0,59.63362282287126,0.0,59.63362282287126,0.0
172,172,9670.0,1044305800.0,50.3788947008641,37.78417102564808,6,0,0.0,0.0,"172031,172061,172071,172072,172141,172199",688902400.0,0.0,65.96749725990222,0.0,65.96749725990222,0.0
173,173,3540.0,233090600.0,47.52356126333047,35.642670947497855,3,0,0.0,0.0,"173012,173023,173028",67764500.0,0.0,29.07217193657745,0.0,29.07217193657745,0.0
191,191,1260.0,113027100.0,45.48953511520726,34.11715133640545,1,0,0.0,0.0,191029,22990000.0,0.0,20.340254682284158,0.0,20.340254682284158,0.0
192,192,1000.0,90727600.0,49.749654797132045,37.31224109784903,4,0,0.0,0.0,"192012,192021,192042,192043",31173200.0,0.0,34.359114536260186,0.0,34.359114536260186,0.0
193,193,1080.0,81855400.0,34.291589684730816,25.718692263548117,1,0,0.0,0.0,193099,12559500.0,0.0,15.34352040305221,0.0,15.34352040305221,0.0
194,194,1390.0,82509600.0,43.986138631589,32.98960397369175,2,0,0.0,0.0,"194031,194061",14200200.0,0.0,17.210360976177316,0.0,17.210360976177316,0.0
195,195,590.0,51972000.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,11090.0,624463100.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,90.0,5693400.0,33.28676470588235,24.965073529411764,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,130.0,10730200.0,37.232933199526535,27.9246998996449,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,1610.0,98639300.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,4370.0,446359500.0,29.15883549942776,21.869126624570814,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,21180.0,1330354200.0,27.37623339872817,20.53217504904613,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,4070.0,218937100.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,1550.0,93977500.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,1629600.0,0.0,1.7340320821473225,0.0,1.7340320821473225,0.0
259,259,9090.0,383670200.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,2650.0,149360000.0,43.77511767970281,32.83133825977711,2,0,0.0,0.0,"271021,271022",15735000.0,0.0,10.534949116229244,0.0,10.534949116229244,0.0
272,272,1230.0,70539100.0,33.372171645004464,25.02912873375335,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,2240.0,157222600.0,35.793153720895205,26.844865290671407,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,570.0,33224300.0,36.55751978104919,27.418139835786896,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,29570.0,3765948700.0,20.927128743289405,15.695346557467055,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
292,292,12380.0,738970800.0,26.153981819954677,19.615486364966014,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,590.0,44000800.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,15920.0,636436800.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,570.0,33918400.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,6600.0,311837000.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,1490.0,126582000.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,2600.0,139606000.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,3980.0,262129000.0,39.024287434271955,29.26821557570397,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,4170.0,182247300.0,37.1723763368984,27.879282252673796,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,5240.0,268234800.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,17020.0,622136300.0,21.41968954248366,16.064767156862747,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,27470.0,939556000.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,6630.0,192547700.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,80703000.0,0.0,41.913250586737725,0.0,41.913250586737725,0.0
371,371,1470.0,89100300.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,12050.0,462719400.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,6450.0,271873100.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",259743000.0,0.0,95.53832284253205,0.0,95.53832284253205,0.0
391,391,1280.0,66148300.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,1610.0,54060300.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,3033900.0,0.0,5.612066525712954,0.0,5.612066525712954,0.0
393,393,1530.0,51703800.0,44.21200980392157,33.159007352941174,1,0,0.0,0.0,393011,14474400.0,0.0,27.994847574066124,0.0,27.994847574066124,0.0
394,394,170.0,11558300.0,34.50980392156863,25.88235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,2630.0,94158100.0,35.5359477124183,26.65196078431373,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
396,396,50.0,1658000.0,31.91402714932127,23.935520361990953,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,220.0,8355600.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,6780.0,247237800.0,28.20065359477124,21.15049019607843,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,8410.0,580796800.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
412,412,41600.0,1491025400.0,33.46436326145931,25.098272446094487,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
413,413,9670.0,838080900.0,39.14716025994716,29.36037019496037,1,0,0.0,0.0,413091,542811800.0,0.0,64.76842510072714,0.0,64.76842510072714,0.0
414,414,8910.0,764816400.0,39.9348283613223,29.951121270991724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
419,419,1130.0,54159900.0,32.03503067893824,24.026273009203685,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
431,431,7370.0,516858100.0,35.07732980832783,26.307997356245878,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
432,432,170.0,6851000.0,49.930481283422466,37.44786096256685,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
433,433,12950.0,634017900.0,31.52360188512133,23.642701413840996,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
434,434,25170.0,1104285000.0,34.111669408790966,25.583752056593227,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
435,435,11550.0,594435900.0,30.948927997511408,23.211695998133553,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
436,436,14890.0,710373700.0,32.783828035426716,24.587871026570035,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
439,439,18200.0,862893600.0,37.58869606580415,28.191522049353114,1,0,0.0,0.0,439071,9232600.0,0.0,1.0699581037569406,0.0,1.0699581037569406,0.0
451,451,70.0,4046000.0,25.53186274509804,19.14889705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
452,452,490.0,16536400.0,35.77042483660131,26.82781862745098,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
454,454,240.0,11779600.0,38.67519796380091,29.006398472850684,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
471,471,2720.0,213220800.0,34.59436274509804,25.94577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
472,472,18410.0,1059727300.0,33.561375132803704,25.171031349602778,2,0,0.0,0.0,"472011,472061",148515400.0,0.0,14.014492218894429,0.0,14.014492218894429,0.0
473,473,400.0,17348000.0,41.56557804940159,31.174183537051185,1,0,0.0,0.0,473015,5168400.0,0.0,29.792483283375603,0.0,29.792483283375603,0.0
474,474,2030.0,107209900.0,34.999249699879954,26.249437274909962,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
475,475,460.0,26092200.0,44.69791666666667,33.52343750000001,1,0,0.0,0.0,475081,3162600.0,0.0,12.120863706395015,0.0,12.120863706395015,0.0
491,491,2920.0,240900000.0,33.89338235294118,25.420036764705888,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
492,492,2510.0,165745800.0,41.8949403979242,31.42120529844315,2,0,0.0,0.0,"492091,492092",3208500.0,0.0,1.9357956581705238,0.0,1.9357956581705238,0.0
